BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,train,rep
-1.5068927053760302,-1.5465577680674534,-1.492493543009041,-1.5358288327135452,-1.5388804203256732,-1.5454647023075645,-3.760287516923422,-3.5433474494340955,-12.10910574694116,0.012022644346174132,96
-1.448649560237676,-1.5116803263790115,-1.4330880764577882,-1.498205818680005,-1.5422080422467848,-1.5160916069039312,-4.532064591605666,-4.219820652085702,-8.559059197831761,0.020892961308540396,15
-1.0110227127365137,-1.0888709447880829,-1.0066667158628586,-1.0694951237683423,-1.3756247765644705,-1.2356326466286869,-2.470492022618274,-1.9045112134223685,-1.3725279643995445,0.3981071705534973,58
-1.0654259788350913,-1.1963711610824794,-1.0609196898872029,-1.1678006100658818,-1.4300575919437932,-1.3238169496346472,-2.421674093603427,-1.827327298377194,-1.381321473289478,0.19054607179632474,38
-1.0084801561720549,-1.0556748416696944,-1.004711544179376,-1.0450607364929103,-1.3158248850601757,-1.1882433828490204,-2.482798399169196,-1.9410562087691243,-1.3732074731480863,0.8317637711026709,84
-1.2130266814841546,-1.3380000933992442,-1.201391861080099,-1.3188792357812225,-1.4474841869687436,-1.401763309076769,-3.0461093677745548,-2.446260127425391,-1.8569111608375508,0.06309573444801933,11
-1.49311846124058,-1.542647035291144,-1.4833812749292754,-1.5354901262220702,-1.5217794988890274,-1.5613231721060383,-3.865163163612423,-3.6424263727371424,-11.768982412869894,0.012022644346174132,71
-1.0501147673990332,-1.1629092102731724,-1.0457414987089333,-1.1518519830457776,-1.4349209214757317,-1.3212459262367502,-2.484274894466842,-1.8219154763956456,-1.3719238530579707,0.15848931924611134,95
-1.2241810707211302,-1.372950687527379,-1.2052306569386984,-1.3451161031580834,-1.4402740144189137,-1.4158883686157655,-2.9186073392538563,-2.2977457506371306,-2.0059103704576806,0.06309573444801933,96
-1.4330203531841377,-1.5025183812253358,-1.415417134282573,-1.4878861225231557,-1.51659492181899,-1.5190150342943702,-4.364264808063094,-4.026400581864029,-9.356636353223674,0.020892961308540396,65
-1.425910764698363,-1.4862146846737476,-1.4053873170126652,-1.4757236299842462,-1.4909520192502403,-1.508265436585837,-4.6826126726507225,-4.34616262282665,-8.08686897979756,0.020892961308540396,40
-1.1813960501236394,-1.3461619592216985,-1.1726739189658522,-1.3179155668156204,-1.4598274345627975,-1.3981676095480644,-2.7108321515472302,-2.1363869876048853,-2.048692854673766,0.07585775750291836,71
-1.5137081346624492,-1.5536812995484108,-1.5056330940469718,-1.545791562599608,-1.5536864954388765,-1.558647704306661,-3.610836561035905,-3.4327250843633585,-12.067115960787776,0.01,87
-1.2341959398985032,-1.3783946972918848,-1.2203005848807376,-1.3494192583459657,-1.4589807273377118,-1.422623366675746,-3.023967865212817,-2.4540589232235552,-2.2489572956687294,0.06309573444801933,21
-1.036318071526244,-1.1252141069209285,-1.0318284413327063,-1.106689508273034,-1.3822874530927427,-1.26721976766468,-2.491435847522968,-1.8880352552287325,-1.377070841534253,0.3311311214825911,43
-1.149442211794588,-1.2974356745016518,-1.137733200270051,-1.270869730940687,-1.4299698274857862,-1.377685643103192,-2.402569152584163,-1.843663708723813,-1.4579934039804503,0.1096478196143185,25
-1.3247941034207769,-1.4366429975702557,-1.311153798993817,-1.421284710823633,-1.4865648421073443,-1.4750796009086198,-4.213407958909294,-3.7483095022194175,-5.065354625187934,0.03630780547701014,29
-1.1718023819446286,-1.2921894619398786,-1.1549549554214753,-1.279910008473675,-1.4407999961226845,-1.3701233192148623,-2.661856753031749,-1.998259371683828,-2.010606265005737,0.07585775750291836,79
-1.03481553069931,-1.1383289312590592,-1.029518241106561,-1.1122170638001958,-1.395621126440943,-1.2541870303585585,-2.425390885053042,-1.869740072854558,-1.3761821804559138,0.2754228703338166,58
-1.3660732306839418,-1.44440234590397,-1.3471248466934456,-1.428397588643903,-1.4813289706396693,-1.468464834904209,-4.541888105788152,-4.10959767151002,-6.218854689281945,0.03019951720402016,43
-1.416963562722949,-1.4938847804656037,-1.4034913138099645,-1.4849202388149043,-1.509835751762607,-1.514273103518757,-4.642707852703452,-4.295192684205205,-8.35409905868604,0.020892961308540396,67
-1.2243842890966752,-1.3446028294487833,-1.2080686456838672,-1.3240952727780706,-1.4651976222810577,-1.4359235490517854,-2.753211709429569,-2.1905400566066997,-2.0698612649291657,0.07585775750291836,30
-1.0514117929808913,-1.0994381049286075,-1.050387246508618,-1.0898138558433028,-1.3368980156045789,-1.1992061348519176,-2.416127785614482,-1.9189205373443028,-1.3821654598204198,0.6918309709189366,16
-1.4551476586122654,-1.5069873589322955,-1.4457427110246257,-1.5016107360875703,-1.5208215863356276,-1.551682466469458,-4.116933269087829,-3.87794819140872,-11.030349193346913,0.014454397707459272,87
-1.013271901457764,-1.0935699609122262,-1.0109574995026402,-1.07656911399606,-1.3550290160756095,-1.2279802553514765,-2.5072695330673933,-1.9137281614099184,-1.3713040616271963,0.3981071705534973,69
