BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,rep
-3.2920840549453807,-3.5909391630969774,-3.280879855820865,-3.524092721537486,-4.045505570983534,-3.908911341834889,-7.0586392757521415,-5.476844183926947,-4.120053291567606,667
-3.217483466330695,-3.451334544341812,-3.2152043246326896,-3.401239267537768,-3.9422596001606665,-3.7942137349886815,-7.063592010799527,-5.473894426379447,-4.1076587703220495,111
-3.1699324032604728,-3.476327516932708,-3.1616331995506783,-3.4069907829632435,-3.979159606203613,-3.755264785645021,-7.14915758686229,-5.59357784840615,-4.103936555130685,342
-3.249230545174694,-3.5574700515849256,-3.2392765036174755,-3.4617882410832697,-3.960808176754631,-3.77000751573756,-7.148818862420123,-5.5005518768757975,-4.111824970447484,990
-3.228404229571458,-3.5008499402302733,-3.221431827684828,-3.452095056744676,-3.958180361627377,-3.83857939841927,-7.195542884481584,-5.535473038987964,-4.107099034689298,140
-3.192724019108637,-3.510490562575594,-3.183721891820536,-3.429461869437054,-3.955383648320705,-3.7906813452739088,-7.247804807290665,-5.529367960581368,-4.084943101946968,760
-3.296057085697301,-3.5873725541514285,-3.292351956258246,-3.512202138412292,-3.992804755437682,-3.827844591713026,-7.0415214079885615,-5.504019509949909,-4.130971063344996,640
-3.211983726336676,-3.4933339410285944,-3.206520537740808,-3.4254951320169007,-3.9780061830698976,-3.759182872632945,-7.048313388406159,-5.529000756195155,-4.107606569424487,6
-3.2001381164993816,-3.482938710435544,-3.1945538137477008,-3.414106788457964,-3.917687813621982,-3.786982975536967,-7.184313526871273,-5.517293853610911,-4.094659964789104,722
-3.3253976873104723,-3.627980636854855,-3.3161052134758267,-3.5404957673239394,-3.963578735426224,-3.918623818272604,-7.013634492489585,-5.459054243870268,-4.1361381320955175,910
-3.230778947750653,-3.484876233178979,-3.2209428740983426,-3.4228218268224846,-3.992806356318455,-3.737193841268671,-7.355697884808884,-5.5404323960221324,-4.092197453948761,852
-3.152469385128113,-3.44492929488949,-3.1472794707399983,-3.377798840627115,-4.019013143378583,-3.7794791203013753,-7.246714167805116,-5.603091274305705,-4.091707742697077,410
-3.210025961519141,-3.491836030361755,-3.199915032443934,-3.4159390788676784,-3.934058320759573,-3.840587312283308,-7.259017186889318,-5.527531655234522,-4.0949677802589965,249
-3.211302340546062,-3.506089095417428,-3.203957557849149,-3.4151980619106728,-3.9649721938488343,-3.85332679417726,-7.025925715636228,-5.522276313173293,-4.11338075788474,474
-3.2347233068585552,-3.514179072801853,-3.229344660908984,-3.462828973443917,-4.008954441706014,-3.807890290518495,-6.955408455298968,-5.461900950208775,-4.111363220817211,618
-3.3032687436050225,-3.547598455170413,-3.3020749828870684,-3.4915074872753515,-3.97559901320861,-3.825835796527644,-7.0152823352082825,-5.4751387061667405,-4.132628712635617,84
-3.185091684887217,-3.477348319392761,-3.180781507100083,-3.4119102459364656,-3.946182359003492,-3.770578669172947,-7.246832965627582,-5.503347778621693,-4.084184132975058,359
-3.2752120810820693,-3.542058888648641,-3.269208891594594,-3.47733371178945,-3.971070391713426,-3.838293242815891,-7.076226649225117,-5.5818463851043045,-4.110733360545376,306
-3.2207473688675514,-3.5361893387590877,-3.215656019495809,-3.4651660543593974,-3.892395135716359,-3.7968565905554414,-7.20042483464243,-5.496109041280394,-4.101284082224884,947
-3.274703145746773,-3.573671491567135,-3.2670097651300445,-3.4860206714233875,-4.0040598129814455,-3.900961266408598,-7.081009072836416,-5.518665135075424,-4.120914468954493,65
-3.350600503922771,-3.651104185804951,-3.340800298130509,-3.57289295412175,-4.020656221251934,-3.8803291757321134,-7.026766174622104,-5.508740118408192,-4.140593297052813,174
-3.197058422229466,-3.4701882893991245,-3.191613296689267,-3.4120697242733176,-3.941518890499948,-3.7754318810261567,-7.1329729590267,-5.503169979842141,-4.10624176279214,348
-3.2164375766838886,-3.533283435265568,-3.207522005569915,-3.459677263267316,-3.9513670513412342,-3.777832461458234,-7.2277623840208145,-5.501055656085804,-4.083389108837216,862
-3.3033698481928315,-3.5655135059712224,-3.299418704357429,-3.474809804010309,-4.039245137542301,-3.763199232433364,-7.0760995208933535,-5.543377694288189,-4.140158440887172,781
-3.283990754893181,-3.5742189428398534,-3.2788098175241225,-3.493164178838597,-4.007785069184458,-3.844731633442619,-7.005042869794464,-5.470877979649216,-4.127656018055322,318
-3.242121472895571,-3.5325747390816566,-3.23273081810933,-3.4363132707866666,-3.963204433903351,-3.761506385386366,-7.122326715820872,-5.518624916153243,-4.115990880214218,332
-3.180570384765978,-3.475867040279909,-3.168822695080036,-3.403942879449373,-3.988026727975949,-3.803451679135266,-7.193498409755343,-5.574559140965057,-4.111724757571473,340
-3.230329870985297,-3.5382020268220606,-3.224473834846692,-3.454154060436618,-4.027743281863169,-3.809053748932112,-7.010586855240932,-5.500410340289745,-4.1216656613202405,14
-3.2670958379130703,-3.5274972499321398,-3.2595011159900817,-3.448140371848817,-3.913287045889676,-3.7748591150651984,-7.118581968635631,-5.483798011870872,-4.11387278074839,705
-3.2419779868049736,-3.5644361222442718,-3.232337431113017,-3.4647617029785227,-4.031543885598286,-3.7725782759020814,-7.0722580069374095,-5.594116279446849,-4.114954719311647,694
-3.153162357999168,-3.3894305199211523,-3.147436410528099,-3.354291913694462,-3.931035177666725,-3.7791201775207,-7.251013637838926,-5.588279206210433,-4.085856081971185,368
-3.1675518221803114,-3.409932558090296,-3.163397642363836,-3.3652185451697334,-3.910788793370653,-3.7981343519857216,-7.2240953876806735,-5.563367031035488,-4.081252850147878,833
-3.3019256414560667,-3.579782764499028,-3.295861202281956,-3.497559177107328,-4.004414733570751,-3.876955050191415,-6.993111398670952,-5.482145630979415,-4.134337616404712,587
-3.26087493982657,-3.587899618637288,-3.2503919891548563,-3.4759585009452545,-4.016909040068806,-3.891611744214317,-7.159229922832587,-5.559001153037135,-4.116730202771953,1
-3.2305835443295328,-3.5150774212899805,-3.226108562880692,-3.4565079420252065,-3.967550444877765,-3.808450715241898,-7.086126384122984,-5.499261934366377,-4.107037690299502,302
-3.267887531955369,-3.5515722512800734,-3.2598821515175733,-3.457027828614875,-4.041668183938514,-3.779990375829137,-7.051687712083441,-5.445562584691355,-4.114966581631856,923
-3.185178298322421,-3.5405596519624765,-3.1743020901409054,-3.4520140415271845,-3.9502570579297207,-3.7719593600572536,-7.205589188717107,-5.481346358794555,-4.093744403883766,879
-3.2171216270638423,-3.480757012724018,-3.2108311455373384,-3.4047758066257576,-3.904772668210819,-3.7600614376133903,-7.167951708637943,-5.552058532021392,-4.106196567170853,675
