newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
-4.919498638883184,-5.567483253150465,-4.875060576791684,-5.0745384086920655,-4.721725993305534,-4.679132626732129,-5.428087358807953,-5.049646846195646,-4.69420677549471,316
-4.944299395958972,-5.637699858259455,-4.897713578348638,-5.157157953258876,-4.729024555999006,-4.767063434776311,-5.431879059198895,-5.066286290358233,-4.718624658852226,239
-4.918919383006299,-5.5666098798320816,-4.862551738244163,-5.073763726830679,-4.720202008598444,-4.70588730843026,-5.410935184181261,-5.046106275303014,-4.69944319057445,241
-4.96785239453258,-5.64788501033081,-4.902775561041006,-5.134131791294307,-4.713765579850567,-4.717398658265432,-5.437216591421485,-5.056418922027517,-4.707364352275509,789
-4.988335882513415,-5.672882753988825,-4.930364716714855,-5.163979308848872,-4.72517527674604,-4.724196281653109,-5.447590403265087,-5.078542659462479,-4.720282008352149,250
-5.004738070906809,-5.683309248377833,-4.943688833916789,-5.1771524661123145,-4.748244882881349,-4.7363071505710925,-5.418532786322001,-5.053744545645568,-4.724853803789773,343
-4.962875134540476,-5.6398075551604965,-4.925608617203191,-5.147956254671702,-4.712675909737285,-4.811715818372449,-5.479588381446772,-5.088621736523414,-4.749303239777928,986
-4.944884420374703,-5.613191277458848,-4.903289471887156,-5.11681660162362,-4.747066853729963,-4.693114623455854,-5.43796384195906,-5.080878457446072,-4.704516608981639,159
-5.032750443733318,-5.71681890031303,-4.988550065511743,-5.231608064277921,-4.720552436493365,-4.707693910378377,-5.447447790156068,-5.083140885699498,-4.801797853424416,482
-5.008822847671311,-5.719435622174964,-4.943476122632977,-5.209277598151128,-4.741373408563117,-4.718465196807834,-5.441418771302717,-5.08148019975952,-4.726283771533764,841
-4.948840020739479,-5.593281525836552,-4.904898804336977,-5.110107010064405,-4.70175182876046,-4.713936043994482,-5.451293549427497,-5.068235579578607,-4.7319078864977016,775
-4.921831494364756,-5.617089873848344,-4.871502388137216,-5.108187631212763,-4.715209248779711,-4.719655836017994,-5.470387618250003,-5.0997791076181125,-4.712928442712213,867
-4.980974303008149,-5.60607066986073,-4.929632965458214,-5.125507593799976,-4.72513125412852,-4.714611714088915,-5.443491653553585,-5.067278221688884,-4.718161003648284,671
-5.02515077873399,-5.751749065216752,-4.9659679567443815,-5.234609291551019,-4.727484432110439,-4.677975081055176,-5.486789898620557,-5.108079236038604,-4.766589308133856,667
-5.024084460834195,-5.743348069983548,-4.967329339671052,-5.221106729489366,-4.73592492380908,-4.717788946504955,-5.426576983170549,-5.066546966267538,-4.743864765202074,111
-4.973054741930474,-5.67504752743744,-4.924254399208151,-5.187181031466562,-4.719318202062524,-4.69931217496995,-5.434742835681349,-5.066761446730488,-4.734150081019494,342
-4.918350975746519,-5.548615319666447,-4.873377759114122,-5.062288716461877,-4.71739941792565,-4.7310176592095,-5.469955827131649,-5.105570893110956,-4.725835402210542,990
-4.961463115851208,-5.624999976009694,-4.9043845115464535,-5.138059022193176,-4.728562719787967,-4.736725936116469,-5.449912865749587,-5.095621292194479,-4.734497616850352,140
-4.974050953180959,-5.684018611639536,-4.920135919058073,-5.167467268100739,-4.719690641145968,-4.752705743667088,-5.449120473749952,-5.063955860549918,-4.708443142690799,760
-4.972121563320726,-5.697477301378637,-4.914557109838168,-5.178288200841403,-4.723748130798109,-4.717688287056728,-5.434442577717981,-5.063551043538417,-4.730112120005996,640
