N,M,K1,K2,std_bt_likelihood,ho_bt_likelihood
1000,64,10,11,0.8082840742528195,1.0101807452116178
1000,64,10,11,0.225572949195684,0.1574720355667622
1000,64,10,11,1.0429045219551698,1.0002398331458118
1000,64,10,11,0.3711949728120534,0.3060197921705311
1000,64,10,11,0.6647693389167374,0.5852135967705645
1000,64,10,11,0.027845227709276332,0.0543719104071888
1000,64,10,11,0.10154781717278177,0.6173656556880329
1000,64,10,11,0.06548022103741867,0.08591669813329364
1000,64,10,11,0.055456144805455986,0.23064802698179232
1000,64,10,11,0.06933407300563048,0.102128007813552
1000,64,10,11,0.44683450470626773,0.24019934748790145
1000,64,10,11,0.7623252793921357,0.8484525337972441
1000,64,10,11,0.1088365651513193,0.1062285026818382
1000,64,10,11,0.2868100439808989,0.09721465077726242
1000,64,10,11,0.3380570043944552,0.45398888375199864
1000,64,10,11,0.13557351466488732,0.22071617108333433
1000,64,10,11,0.32194891403934395,0.35215874091135163
1000,64,14,15,0.2445271059298806,0.07187987377338981
1000,64,14,15,0.003969340821369324,0.0180854189570308
1000,64,14,15,0.29503059352667943,1.2396674155376164
1000,64,14,15,0.02613147951699924,0.06972154096649542
1000,64,14,15,0.1905803456617665,0.1818669882812697
1000,64,14,15,0.039827957283314785,0.057409236460970216
1000,64,14,15,0.004868006583610986,0.026908729974529547
1000,64,14,15,0.04950391734218294,0.031806161060808816
1000,64,14,15,0.13427011562430188,0.08701184517496717
1000,64,14,15,0.004953754907046993,0.014311374567403716
1000,64,14,15,0.1079129579808966,0.044741566888506064
1000,64,14,15,0.007051245165308664,0.011376031689854413
1000,64,14,15,1.5898626465374934,1.6812403084719085
1000,64,14,15,0.011599648415614894,0.03410054497418018
1000,64,14,15,0.0367006022718881,0.08139731186513677
1000,64,14,15,0.015056485315587306,0.04009238465913197
1000,64,14,15,0.0030339631008756526,0.013092322348070586
1000,64,14,15,0.038125247511173396,0.22497033351352513
1000,64,14,15,0.20993759165906928,0.1156735623181455
1000,64,14,15,0.007908961600427313,0.016149958398818366
1000,64,14,15,0.004412909149498529,0.03058257851510068
1000,64,14,15,0.3304853676079976,0.2446860023966597
1000,64,14,15,0.01404316538114189,0.034075037291454946
1000,64,14,15,0.001014813235826969,0.0039721674521422355
1000,64,14,15,0.1725995922466836,5.742091396807288
1000,64,14,15,0.015839381362304075,0.08050766577993194
1000,64,14,15,1.0968398094305856,1.3003379198220029
1000,64,14,15,0.3454554862384344,0.5582354243984233
1000,64,14,15,0.16321806439305453,0.12318393555778585
1000,64,14,15,0.0006079244881880725,0.012946317807673514
1000,64,14,15,0.0008211786831792687,0.006773296106238058
1000,64,14,15,0.02757602410879504,0.0229935593531814
1000,64,14,15,0.0027436556961985717,0.011734270849491583
1000,64,14,15,0.07157662616884096,0.0986963442654484
1000,64,14,15,0.0598683082821524,0.13251225290548982
1000,64,14,15,0.25968851349490707,0.2894277052135798
1000,64,14,15,0.06724229677855574,0.08332881936310195
1000,64,14,15,0.08297060551919012,0.028547433762990102
1000,64,14,15,0.020438452830934904,0.031533942170515625
1000,64,14,15,1.5500409746568726,1.3628196750428574
1000,64,14,15,0.0005570251620691555,0.05118069467456124
1000,64,14,15,0.07243939530793296,0.49275084507828537
1000,64,14,15,0.07521160328392867,0.16433040996232512
1000,64,14,15,0.9763451320341824,1.4095692158001891
1000,64,14,15,0.0188404615295195,0.013955597808990836
1000,64,14,15,0.004602789975872252,0.013654942377850329
1000,64,14,15,0.03151078783734772,0.022214366515839298
1000,64,14,15,0.02102575351639773,0.0896369405933374
1000,64,14,15,0.0540084288745598,0.02086289989940847
1000,64,14,15,0.0064806042849005945,0.026953070994173302
1000,64,18,19,0.00010908350271715283,0.05291415708955052
1000,64,18,19,0.0008569432564187886,0.03331947504447235
1000,64,18,19,0.018725367609992837,0.07453458654647255
1000,64,18,19,0.8510906203875662,0.17240899799055096
1000,64,18,19,0.3022667359487757,0.5197931493181512
1000,64,18,19,0.03466097834929422,0.2567579103294106
1000,64,18,19,0.002736991774062849,0.0794090486102786
1000,64,18,19,0.0004352052119202213,0.01749394351695521
1000,64,18,19,0.06163664822948466,0.18046794301143715
1000,64,18,19,0.0041931012726090155,0.022731333447527494
1000,64,18,19,0.0002520472498659602,0.005063951237062225
1000,64,18,19,0.018528440990623847,0.07005024002145933
1000,64,18,19,4.4938101679038e-06,0.0005207313875145877
1000,64,18,19,0.0003255070842053646,0.005131564775586057
1000,64,18,19,0.002148571565296394,0.05946108446022564
1000,64,18,19,0.0005159482098169113,0.018365802352553886
1000,64,18,19,0.000502175743812551,0.004467128154291053
1000,64,18,19,0.042163593253603554,0.041492220059119685
1000,64,18,19,0.011245768012104624,0.01669723248831703
1000,64,18,19,0.00015892482751894035,0.00204537287072615
1000,64,18,19,2.420278398198607,0.3896886263166437
1000,64,18,19,0.00017115058223089762,0.006830204909281619
1000,64,18,19,0.0012618364376023523,0.02138896882255875
1000,64,18,19,0.5291250844534363,0.019007696205915445
1000,64,18,19,0.05267508822158726,0.5532116893216984
1000,64,18,19,0.0013630702202949072,0.06334957418327113
1000,64,18,19,0.007991816496125792,0.12323080506485574
1000,64,18,19,0.000840428036403891,0.012343014121626632
1000,64,18,19,0.05722946812010983,0.27513537889307466
1000,64,18,19,0.0093292053291369,0.011624461169757795
1000,64,18,19,0.0003151398535832586,0.006009280459006521
1000,64,18,19,0.0006246923446562142,0.013253033353842996
1000,64,18,19,0.03721381916798373,0.02462527683595029
1000,64,18,19,0.0022199626551837994,0.004956163802535787
1000,64,18,19,0.007869051278596984,0.014141499561286604
1000,64,18,19,9.878789277098557,0.5433924440062878
1000,64,18,19,0.0012907775764102573,0.0026483466820539977
1000,64,18,19,0.0013448983526832556,0.1307227624476634
1000,64,18,19,0.4261068611926977,0.21244731838823203
1000,64,18,19,0.008716904410144173,0.1412402495649801
1000,64,18,19,0.0052951399139523955,0.05676245601194058
1000,64,18,19,0.05286938591217371,0.1721397014473617
1000,64,18,19,0.29402140712530606,1.2615376875214144
1000,64,18,19,0.00402853187095174,0.1048843034491128
1000,64,18,19,0.006592452395799062,0.05462493071893802
1000,64,18,19,0.02525134943218181,0.01029407648062965
1000,64,18,19,0.0041002897296211985,0.019222453130291688
1000,64,18,19,0.0014951502006967517,0.005709503202913085
1000,64,18,19,0.0198646657317337,0.056373856368548796
1000,64,18,19,0.0009150230607250829,0.010669941913094975
1000,141,2,3,1.4144650365584839,1.4169223719709267
1000,141,2,3,0.6826774606285302,0.6809892698048433
1000,141,2,3,0.6936325847435099,0.6936524578262367
1000,141,2,3,0.826483139495277,0.8254080335513374
1000,141,2,3,0.7021123835854355,0.6987096072075126
1000,141,2,3,0.6237355057327733,0.6217933494060128
1000,141,2,3,1.2823983720685586,1.2743891827798839
1000,141,2,3,1.002923575653523,1.0152435422386472
1000,141,2,3,0.7156066698515541,0.7152709561618252
1000,141,2,3,1.3593288449426524,1.3592155068979639
1000,141,2,3,0.86039428121558,0.8559126899233213
1000,141,2,3,0.8889026409978189,0.8757734673686352
1000,141,2,3,0.5956574936753853,0.594391216647183
1000,141,2,3,1.2254018751982898,1.2216212656492667
1000,141,2,3,1.9592056406742089,2.000194289232133
1000,141,2,3,1.4106345891965537,1.4314232449672204
1000,141,2,3,0.8704827559627721,0.8735854638899279
1000,141,2,3,0.7841393579180518,0.7834688122366757
1000,141,2,3,0.8233659378578272,0.8224675230301672
1000,141,2,3,1.004314744873914,1.0044366029637413
1000,141,2,3,0.9696433875175343,0.9677201363247518
