BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,rep
-1.207009732612066,-1.0703796444080296,-1.2537323432867118,-1.0567602120473218,-1.2804239926408627,-1.1909502583849554,-1.949199720026744,-1.955577084103984,-1.4757963273001955,990
-1.1937708429939204,-1.061249538576729,-1.238543049236462,-1.0513438239139037,-1.2897237962461128,-1.178416897485536,-1.9553803698620424,-1.9618762805603744,-1.471689174055411,140
-1.1797951363596506,-1.0229727459166926,-1.227347706685964,-1.0160079054039488,-1.2793413571387582,-1.1840308666117234,-1.9722172636936453,-1.9549488249104052,-1.4662877635390537,760
-1.192943264599627,-1.052237405962571,-1.242209861260869,-1.0403415109930478,-1.304214935449787,-1.1973121767962742,-1.9537516541918276,-1.9481778674124943,-1.4701684925774128,640
-1.1697266476490082,-0.9999479478644852,-1.2174400001118957,-0.9969557802435436,-1.3097326896545105,-1.1548885397297768,-1.9724805546374464,-1.9850592580727375,-1.466132779613906,6
-1.178889414743038,-1.049474381212835,-1.223748633016837,-1.0349239487331978,-1.2772274407830984,-1.1852147254764724,-1.9686456585839311,-1.958743334643424,-1.4688803427455963,722
-1.196587092495834,-1.0483969988141026,-1.241905625723534,-1.0396420841710905,-1.265639114309138,-1.1856705080806562,-1.9518360419886347,-1.9590745323476704,-1.4704399295696218,910
-1.1831120783414493,-1.0361292615774884,-1.2289323269566883,-1.0296466998858262,-1.329786981307152,-1.1630000696310925,-1.966251192690396,-1.9388673233555087,-1.468771000973126,852
-1.147168690281126,-0.9901926038221308,-1.1943146569035985,-0.9840505549053216,-1.2944721570548707,-1.1578230942021588,-2.0076134541311443,-2.010409706539885,-1.458386764357435,410
-1.1833142022689822,-1.0024735716768214,-1.2357683488994888,-1.000579041181039,-1.265021126432667,-1.1827276727114202,-1.9584461474627888,-1.9801729057910669,-1.468162038007214,249
-1.175150153510246,-1.0443244910498894,-1.216683285450779,-1.0353599312082888,-1.2839267382200037,-1.1793797620885569,-1.9732105124153363,-1.966930494402256,-1.4682645576516191,474
-1.2052230792964118,-1.059920509549913,-1.249354545369436,-1.0532944164982505,-1.2754019399406942,-1.1771280068180583,-1.948691754651097,-1.9557567466919503,-1.4742104214844274,618
-1.216155467605836,-1.1046678127443657,-1.257408973183666,-1.0889539326475188,-1.320137856321276,-1.2291932908824303,-1.948580832387252,-1.942754692143922,-1.4779847243493107,84
-1.1657928904313983,-0.9847757254180088,-1.2138843659709857,-0.98025431057372,-1.2400630783098665,-1.1451019365836386,-1.9768070075947552,-1.9864117646248367,-1.4639990822682971,359
