1: 68,73,81,108
1: 109,145,167,115
1: 31,69,85,126
1: 162,102,59,130
1: 96,99,61,113
1: 57,69
1: 166,96
1: 73,109
1: 58,99
1: 102,68
1: 162,139
1: 31,145
1: 102,146
1: 162,73
1: 57,166
1: 57,162
1: 58,73,167,108
1: 70,157,101,85
1: 146,23,80,15
1: 109,166,61,168
1: 99,125,169,170
1: 69,91,17,130
1: 68,31,55,10
1: 57,162,49,171
1: 146,157
1: 58,91
1: 99,73
1: 109,162
1: 23,68
1: 69,125
1: 70,166
1: 146,69
1: 57,58
1: 99,70
1: 99,146
1: 146,57,162,17
1: 109,73,23,11
1: 61,82,69,2
1: 70,85,172,101
1: 58,59,31,55
1: 49,122,166,165
1: 113,167,125,132
1: 68,99,130,154
1: 58,167
1: 146,82
1: 59,61
1: 99,113
1: 73,49
1: 122,68
1: 146,73
1: 122,58
1: 109,59
1: 109,122
1: 145,109,61,5
1: 23,17,81,73
1: 58,85,31,150
1: 139,173,82,15
1: 99,11,167,149
1: 70,162,101,112
1: 146,69,125,42
1: 59,57,68,116
1: 146,162
1: 59,17
1: 11,139
1: 145,173
1: 99,69
1: 85,59
1: 146,58
1: 11,145
1: 85,11
1: 146,85
