BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,distribution,rep
-2.7940474162353786,-3.0485735026336425,-2.790126143478687,-2.9210197220316267,-2.951198189308796,-2.958408172192301,-3.9524873715572766,-3.673052433271274,-2.989708763653669,gamma,60
-2.826576007365395,-3.140273120953099,-2.8078546923905936,-2.988891857485793,-2.9980200850714103,-3.0281619101314208,-3.994800905966924,-3.652252113262061,-2.9856881592553792,exponential,4
-3.2758016834328942,-3.466960114764603,-3.2683027186054314,-3.381300501208466,-3.2646094563111485,-3.3865037458625618,-3.297242960457918,-3.2674988352157133,-3.168731408681517,beta,48
-2.851321487992054,-3.072811606697592,-2.8337963863333147,-2.9617000715037545,-2.970941569089589,-2.966261873170418,-3.9703911936339416,-3.692785714175648,-2.997470603051197,gamma,31
-2.804594069094049,-3.0509568568114296,-2.7911931870968103,-2.925415792457861,-2.9252532621238103,-2.926070622824669,-3.970797699532618,-3.6695473052975167,-2.9862499751170533,exponential,83
-3.2755267245023325,-3.4737157321608105,-3.264108022848076,-3.390777561213471,-3.373944105513028,-3.2876420823490453,-3.309358813398524,-3.2896057780526777,-3.1663729645628163,beta,98
-3.23743448390241,-3.454595846444028,-3.2223143660778955,-3.3559474424238704,-3.226024635135943,-3.2773859178792355,-3.348715400990599,-3.3013605344103274,-3.1513065450204527,uniform,5
-2.675745019867691,-2.8882060196640214,-2.664250475136548,-2.789943944255259,-2.8168248564233678,-2.854155943627008,-4.135182815200014,-3.624482212740965,-2.9125607596675827,normal,68
-2.0380833211946072,-2.304019044752792,-2.0290449205658136,-2.2620523494539784,-2.755569254425337,-2.648124014632017,-4.902769754613238,-3.7835644865075655,-2.7100197795494747,logistic,44
-3.239001715245132,-3.410785877001136,-3.2319637995844794,-3.3274087297205512,-3.252622591208898,-3.309997658248243,-3.2983558701436664,-3.268703457489769,-3.1606909734628017,beta,13
-2.841295164589709,-3.1294592317542542,-2.8194616285608523,-2.98698769667177,-3.0053491546637887,-3.022021266810009,-3.958895131464212,-3.6577651558372857,-2.9990732698663063,gamma,40
-2.739102590570535,-3.0092919751895706,-2.7299516668561896,-2.870653883477205,-2.942756002640444,-2.946648117121708,-3.9902232549318426,-3.656470613960799,-2.975153835887526,exponential,81
-2.787554538184353,-3.028447954966008,-2.7777658026289624,-2.893948041239631,-2.9403099944312108,-2.9595827718517724,-3.9459650963921047,-3.646889112098782,-2.9788730782372763,exponential,95
-3.272319072743407,-3.48240286374492,-3.2597104391850804,-3.392037185245424,-3.279516440339396,-3.3345414990031843,-3.314579565568894,-3.28850256910432,-3.167664921788841,beta,90
-2.143506938794705,-2.395943369320706,-2.131455159275172,-2.345968022670839,-2.7110784719563044,-2.6144217504007257,-4.9050602394502345,-3.751204137039085,-2.731650350884286,logistic,84
-2.893291640445427,-3.155348290074705,-2.87942808552038,-3.026295010801565,-3.032821339571429,-3.026557799375845,-3.884560223812697,-3.6114628475771178,-3.009614214494264,gamma,11
-2.1488994654517146,-2.362013581146177,-2.13968056813282,-2.31395559260903,-2.768033433527141,-2.6534803968711835,-4.869968044144419,-3.78302979924004,-2.7329794281169413,logistic,85
-3.293493822856949,-3.483673323298488,-3.280032713425628,-3.3997645378197,-3.238050069830354,-3.297210118869974,-3.3018364792917767,-3.268897487134873,-3.169856999624832,beta,59
-2.162032415751161,-2.3996259199167245,-2.156447264876954,-2.3474163902195,-2.7112094720090747,-2.6791768055777414,-4.910714157003962,-3.7503640253544535,-2.743303174206336,logistic,91
-3.2877871570994373,-3.503169927433348,-3.2709479097044576,-3.4124827845319303,-3.285171890877965,-3.319226975605197,-3.3008505954646643,-3.274479290500698,-3.169077363834222,beta,17
-3.3059556608939293,-3.51213752948616,-3.294441484869074,-3.3955398380508046,-3.321269484825554,-3.309157557431236,-3.3156818572165205,-3.2774699035253474,-3.1678839489033424,uniform,30
-2.1514524689764984,-2.419053336855666,-2.140697738483911,-2.3689478132108563,-2.73384226292432,-2.632544180281874,-4.824649972313598,-3.7396765098466274,-2.7447166726227965,logistic,20
-3.2339850222953905,-3.447048688392191,-3.221858201576542,-3.357522963581065,-3.226322025580868,-3.2688320157519053,-3.3309154197351085,-3.278699911558176,-3.150746602483093,uniform,72
-3.2936552002232866,-3.5100604303520315,-3.2761020791185835,-3.4063084841814004,-3.2315348318095176,-3.326457825048505,-3.2863353048563693,-3.2487931546145656,-3.174925792401134,beta,39
-2.697219997232135,-2.877368772287933,-2.693200276642987,-2.7848987047857205,-2.8862253868837557,-2.825312785799197,-4.09294646299598,-3.6001786566481337,-2.9210900745856008,normal,29
-2.677876085690387,-2.916009489792254,-2.668345419748858,-2.8148180936877414,-2.8264770078134887,-2.894264252597972,-4.07557809305669,-3.587622077213818,-2.908849408449013,normal,58
-2.753708113744097,-3.0246646424211883,-2.742201221728962,-2.9072017970640203,-2.8784596552754347,-2.9760722320349062,-4.011397904465225,-3.6815653106928905,-2.970912649032702,exponential,8
-3.266468312430977,-3.479530495324687,-3.253392918920305,-3.380815305385354,-3.2404907007676784,-3.287453403231347,-3.3235883646151083,-3.2754478054906038,-3.158577990024516,uniform,66
-3.2655136850903976,-3.47046125036618,-3.254905539143296,-3.3829687428531083,-3.2186512573703507,-3.279560109040578,-3.3180072677680155,-3.277201396575376,-3.1652127970827806,beta,85
-2.1028124601505445,-2.3603979677632005,-2.0928715675040483,-2.303721138398992,-2.7023189918962203,-2.6225848360415163,-4.892347837650052,-3.773851968653013,-2.72013503826674,logistic,32
-2.159433905922935,-2.421054430082536,-2.1445509210318057,-2.371429472076899,-2.753269802736832,-2.6541610006657983,-4.866323568302602,-3.777106541000532,-2.734731615358092,logistic,90
-2.8437191364951264,-3.093963346376036,-2.839866163225379,-2.9654818857502683,-2.9837779780455405,-3.030531848808368,-3.924474126910595,-3.631404448009384,-3.0004613940707188,gamma,90
-2.823162479161359,-3.0679979716535426,-2.8115700124953213,-2.951512780386896,-2.9651761148630427,-2.999251103638744,-3.896207662200837,-3.623688592493908,-2.9992846008980294,gamma,37
-3.2822711436761147,-3.451899479763696,-3.268383964261546,-3.3754565581509945,-3.245745164978382,-3.320360509569074,-3.285820313534236,-3.259748703686721,-3.1702787172156297,beta,27
-2.719208928955013,-2.9390575684517923,-2.704633856119627,-2.841869333198358,-2.8475674636738004,-2.890601874072336,-4.0666693340647,-3.5897235992561867,-2.922046417265157,normal,62
-3.28169872801468,-3.492353212969567,-3.272956504239135,-3.395810348903608,-3.315022059056898,-3.460131707327593,-3.3086521742580066,-3.2822965260622405,-3.1679075661124885,beta,68
-2.870579831692732,-3.121362495914068,-2.85401171353357,-2.9784820494754065,-2.969207963755132,-2.972625436430168,-3.9210275776490255,-3.642400695215162,-3.008260134087875,gamma,7
-2.115671029608912,-2.309965571600028,-2.103854826199414,-2.27443164427796,-2.740170658253166,-2.658542981139232,-4.880361398125942,-3.819233274325584,-2.7321188443629403,logistic,10
-3.2467036138660177,-3.4848185421717472,-3.2308726150974336,-3.3864832722368985,-3.207040927583015,-3.329953831273261,-3.3243493526925687,-3.2781734519365697,-3.154164312440047,uniform,19
