BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,distribution,rep
-1.1244941538697335,-1.2513197192573895,-1.1180314717346949,-1.192196064412837,-1.2516992354197172,-1.225121588470236,-1.844738941547791,-1.6536503222154018,-1.2782317884858176,exponential,70
-1.4381479183286174,-1.518221911897924,-1.4284285582326808,-1.4873343464207616,-1.450777944128409,-1.4874061783069794,-1.432322868102473,-1.4191809671464533,-1.3848904434672822,beta,23
-1.1237715050284496,-1.211224650215058,-1.1191238130394603,-1.180729353418762,-1.2247427900952097,-1.215068659609122,-1.820815291097624,-1.6434954057929254,-1.2775743965558803,exponential,26
-1.1468126152899347,-1.2323094187953518,-1.1421969807068983,-1.1924143497822954,-1.22031356485723,-1.2181331323952655,-1.8158539166455376,-1.6371413783479436,-1.2790674363527417,exponential,49
-1.1514657551226006,-1.214312413142705,-1.1491297173696955,-1.194593058500581,-1.2500445089431798,-1.2198964582247631,-1.8076941687526835,-1.5806185363353145,-1.271055793741198,normal,4
-1.4330621273087976,-1.508901114371012,-1.4284721021090183,-1.4726498430393058,-1.4252140719454025,-1.4206361765530553,-1.43390920617278,-1.4184243145662,-1.3823106798072538,uniform,31
-1.4459187106718208,-1.545074047822882,-1.4402627874405578,-1.4988643491708027,-1.4546544734699762,-1.5144019035203555,-1.428826154897327,-1.4216940958313369,-1.3886493007662746,beta,80
-1.1265027499876754,-1.206856597087087,-1.1241774523857937,-1.174596029104617,-1.2254198069358262,-1.216380367683458,-1.834057682122843,-1.658615535144448,-1.2749123711671404,exponential,36
-1.4601390028524022,-1.571597345791542,-1.4482496451200693,-1.5281880163657275,-1.4362433476221326,-1.505803627453029,-1.4271826931506062,-1.4256878937671638,-1.3919749877545784,beta,96
-1.153450027178473,-1.2543489280541982,-1.1470839351906967,-1.2157439477594632,-1.243247341235533,-1.2740330642931796,-1.8003958906516873,-1.645802500845877,-1.2858965662755466,gamma,13
-1.1769664567125406,-1.258839080699773,-1.1705131594104663,-1.2274798223052643,-1.2591347111956477,-1.253127169433349,-1.7855636142923743,-1.571968324593242,-1.275520321953438,normal,50
