std,stdl,ho,hol,point,spring_rank,N,M,K1,K2,trainsize,rep
-6.364158844716676,-6.456926814655357,-6.198937665624798,-6.411697944440992,-42.27051994685491,-6.360233070410859,1000,1500,5,7,0.09120108393559097,17
-9.62190612870746,-9.623134817898405,-9.4967893149062,-9.592093268683511,-56.484635443986306,-9.58835528096976,1000,1000,6,9,0.020892961308540396,2
-2.2798673568671974,-2.394996501501317,-2.2520816967081205,-2.3688855474333876,-10.555693454290424,-2.412927256291063,1000,1000,2,5,0.5754399373371569,1
-10.555918652401822,-10.547038586242879,-10.449990259088933,-10.529726960107494,-59.21354458338282,-10.618885632427006,1000,1500,8,8,0.012022644346174132,15
-8.480647080424237,-8.458592494496814,-8.436434158716999,-8.456631946506636,-30.079743055892468,-8.543789610544914,1000,1500,6,8,0.01,16
-1.7988328464563457,-1.799126569645663,-1.7965329133002024,-1.7968177675274228,-4.775008124598453,-2.357557374191856,1000,1500,3,3,0.014454397707459272,10
-1.797798417412949,-1.794332278339195,-1.7957943295950833,-1.7925472498119355,-3.8706748295883835,-1.822214530083034,1000,1500,3,3,0.014454397707459272,17
-6.462799867720808,-6.631690832872999,-6.215496624020982,-6.5068398528657845,-38.705848526647195,-6.2818514998545085,1000,1500,5,7,0.1096478196143185,7
-1.5384483887798972,-1.5556583339504497,-1.5277143390379015,-1.5436123842542366,-3.2063194835080733,-1.6339999712896471,1000,1500,3,3,0.6918309709189366,11
-1.8153295898815949,-1.8192486656609754,-1.8151149580916361,-1.8189699198460294,-4.153315032236367,-1.8434432907999456,1000,1000,2,4,0.025118864315095794,9
-1.7552032362347512,-1.766857651730869,-1.7539782884017572,-1.7654164019995702,-10.359135552991436,-1.8158327910536516,1000,1500,3,3,0.04365158322401661,15
-10.576034409931973,-10.61358302984971,-10.468526489781548,-10.58125385597728,-51.067131199536824,-10.570868699640993,1000,1500,8,8,0.012022644346174132,14
-8.610166203564793,-8.525436290475714,-8.464248989951377,-8.500607535960514,-57.06536391417842,-8.51651800773337,1000,1500,6,8,0.025118864315095794,9
-2.228140335102725,-2.359464385231297,-2.199999334541581,-2.331317456116484,-5.504905556305526,-2.398510714812213,1000,1000,2,5,0.8317637711026709,16
-9.325983809827797,-10.636427806043319,-8.973186576951639,-10.18140390720901,-14.10818297203654,-9.953770252650907,1000,1000,6,10,0.3981071705534973,8
-9.619176481925498,-9.660881706364492,-9.574435268656572,-9.653815674878425,-38.71000568552797,-9.725225004165248,1000,1000,6,9,0.012022644346174132,10
-7.296863835764092,-8.219685281876451,-6.989915927073448,-7.88586530271789,-10.725206561517291,-8.024205933459388,1000,1500,6,8,0.3311311214825911,16
-1.6355007808248283,-1.6651421788311824,-1.630995687762331,-1.6603064339328073,-11.417743950017824,-1.6975515094590976,1000,1500,3,3,0.2754228703338166,15
