prop_ho_greater_std,prop_hol_greater_std,N,M,K1,K2,trainsize,rep,model
0.5940996948118006,0.49949135300101727,1000,1000,8,9,0.017378008287493755,14,ho
0.5872210953346856,0.3255578093306288,1000,1000,8,9,0.014454397707459272,6,ho
0.5768025078369906,0.46290491118077326,1000,1000,7,8,0.04365158322401661,9,ho
0.41762452107279696,0.3735632183908046,1000,1000,2,3,0.47863009232263826,16,ho
0.3924050632911392,0.380897583429229,1000,1000,2,6,0.13182567385564073,7,hol
0.03508771929824561,0.037112010796221326,1000,1500,2,2,0.012022644346174132,8,ho
0.5948453608247423,0.47835051546391755,1000,1000,8,9,0.03019951720402016,19,ho
0.5,0.437683284457478,1000,1500,2,6,0.09120108393559097,17,ho
0.6499466382070438,0.39167556029882605,1000,1000,5,5,0.06309573444801933,4,ho
0.47959183673469385,0.38979591836734695,1000,1000,7,8,0.020892961308540396,1,ho
0.3948220064724919,0.4692556634304207,1000,1000,7,8,0.6918309709189366,10,hol
0.43564356435643564,0.47744774477447743,1000,1000,8,9,0.09120108393559097,17,hol
0.43546576879910215,0.49607182940516276,1000,1000,8,9,0.1096478196143185,1,hol
0.3951612903225806,0.36363636363636365,1000,1500,2,6,0.09120108393559097,3,hol
0.3919239904988123,0.42992874109263657,1000,1000,5,5,0.15848931924611134,18,hol
0.16390041493775934,0.3623789764868603,1000,1500,2,4,0.03630780547701014,13,hol
0.5562130177514792,0.3136094674556213,1000,1000,5,7,0.8317637711026709,8,ho
0.6079734219269103,0.3388704318936877,1000,1000,7,8,0.3981071705534973,5,ho
0.2897959183673469,0.2336734693877551,1000,1000,5,7,0.020892961308540396,6,ho
0.44434222631094755,0.40846366145354185,1000,1500,2,4,0.2754228703338166,17,hol
0.05854322668481961,0.06398910823689585,1000,1500,2,2,0.020892961308540396,14,ho
0.39135135135135135,0.31567567567567567,1000,1000,5,5,0.07585775750291836,1,hol
0.420265780730897,0.4867109634551495,1000,1000,7,8,0.3981071705534973,2,hol
0.4589455488331893,0.38547968885047534,1000,1500,2,4,0.22908676527677735,4,ho
0.49892008639308855,0.47516198704103674,1000,1500,2,2,0.6918309709189366,13,ho
0.43521594684385384,0.5166112956810631,1000,1000,7,8,0.3981071705534973,15,hol
0.7742268041237114,0.7257731958762886,1000,1000,5,5,0.03019951720402016,19,ho
0.15048025613660618,0.15048025613660618,1000,1000,2,3,0.06309573444801933,3,ho
0.045454545454545456,0.03333333333333333,1000,1000,2,3,0.01,13,hol
0.5232432432432432,0.5664864864864865,1000,1000,2,6,0.07585775750291836,3,ho
0.6148867313915858,0.2783171521035599,1000,1000,7,8,0.6918309709189366,17,ho
0.41597510373443985,0.3008298755186722,1000,1000,8,9,0.03630780547701014,7,hol
0.04795918367346939,0.04183673469387755,1000,1000,2,3,0.020892961308540396,5,hol
0.5050505050505051,0.4353535353535353,1000,1000,5,6,0.01,19,hol
0.42152466367713004,0.42301943198804187,1000,1000,5,5,0.3311311214825911,11,hol
0.1472785485592316,0.44610458911419426,1000,1000,2,3,0.06309573444801933,19,hol
0.33136094674556216,0.3905325443786982,1000,1000,5,6,0.8317637711026709,12,hol
0.07731958762886598,0.0577319587628866,1000,1000,2,3,0.03019951720402016,15,hol
0.6370370370370371,0.6436213991769547,1000,1500,2,2,0.19054607179632474,16,ho
0.4055496264674493,0.3297758804695838,1000,1000,5,6,0.06309573444801933,4,hol
0.1926977687626775,0.10344827586206896,1000,1000,5,6,0.014454397707459272,16,hol
0.3612791702679343,0.3630077787381158,1000,1500,2,2,0.22908676527677735,6,hol
0.038657171922685654,0.03967446592065107,1000,1000,2,3,0.017378008287493755,17,hol
0.29669156883671294,0.4589114194236926,1000,1000,2,6,0.06309573444801933,10,ho
0.28561549100968187,0.2669432918395574,1000,1500,2,6,0.03630780547701014,11,ho
0.6275346851654215,0.48452508004268946,1000,1000,7,8,0.06309573444801933,18,ho
0.15532646048109966,0.340893470790378,1000,1500,2,4,0.03019951720402016,6,ho
0.445440956651719,0.4857997010463378,1000,1000,5,5,0.3311311214825911,1,hol
0.6604181687094448,0.27108868060562363,1000,1500,2,4,0.07585775750291836,11,ho
0.5881226053639846,0.3716475095785441,1000,1000,5,5,0.47863009232263826,0,ho
0.05088195386702849,0.06105834464043419,1000,1500,2,2,0.017378008287493755,8,ho
0.5409652076318743,0.4399551066217733,1000,1000,5,6,0.1096478196143185,5,ho
