prop_stdl_>_std,prop_ho_>_std,prop_hol_>_std,prop_point_>_std,prop_spring_>_std,N,M,K1,K2,trainsize,rep
0.5209876543209877,0.4049382716049383,0.5320987654320988,0.4444444444444444,0.5580246913580247,1000,1000,2,4,0.19054607179632474,0
0.6004084411164057,0.4628999319264806,0.5997277059223962,0.28863172226004086,0.6242341729067393,1000,1500,6,8,0.020892961308540396,18
0.8244514106583072,0.15987460815047022,0.8213166144200627,0.7983281086729362,0.8443051201671892,1000,1000,2,4,0.04365158322401661,11
0.647964796479648,0.30913091309130913,0.6358635863586358,0.5225522552255225,0.6523652365236524,1000,1000,2,5,0.09120108393559097,5
0.49546044098573283,0.38780804150453957,0.5071335927367056,0.4267185473411154,0.5123216601815823,1000,1000,2,4,0.22908676527677735,11
0.6308579668348955,0.3475126171593367,0.6409516943042538,0.5472242249459265,0.6892573900504686,1000,1500,3,3,0.07585775750291836,4
0.3668639053254438,0.5325443786982249,0.34911242603550297,0.3431952662721893,0.34911242603550297,1000,1000,2,5,0.8317637711026709,4
0.48132780082987553,0.6203319502074689,0.49446749654218536,0.050484094052558784,0.5325034578146611,1000,1500,8,8,0.03630780547701014,18
0.4489337822671156,0.7115600448933782,0.4691358024691358,0.038159371492704826,0.5039281705948373,1000,1000,6,10,0.1096478196143185,5
0.4530791788856305,0.625366568914956,0.4809384164222874,0.12316715542521994,0.49853372434017595,1000,1500,5,7,0.09120108393559097,13
0.3092621664050236,0.5557299843014128,0.31868131868131866,0.3108320251177394,0.29827315541601257,1000,1500,5,7,0.5754399373371569,17
0.8584615384615385,0.14666666666666667,0.8615384615384616,0.8092307692307692,0.8707692307692307,1000,1000,2,5,0.025118864315095794,3
0.4281524926686217,0.6979472140762464,0.4560117302052786,0.05865102639296188,0.4706744868035191,1000,1500,8,8,0.09120108393559097,10
0.21739130434782608,0.5731225296442688,0.23715415019762845,0.28063241106719367,0.233201581027668,1000,1500,6,8,0.8317637711026709,4
0.21262458471760798,0.6013289036544851,0.2558139534883721,0.3034330011074197,0.2469545957918051,1000,1500,8,8,0.3981071705534973,17
0.48989547038327524,0.6501742160278746,0.5052264808362369,0.04529616724738676,0.5017421602787456,1000,1500,8,8,0.04365158322401661,15
0.7683501683501683,0.2612794612794613,0.7656565656565657,0.6215488215488215,0.806060606060606,1000,1500,5,7,0.01,13
0.6319587628865979,0.5391752577319587,0.6402061855670103,0.256701030927835,0.6556701030927835,1000,1000,6,9,0.03019951720402016,1
0.7090909090909091,0.3717171717171717,0.696969696969697,0.4356902356902357,0.6989898989898989,1000,1500,8,8,0.01,0
0.8350515463917526,0.16494845360824742,0.8309278350515464,0.7731958762886598,0.8536082474226804,1000,1000,2,5,0.03019951720402016,9
0.8543226684819605,0.13206262763784887,0.8543226684819605,0.8509189925119128,0.8938053097345132,1000,1500,3,3,0.020892961308540396,13
0.40852974186307517,0.6251402918069585,0.4287317620650954,0.03928170594837262,0.44332210998877664,1000,1000,6,10,0.1096478196143185,13
0.21382289416846653,0.591792656587473,0.23758099352051837,0.24838012958963282,0.24406047516198703,1000,1500,6,8,0.6918309709189366,19
