prop_ho_greater_std,prop_hol_greater_std,dataset,rep,model
0.23648648648648649,0.2635135135135135,authors,48,hol
0.3816793893129771,0.5038167938931297,ucl,26,ho
0.5068493150684932,0.4383561643835616,fifa,10,ho
0.3969465648854962,0.5419847328244275,ucl,28,ho
0.48854961832061067,0.48091603053435117,ucl,45,ho
0.40540540540540543,0.31756756756756754,authors,4,hol
0.4351145038167939,0.4351145038167939,ucl,1,hol
0.5342465753424658,0.5068493150684932,fifa,18,ho
0.3816793893129771,0.48091603053435117,ucl,42,ho
0.4657534246575342,0.5205479452054794,fifa,32,hol
0.38513513513513514,0.6756756756756757,authors,13,ho
0.4383561643835616,0.5342465753424658,fifa,21,ho
0.5616438356164384,0.3561643835616438,fifa,26,ho
0.4189189189189189,0.32432432432432434,authors,17,hol
0.3969465648854962,0.4732824427480916,ucl,10,ho
0.42748091603053434,0.5267175572519084,ucl,7,ho
0.41216216216216217,0.4594594594594595,authors,11,hol
0.4931506849315068,0.4520547945205479,fifa,38,hol
0.4198473282442748,0.4961832061068702,ucl,34,ho
0.4732824427480916,0.48854961832061067,ucl,1,ho
0.2972972972972973,0.2635135135135135,authors,5,hol
0.3310810810810811,0.28378378378378377,authors,45,ho
0.4931506849315068,0.547945205479452,fifa,35,ho
0.34459459459459457,0.5,authors,36,ho
0.32432432432432434,0.32432432432432434,authors,43,ho
0.30405405405405406,0.2635135135135135,authors,32,hol
0.4198473282442748,0.42748091603053434,ucl,15,ho
0.4246575342465753,0.5068493150684932,fifa,23,hol
0.410958904109589,0.4246575342465753,fifa,29,hol
0.4657534246575342,0.5342465753424658,fifa,19,ho
0.547945205479452,0.4246575342465753,fifa,7,hol
0.46564885496183206,0.4732824427480916,ucl,41,ho
0.3918918918918919,0.47297297297297297,authors,39,ho
0.46564885496183206,0.4580152671755725,ucl,21,ho
0.4931506849315068,0.3972602739726027,fifa,16,hol
0.4520547945205479,0.4931506849315068,fifa,31,hol
0.4657534246575342,0.3424657534246575,fifa,0,hol
0.4732824427480916,0.42748091603053434,ucl,21,hol
0.4189189189189189,0.6148648648648649,authors,10,ho
0.4961832061068702,0.4122137404580153,ucl,45,hol
0.4520547945205479,0.4657534246575342,fifa,7,ho
0.589041095890411,0.6301369863013698,fifa,32,ho
0.4520547945205479,0.5342465753424658,fifa,46,ho
0.4794520547945205,0.5753424657534246,fifa,26,hol
0.3108108108108108,0.2702702702702703,authors,6,hol
0.2635135135135135,0.25,authors,2,hol
0.4794520547945205,0.4657534246575342,fifa,17,hol
0.4931506849315068,0.4657534246575342,fifa,45,ho
0.33783783783783783,0.25675675675675674,authors,19,hol
0.31756756756756754,0.3918918918918919,authors,43,hol
0.3783783783783784,0.27702702702702703,authors,25,ho
0.4383561643835616,0.547945205479452,fifa,39,hol
0.3816793893129771,0.4580152671755725,ucl,2,ho
0.3108108108108108,0.41216216216216217,authors,23,hol
0.4931506849315068,0.5342465753424658,fifa,2,ho
0.5616438356164384,0.6027397260273972,fifa,11,ho
0.4732824427480916,0.4961832061068702,ucl,18,ho
0.4246575342465753,0.4657534246575342,fifa,46,hol
0.5337837837837838,0.3716216216216216,authors,16,hol
0.4351145038167939,0.33587786259541985,ucl,43,hol
0.5405405405405406,0.5135135135135135,authors,18,hol
0.48091603053435117,0.4198473282442748,ucl,24,ho
0.3511450381679389,0.4122137404580153,ucl,7,hol
0.4520547945205479,0.5068493150684932,fifa,5,hol
0.5616438356164384,0.4383561643835616,fifa,28,hol
0.4520547945205479,0.5205479452054794,fifa,6,hol
0.5114503816793893,0.4961832061068702,ucl,33,ho
0.47297297297297297,0.25,authors,42,hol
0.5068493150684932,0.6164383561643836,fifa,30,ho
0.37404580152671757,0.45038167938931295,ucl,47,ho
0.5202702702702703,0.43243243243243246,authors,17,ho
0.4580152671755725,0.5343511450381679,ucl,3,ho
0.23648648648648649,0.1891891891891892,authors,1,hol
0.46564885496183206,0.46564885496183206,ucl,0,ho
0.49324324324324326,0.3108108108108108,authors,27,hol
0.3424657534246575,0.3972602739726027,fifa,21,hol
0.5753424657534246,0.410958904109589,fifa,1,ho
0.5135135135135135,0.39864864864864863,authors,3,hol
0.3783783783783784,0.3783783783783784,authors,7,hol
0.410958904109589,0.5068493150684932,fifa,35,hol
0.4122137404580153,0.4198473282442748,ucl,20,hol
0.25675675675675674,0.3783783783783784,authors,30,ho
0.4657534246575342,0.5342465753424658,fifa,20,hol
0.4732824427480916,0.44274809160305345,ucl,14,hol
0.44274809160305345,0.44274809160305345,ucl,3,hol
0.46621621621621623,0.25675675675675674,authors,18,ho
0.547945205479452,0.6712328767123288,fifa,44,ho
0.4383561643835616,0.4931506849315068,fifa,37,hol
0.2905405405405405,0.25675675675675674,authors,42,ho
0.2702702702702703,0.30405405405405406,authors,26,ho
0.4657534246575342,0.5342465753424658,fifa,4,ho
0.32432432432432434,0.24324324324324326,authors,38,hol
0.4351145038167939,0.4580152671755725,ucl,43,ho
0.30405405405405406,0.19594594594594594,authors,31,hol
0.4391891891891892,0.49324324324324326,authors,31,ho
0.32432432432432434,0.40540540540540543,authors,12,ho
0.4580152671755725,0.35877862595419846,ucl,29,hol
0.4198473282442748,0.46564885496183206,ucl,40,ho
0.4794520547945205,0.4520547945205479,fifa,3,hol
0.5616438356164384,0.5068493150684932,fifa,45,hol
0.410958904109589,0.410958904109589,fifa,49,hol
