prop_stdl_>_std,prop_ho_>_std,prop_hol_>_std,prop_point_>_std,prop_spring_>_std,dataset
0.5619047619047619,0.3904761904761905,0.5619047619047619,0.3333333333333333,0.23809523809523808,00004-00000133
0.273972602739726,0.273972602739726,0.273972602739726,0.3150684931506849,0.5342465753424658,00004-00000115
0.6813186813186813,0.31868131868131866,0.6813186813186813,0.31868131868131866,0.4065934065934066,00004-00000051
0.42138364779874216,0.44025157232704404,0.42138364779874216,0.39622641509433965,0.3333333333333333,00024-00000001
0.6622516556291391,0.33774834437086093,0.6622516556291391,0.33774834437086093,0.48344370860927155,00004-00000082
0.45689655172413796,0.3879310344827586,0.45689655172413796,0.5431034482758621,0.45689655172413796,00004-00000182
0.19047619047619047,0.7976190476190477,0.19047619047619047,0.27380952380952384,0.5,00004-00000109
0.4342105263157895,0.34210526315789475,0.4342105263157895,0.21052631578947367,0.4605263157894737,00004-00000126
0.4886128364389234,0.5113871635610766,0.4886128364389234,0.2919254658385093,0.2153209109730849,00004-00000093
0.45565749235474007,0.5443425076452599,0.45565749235474007,0.44648318042813456,0.3241590214067278,00004-00000092
0.44654088050314467,0.48427672955974843,0.44654088050314467,0.4591194968553459,0.29559748427672955,00025-00000001
0.4954954954954955,0.5045045045045045,0.4954954954954955,0.5045045045045045,0.4954954954954955,00004-00000087
0.6525974025974026,0.3474025974025974,0.6525974025974026,0.18831168831168832,0.6103896103896104,00004-00000071
0.7732558139534884,0.22674418604651161,0.7732558139534884,0.22674418604651161,0.42441860465116277,00004-00000085
0.7132867132867133,0.2867132867132867,0.7132867132867133,0.27972027972027974,0.7132867132867133,00004-00000094
0.5758928571428571,0.42410714285714285,0.5758928571428571,0.42410714285714285,0.5758928571428571,00004-00000062
0.5157969471068513,0.48420305289314874,0.5157969471068513,0.4220802271920483,0.20305289314873978,00004-00000056
0.7427536231884058,0.2572463768115942,0.7427536231884058,0.2572463768115942,0.7427536231884058,00004-00000049
0.5524475524475524,0.44755244755244755,0.5524475524475524,0.1888111888111888,0.34265734265734266,00004-00000152
0.5444444444444444,0.34444444444444444,0.5444444444444444,0.4666666666666667,0.18888888888888888,00004-00000161
0.6818181818181818,0.3181818181818182,0.6818181818181818,0.23863636363636365,0.6136363636363636,00004-00000125
0.581081081081081,0.35135135135135137,0.581081081081081,0.24324324324324326,0.4864864864864865,00004-00000129
0.6586826347305389,0.47305389221556887,0.6586826347305389,0.47305389221556887,0.718562874251497,00004-00000038
0.584,0.352,0.584,0.28,0.6,00004-00000188
0.29476584022038566,0.33608815426997246,0.29476584022038566,0.15977961432506887,0.6336088154269972,00004-00000196
0.14678899082568808,0.7522935779816514,0.14678899082568808,0.3669724770642202,0.7522935779816514,00004-00000023
0.3263157894736842,0.6736842105263158,0.3263157894736842,0.3684210526315789,0.4842105263157895,00004-00000121
0.33783783783783783,0.4189189189189189,0.33783783783783783,0.22972972972972974,0.6351351351351351,00004-00000178
0.53125,0.4,0.53125,0.4,0.4875,00024-00000003
0.7557354925775979,0.24426450742240216,0.7557354925775979,0.24426450742240216,0.7557354925775979,00004-00000016
0.5233160621761658,0.47668393782383417,0.5233160621761658,0.26424870466321243,0.5233160621761658,00004-00000074
0.42857142857142855,0.4095238095238095,0.42857142857142855,0.3047619047619048,0.5904761904761905,00004-00000139
0.2916666666666667,0.4583333333333333,0.2916666666666667,0.2361111111111111,0.2916666666666667,00004-00000106
0.2761904761904762,0.5714285714285714,0.2761904761904762,0.2761904761904762,0.2761904761904762,00004-00000199
0.24444444444444444,0.7111111111111111,0.24444444444444444,0.3888888888888889,0.044444444444444446,00004-00000146
0.6233766233766234,0.2857142857142857,0.6233766233766234,0.24675324675324675,0.6623376623376623,00004-00000102
0.3333333333333333,0.7380952380952381,0.3333333333333333,0.40476190476190477,0.40476190476190477,00004-00000131
0.5276073619631901,0.4723926380368098,0.5276073619631901,0.4723926380368098,0.3067484662576687,00004-00000054
0.3204225352112676,0.6690140845070423,0.3204225352112676,0.22535211267605634,0.6690140845070423,00004-00000052
0.6818181818181818,0.3181818181818182,0.6818181818181818,0.2636363636363636,0.6818181818181818,00004-00000154
0.5876288659793815,0.3402061855670103,0.5876288659793815,0.26804123711340205,0.24742268041237114,00004-00000148
0.5471698113207547,0.37735849056603776,0.5471698113207547,0.3710691823899371,0.4968553459119497,00024-00000004
0.40789473684210525,0.2894736842105263,0.5526315789473685,0.34210526315789475,0.5131578947368421,00004-00000123
0.4148148148148148,0.26666666666666666,0.4148148148148148,0.23703703703703705,0.725925925925926,00004-00000120
0.5416666666666666,0.4305555555555556,0.5416666666666666,0.3055555555555556,0.4305555555555556,00004-00000134
0.341991341991342,0.658008658008658,0.341991341991342,0.43073593073593075,0.35714285714285715,00004-00000040
0.23232323232323232,0.494949494949495,0.23232323232323232,0.43434343434343436,0.26262626262626265,00004-00000107
0.34177215189873417,0.4936708860759494,0.34177215189873417,0.2911392405063291,0.24050632911392406,00004-00000144
0.6842105263157895,0.3157894736842105,0.7578947368421053,0.3157894736842105,0.6842105263157895,00004-00000031
0.3953488372093023,0.5116279069767442,0.3953488372093023,0.3372093023255814,0.16279069767441862,00004-00000149
0.704,0.296,0.704,0.296,0.392,00004-00000055
0.35454545454545455,0.6454545454545455,0.35454545454545455,0.3,0.20909090909090908,00004-00000064
0.7417840375586855,0.25821596244131456,0.7417840375586855,0.25821596244131456,0.39906103286384975,00004-00000089
0.3717948717948718,0.2564102564102564,0.3717948717948718,0.24358974358974358,0.6153846153846154,00004-00000111
0.23376623376623376,0.7012987012987013,0.23376623376623376,0.22077922077922077,0.7012987012987013,00004-00000197
0.391705069124424,0.5852534562211982,0.391705069124424,0.3640552995391705,0.5852534562211982,00004-00000034
0.5740740740740741,0.42592592592592593,0.5740740740740741,0.42592592592592593,0.5740740740740741,00004-00000084
0.4189189189189189,0.581081081081081,0.4189189189189189,0.33783783783783783,0.35135135135135137,00004-00000042
0.49019607843137253,0.5098039215686274,0.49019607843137253,0.5098039215686274,0.49019607843137253,00004-00000090
0.33774834437086093,0.6622516556291391,0.33774834437086093,0.2582781456953642,0.5761589403973509,00004-00000076
0.2839506172839506,0.41975308641975306,0.2839506172839506,0.41975308641975306,0.49382716049382713,00004-00000189
0.55625,0.44375,0.55625,0.43125,0.36875,00025-00000004
0.46987951807228917,0.5180722891566265,0.46987951807228917,0.26506024096385544,0.6024096385542169,00004-00000130
0.6341463414634146,0.36585365853658536,0.6341463414634146,0.36585365853658536,0.6341463414634146,00004-00000025
0.6381909547738693,0.36180904522613067,0.6381909547738693,0.36180904522613067,0.6381909547738693,00004-00000039
0.2111111111111111,0.25555555555555554,0.25555555555555554,0.2222222222222222,0.6333333333333333,00004-00000135
0.5,0.5,0.5,0.40540540540540543,0.4189189189189189,00004-00000058
0.39,0.61,0.39,0.325,0.41,00004-00000080
0.45867768595041325,0.49586776859504134,0.45867768595041325,0.25206611570247933,0.32644628099173556,00004-00000187
0.47619047619047616,0.4880952380952381,0.47619047619047616,0.25,0.5119047619047619,00004-00000174
0.4926829268292683,0.5073170731707317,0.4926829268292683,0.17560975609756097,0.3853658536585366,00004-00000015
0.7669172932330827,0.23308270676691728,0.7669172932330827,0.23308270676691728,0.7669172932330827,00004-00000001
0.5878787878787879,0.43636363636363634,0.5878787878787879,0.3939393939393939,0.5636363636363636,00004-00000192
0.5844155844155844,0.4025974025974026,0.5844155844155844,0.2597402597402597,0.42857142857142855,00004-00000171
0.4288354898336414,0.5711645101663586,0.4288354898336414,0.3844731977818854,0.4288354898336414,00004-00000059
0.5569620253164557,0.3924050632911392,0.5569620253164557,0.22784810126582278,0.35443037974683544,00004-00000156
0.726027397260274,0.273972602739726,0.726027397260274,0.3219178082191781,0.678082191780822,00004-00000027
0.4084507042253521,0.5915492957746479,0.4084507042253521,0.38028169014084506,0.4084507042253521,00004-00000032
0.5614754098360656,0.26229508196721313,0.5614754098360656,0.26229508196721313,0.7377049180327869,00004-00000097
0.5357142857142857,0.4642857142857143,0.5357142857142857,0.2857142857142857,0.5357142857142857,00004-00000044
