std,stdl,ho,hol,point,spring_rank,dataset
-2.672229435628929,-3.054654477308058,-2.6637457021127826,-3.040737844849533,-2.9010921704416517,-16.60411462567798,00004-00000106
-2.8997564298151657,-3.62199715935822,-2.8440888512762226,-3.606247022906811,-3.0114794097306516,-17.387944953746914,00004-00000199
-3.088853000925374,-3.4585815044086585,-3.077727574272746,-3.4523493640191303,-3.119410141542442,-18.196278901752784,00004-00000146
-2.5941434375954504,-2.720209941001186,-2.626609758943049,-2.719405241301777,-2.8447550521954676,-9.26744702950921,00004-00000102
-3.0627328155244204,-3.1033951961139388,-3.0552218666079045,-3.103419277487105,-3.087787385088986,-12.754677918791437,00004-00000131
-1.6655629084474022,-1.6686952118928982,-1.6658064916742907,-1.6686973938030847,-1.7199264881357648,-12.019736851531741,00004-00000054
-1.234469689013788,-1.3166060246990483,-1.230860030310279,-1.3165724035097235,-1.5204732202572375,-7.707275380367888,00004-00000052
-2.565158774935012,-2.5679789436796123,-2.567632049386784,-2.5673385810578115,-2.820464116075323,-8.902021105232885,00004-00000154
-2.7839192867533455,-2.843842076954009,-2.7788007961338006,-2.8429068584506907,-2.899994492049516,-15.699935793060524,00004-00000148
-2.8630410970864992,-2.881060525680394,-2.8611911184049212,-2.88072448784952,-2.9713650731388372,-12.976705884930348,00024-00000004
-2.8851456137301867,-2.976129744813038,-2.9088102959789452,-2.972332885737842,-3.0009096715795196,-12.616061695964948,00004-00000123
-2.5853986317016147,-2.7634122525145957,-2.604907758753856,-2.7609695670703367,-2.8019267565212345,-7.981060796367353,00004-00000120
-2.8763288240999327,-3.114739603926582,-2.874467551682317,-3.104697921409758,-2.993558565526,-14.36668178495901,00004-00000134
-1.6686355760886236,-1.6853426228818467,-1.666559549289501,-1.6853278592699108,-1.7156743020602365,-11.655795147607348,00004-00000040
-2.9515133536569427,-3.380051854780867,-2.913222837802954,-3.364871789967284,-2.9968719801017185,-17.777790630215925,00004-00000107
-2.8647159585093096,-2.9628261329141545,-2.8550840923139496,-2.9629505710422093,-3.0139510580720406,-13.80456306065777,00004-00000144
-1.547133768200324,-1.5483857349920234,-1.5470717013788156,-1.5480282237060423,-1.6231988533469888,-7.896227648748029,00004-00000031
-3.081105045442909,-3.1586656788033753,-3.0737692704683734,-3.157677175532543,-3.11825606494957,-18.01957198285957,00004-00000149
-1.492108696874301,-1.4902591151451896,-1.4929217034711328,-1.4902569727771184,-1.6409312094124984,-11.310804845198296,00004-00000055
-1.7169908567556738,-1.7384502779451114,-1.7142049428963362,-1.7383799732903136,-1.7561192531014396,-14.171315906522631,00004-00000064
-1.4192648640240242,-1.4174903832352308,-1.4199729126213587,-1.4174923357025875,-1.6086912859926368,-10.712789834801919,00004-00000089
-2.5939506401085786,-2.858808601247215,-2.6182729104800333,-2.8386914420118146,-2.8359286449154206,-10.220089128421353,00004-00000111
-2.522636460325903,-2.997662896597998,-2.481739415124073,-2.9911899488774742,-2.845027053727156,-8.229642302939238,00004-00000197
-1.5136631120947919,-1.5237276198584515,-1.5116274115135573,-1.5237639827711187,-1.6493135964745607,-9.590004019333545,00004-00000034
-1.6165107314246132,-1.6727263161671986,-1.6159812860262974,-1.6718699632892446,-1.6850027547491233,-10.187416915340783,00004-00000084
-1.7156554948683094,-1.7237535406836961,-1.7137129890436378,-1.7237949718014811,-1.7562244556202211,-11.5234499062819,00004-00000042
-1.7333841588747652,-1.762811708688979,-1.7389697733228804,-1.762458210290618,-1.7576801564455855,-11.86496116379165,00004-00000090
-1.4241520721953982,-1.4288634096831878,-1.423619360146842,-1.4289058637097398,-1.595920323404145,-9.723418324608051,00004-00000076
-2.9635831953238685,-3.095835111363594,-2.9651859844490533,-3.095041301772239,-3.0343062096049436,-13.16102819124029,00004-00000189
-3.1041304712237423,-3.147997767422325,-3.099482432398177,-3.14765740260357,-3.1060545377864344,-15.802398724401508,00025-00000004
-2.6136474403095415,-2.640154515846873,-2.6193962153095214,-2.6409254523815,-2.838612351319729,-10.529929935985923,00004-00000130
