HO_BT,HOL_BT,BIN,BINL,Spring_Rank,Page_Rank,Point_Wise,dataset,epoch
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,8
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,13
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,5
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,0
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,5
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,3
-81.94686684824848,-84.00245485219044,-81.6222192520744,-85.29057722807418,-82.24675791194318,-88.80849000854427,-83.64118868513077,00014,14
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,12
-8.022434364990433,-8.030349487441308,-8.020390480155609,-8.029643690384322,-30.488770946851087,-8.025189653349223,-8.022636612008808,00028,11
-38.10936022491801,-69.56958578835754,-37.79251413874196,-69.80754166211591,-77.42199315253518,-54.62263188670802,-44.23876014566323,00009,3
