ho_likelihood,hol_likelihood,std_likelihood
-19.462831451702364,-29.249173731329932,-18.412182958571957
-20.870057465135282,-23.78901841942879,-23.02151790666869
-15.813974164638795,-25.018065902203972,-14.4959387849194
-12.36795588833196,-22.5089507664875,-10.825621614216994
-24.49956858395885,-25.161353100421206,-25.752705887103925
-17.53155930776564,-25.22805923679954,-16.865172837171173
-22.41381568962724,-25.031231596043195,-24.726041291420497
-19.081178808699306,-29.176549837480522,-18.51301386459244
-17.81079170083446,-27.337618442509978,-17.05300685201807
-15.884992474137078,-25.16072777809673,-16.19880973203373
-25.502353656251362,-28.594612795403634,-24.531303785947493
-15.60996857612535,-26.57644377243799,-13.869468890773847
-23.0148846925052,-28.00611584910139,-25.095383495798092
-23.755207199612986,-27.49560388945147,-21.986222408564277
-34.72204791465949,-32.457336093359196,-36.983782844895536
-25.364529891830895,-30.27683314649593,-27.425911052524413
-22.150895708038874,-29.189336000270664,-20.34438864760153
-24.424994380989027,-27.65234594120942,-23.793621357797335
-13.402923035876048,-24.7645101088203,-12.699959278792367
-11.912582532901727,-22.9496285300182,-10.187382184022686
-15.41474715145257,-24.120540373282562,-14.930389751938398
-27.779404855515118,-27.72750111762892,-31.520429477367056
-18.16136123975973,-25.484978493294598,-16.882812546028717
-18.231699169338548,-24.464360119201633,-17.577613208022502
-22.041923466109232,-29.189893896114917,-23.77024507943677
-15.487491978611219,-24.07366664865124,-13.590766171538911
-18.473304074497346,-29.37578855884732,-15.517497195263806
-14.077017079189373,-26.827293641591623,-14.655020319252776
-25.3461019153905,-31.605110495480613,-25.00622540775363
-19.16279928565673,-24.139938993401074,-17.17112175368629
-27.828653379741354,-19.953974200637983,-30.23301999081968
-25.503627494001165,-30.62799624826755,-28.13263227449539
-16.446303750375378,-29.4111841569879,-15.053413337310712
-16.56908076880951,-22.459508576643028,-15.242891530564053
-25.905168835618905,-29.504666827289363,-26.395056659964833
-15.960854068701593,-20.93150846041086,-15.776535062526028
-16.27935978283415,-25.27180866269526,-15.936222339242232
-17.864488330977228,-23.301047706824317,-17.234500827151283
-19.098735527450167,-26.680508974187607,-18.393224685613777
-8.98565621681938,-20.39352818327147,-6.640386450276412
-14.441381780672861,-30.461978152108077,-14.69029774230336
-19.63627326215852,-24.33348958701233,-21.00344903438068
-19.40147450866253,-27.595285465576858,-20.688301713148043
-16.872206179658303,-25.337224563578722,-17.005097602575137
-20.994867899943046,-28.12279846496882,-21.906312600707864
-18.6298955180619,-29.52466049126221,-16.018411861466692
-22.973894041877806,-27.231289464381117,-20.742195559442372
-7.10740907291069,-20.474410894677998,-6.126156007543232
-16.730085387138246,-26.84680313571755,-13.90725067703875
-22.132426547390256,-28.71941673495891,-26.973125598582254
-21.165679357108147,-26.98656653407961,-21.761755634405414
-14.382749734109508,-23.127826563458203,-14.494665937314934
-21.068833621396216,-26.459872044531576,-22.43613703613634
-16.030069151906996,-28.114915646243155,-15.417289005810103
-15.957104708194684,-27.797151251004987,-15.229976076103329
-16.41023558009935,-21.94051230444183,-15.079516048571534
-17.7164132097542,-24.208116955834534,-17.033997625540263
