BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,train,rep
-1.61230212594145,-1.5184098124796483,-1.56742907737642,-1.5000677802517806,-1.5545800847105564,-1.5268193483864154,-4.535599258061224,-4.281078629534503,-8.404551727244591,0.020892961308540396,69
-1.6273659108518213,-1.5380094678235214,-1.5905253665936752,-1.5272017774781403,-1.5715524310272118,-1.56431016422242,-4.073073415731476,-3.889041109733154,-11.044353380757494,0.014454397707459272,98
-1.6484850838224845,-1.5619411166772614,-1.6079626933614195,-1.5474138915932745,-1.63450599744078,-1.554633361822382,-3.741184720439776,-3.615066030943949,-12.010171790719326,0.012022644346174132,96
-1.621437190206969,-1.5027289492592226,-1.581477623644832,-1.4898907186984631,-1.567581050065857,-1.5182297925504025,-4.665787302895434,-4.392910119236928,-8.207644914935631,0.020892961308540396,15
-1.1921956870718522,-1.0682530181733043,-1.235890451323274,-1.0546459871084912,-1.3663540521599284,-1.2277568054538022,-1.9909921834726407,-1.9200888799573996,-1.4670284757698624,0.3981071705534973,58
-1.280622241330725,-1.2011402468889407,-1.323299032424324,-1.176850041251856,-1.447157526356709,-1.3280136704822378,-2.019307150263853,-1.8191205057721211,-1.4781298259119533,0.19054607179632474,38
-1.1665136525976758,-1.0162386004620867,-1.2132848238740013,-1.006625365628688,-1.2901135137944622,-1.1814492414684972,-1.982603012989351,-1.9845750216625324,-1.4650251261881324,0.8317637711026709,84
-1.424831059920114,-1.343270888968846,-1.431863461639213,-1.32772167033468,-1.494742361442827,-1.4152761755532155,-2.915233635175208,-2.481670906875958,-2.637191295415499,0.06309573444801933,11
-1.6001620911443246,-1.540398875154042,-1.5691804207075029,-1.5322447092839775,-1.5877141825192012,-1.5490097082173993,-3.8502392613806578,-3.6810341255233134,-11.7483195309433,0.012022644346174132,71
-1.2958358677245063,-1.2057433631763386,-1.338545539421414,-1.1813852851072713,-1.423594568579782,-1.3221382988987098,-2.049616193682931,-1.8001199230890474,-1.479446662862516,0.15848931924611134,95
-1.4655125147223345,-1.3437680709190418,-1.459325010035193,-1.3210714714076357,-1.4875368021044155,-1.4279649758397086,-2.870829741618609,-2.491389612112539,-2.32381015180582,0.06309573444801933,96
-1.5766100200398396,-1.4849757188087036,-1.5340189367091566,-1.4740026128199686,-1.5411570425329573,-1.5064165217582968,-4.504403475442621,-4.221151756376962,-8.753210489068966,0.020892961308540396,65
-1.63137519891544,-1.4939167033091616,-1.5828188013252158,-1.4827506936167545,-1.5855065487139488,-1.5101028431012151,-4.485329271556292,-4.251687556384234,-8.777071445957668,0.020892961308540396,40
-1.4018887969893843,-1.2853177155959383,-1.4053436292863113,-1.2695121133855756,-1.4897403398600475,-1.3732288837969948,-2.5061645928511385,-2.1134575587158086,-1.8749471242378155,0.07585775750291836,71
-1.627394232597277,-1.5560989106327312,-1.5993853301245693,-1.5491518112551927,-1.607786904105701,-1.5574396682132248,-3.422272344045586,-3.29226716425557,-12.554114361391417,0.01,87
-1.4621455848283518,-1.333217969091983,-1.4619532863962532,-1.315880446611725,-1.5193492385472775,-1.4139387406340915,-2.887980679039839,-2.522261263493524,-2.3798632350030684,0.06309573444801933,21
-1.2197987511151087,-1.1288785194384214,-1.2666730896655318,-1.1050710984491363,-1.369103235418409,-1.2468002768925794,-1.97749416421028,-1.874858195495304,-1.471681998888172,0.3311311214825911,43
-1.3388060745341588,-1.244784914616022,-1.3657816420062356,-1.222121995321785,-1.432945363789316,-1.3340997626814466,-2.168236300281384,-1.8480948005426123,-1.503473793638885,0.1096478196143185,25
