newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
2.6359170623296845e-10,3.908201537221323e-10,-1.323654297800958e-10,-0.04244370314960872,-0.04244370314960872,-0.5788140944298604,-0.5788140944298604,-0.9872997225937609,250
-2.976057046112646e-11,1.8497324352252653e-10,3.4219621971622037e-10,-0.048495857761064146,-0.048495857761064146,-0.6094371067782327,-0.6094371067782327,-0.8514372770033755,343
4.821090962801866e-10,1.7013023672143856e-12,1.3960969082009445e-10,-0.06134219114246498,-0.06134219114246498,-0.6085386859824713,-0.6085386859824713,-0.8685171719523261,986
1.6810778954122475e-10,1.6342222607101942e-10,3.5344871878763285e-10,-0.058593888579605735,-0.058593888579605735,-0.6253527123287135,-0.6253527123287135,-0.8743352954756113,159
-5.20008301228142e-11,5.463380005517327e-10,4.2350140442952433e-10,-0.04117238204198261,-0.04117238204198261,-0.515913370377147,-0.515913370377147,-0.734030693687719,482
6.675783933984825e-11,-2.7100995012539765e-10,-3.817675199649373e-10,-0.04163225001941733,-0.04163225001941733,-0.6216568864163368,-0.6216568864163368,-1.0394699917839159,841
1.2010775263249229e-11,7.095845010532398e-11,3.578289584950378e-11,-0.0449893353291831,-0.0449893353291831,-0.6088012797013749,-0.6088012797013749,-1.0194231191560836,775
-6.272867835790952e-10,-3.263080479865704e-10,-4.865757483683148e-10,-0.053470825342533154,-0.053470825342533154,-0.6192261144543966,-0.6192261144543966,-0.8678051051002261,867
-2.393748662482542e-10,2.3813349355784885e-10,-8.695286109541845e-11,-0.05660346940099756,-0.05660346940099756,-0.6417904914951744,-0.6417904914951744,-0.827614633397422,671
3.79266450633263e-10,-3.573556611822376e-11,-1.7324465944722895e-10,-0.031587073155783595,-0.031587073155783595,-0.569914944588955,-0.569914944588955,-1.012810330542034,667
-2.300445564422382e-11,-7.592502672994217e-10,-3.269094235071324e-10,-0.06087757928126136,-0.06087757928126136,-0.583860094676949,-0.583860094676949,-0.7231761451165576,111
-5.531741164490484e-10,-1.3561830863872971e-10,-5.185401692545111e-10,-0.04707347795859973,-0.04707347795859973,-0.6034414213790547,-0.6034414213790547,-0.7996768128536291,342
-2.6903551722176624e-10,1.8776117335743413e-10,3.55605565939901e-10,-0.05574580699100082,-0.05574580699100082,-0.6105293232321145,-0.6105293232321145,-0.894950610263877,990
-3.1349535731077515e-10,-1.1763099463588112e-10,3.516675998547353e-10,-0.047432889146430096,-0.047432889146430096,-0.6236404409907921,-0.6236404409907921,-0.9920691812847379,140
-3.475128550105636e-10,-1.5970311808242987e-10,-1.521165660352611e-10,-0.04864290514771224,-0.04864290514771224,-0.5862884140584362,-0.5862884140584362,-0.7987640057357983,760
-3.21279048556139e-10,-2.7293319895815846e-10,3.805985527172845e-10,-0.05533805687626493,-0.05533805687626493,-0.5778295298347282,-0.5778295298347282,-0.8459777591335281,640
4.507622579641435e-10,1.7753094920785333e-10,3.3356146063399235e-10,-0.03957510114656022,-0.03957510114656022,-0.5875933719368248,-0.5875933719368248,-0.8042568173891161,6
-2.139823845007799e-10,-1.4984258504303904e-10,-2.0024197623647044e-10,-0.03236867879247696,-0.03236867879247696,-0.5407425934324777,-0.5407425934324777,-0.9655403223805581,722
