,newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
137,0.533,0.234,0.5395,0.542,0.5585,0.4035,0.4475,0.5365,242
138,0.5525,0.248,0.5485,0.547,0.578,0.395,0.4435,0.541,111
139,0.523,0.2535,0.5185,0.52,0.551,0.388,0.439,0.5195,149
140,0.509,0.2445,0.515,0.51,0.546,0.3925,0.442,0.5095,7
141,0.545,0.247,0.541,0.539,0.5755,0.4035,0.4575,0.5415,98
142,0.5445,0.237,0.544,0.5475,0.575,0.3955,0.446,0.542,286
143,0.5475,0.234,0.538,0.555,0.5755,0.4095,0.464,0.546,47
144,0.5345,0.2385,0.5415,0.5435,0.577,0.413,0.455,0.541,517
145,0.549,0.2465,0.5425,0.541,0.5835,0.411,0.461,0.5405,477
146,0.508,0.2445,0.514,0.5115,0.551,0.3845,0.43,0.511,753
147,0.5355,0.244,0.553,0.541,0.576,0.406,0.458,0.5375,815
148,0.5525,0.236,0.5475,0.542,0.5725,0.4185,0.457,0.5385,852
149,0.5455,0.2615,0.5435,0.536,0.561,0.394,0.443,0.5245,786
150,0.513,0.2465,0.5185,0.513,0.5425,0.393,0.436,0.511,557
151,0.5315,0.2405,0.5305,0.5375,0.5545,0.395,0.446,0.5295,953
152,0.528,0.2565,0.525,0.537,0.56,0.3965,0.4455,0.5325,672
153,0.527,0.2435,0.525,0.5255,0.56,0.386,0.434,0.5225,752
154,0.5175,0.235,0.5255,0.524,0.5705,0.399,0.448,0.528,789
155,0.5375,0.258,0.5515,0.533,0.5585,0.41,0.457,0.5285,911
156,0.5265,0.249,0.5215,0.538,0.5755,0.411,0.449,0.53,126
157,0.55,0.2415,0.5525,0.5525,0.584,0.4185,0.461,0.555,343
158,0.534,0.2515,0.5335,0.5265,0.551,0.393,0.447,0.527,622
159,0.5375,0.244,0.5445,0.5455,0.578,0.4,0.4545,0.54,55
160,0.5435,0.2545,0.543,0.548,0.583,0.4075,0.4665,0.539,748
161,0.544,0.2495,0.5315,0.5335,0.5585,0.382,0.4365,0.529,983
162,0.5155,0.2625,0.518,0.538,0.5575,0.3905,0.4395,0.528,328
163,0.539,0.252,0.544,0.543,0.5605,0.396,0.458,0.5365,832
164,0.532,0.242,0.526,0.5395,0.572,0.409,0.459,0.5405,502
165,0.5295,0.258,0.528,0.5145,0.546,0.384,0.4305,0.5155,99
166,0.545,0.2385,0.549,0.548,0.5895,0.394,0.4625,0.544,220
167,0.5425,0.2325,0.54,0.5375,0.5685,0.398,0.4575,0.536,812
168,0.5395,0.246,0.544,0.5395,0.5725,0.4035,0.457,0.5385,959
169,0.5565,0.2455,0.5405,0.5555,0.587,0.412,0.4645,0.542,618
170,0.5275,0.233,0.5365,0.5365,0.5735,0.408,0.465,0.5475,350
171,0.5495,0.255,0.5535,0.533,0.557,0.37,0.432,0.5225,837
172,0.545,0.2385,0.5455,0.5495,0.5775,0.4025,0.456,0.547,902
173,0.5375,0.2545,0.539,0.531,0.5565,0.3915,0.448,0.528,360
174,0.541,0.234,0.5385,0.5375,0.5715,0.4085,0.453,0.536,84
175,0.542,0.248,0.5375,0.5515,0.592,0.414,0.4665,0.548,211
176,0.5325,0.256,0.533,0.5365,0.561,0.3875,0.4425,0.5395,299
177,0.542,0.25,0.539,0.519,0.5595,0.392,0.4465,0.524,490
178,0.5265,0.2565,0.5285,0.518,0.552,0.4035,0.444,0.5185,700
179,0.5305,0.2655,0.5275,0.533,0.5675,0.419,0.4535,0.5315,45
180,0.528,0.229,0.5245,0.5355,0.563,0.407,0.456,0.5345,807
181,0.5395,0.2535,0.5335,0.5245,0.5605,0.3885,0.429,0.514,117
182,0.523,0.2655,0.5295,0.5135,0.559,0.3785,0.4295,0.5215,268
183,0.5495,0.241,0.544,0.531,0.5485,0.37,0.4285,0.5215,884
184,0.526,0.2575,0.5305,0.5275,0.5705,0.4005,0.449,0.5345,578
185,0.543,0.246,0.545,0.531,0.562,0.39,0.444,0.5295,96
186,0.5445,0.2485,0.543,0.5445,0.5695,0.4115,0.469,0.548,92
187,0.533,0.263,0.5235,0.518,0.544,0.393,0.4405,0.517,710
188,0.5455,0.242,0.545,0.545,0.58,0.401,0.458,0.543,147
189,0.537,0.2375,0.545,0.545,0.5785,0.3875,0.448,0.5415,717
190,0.552,0.257,0.546,0.534,0.5495,0.372,0.432,0.524,576
191,0.5285,0.252,0.5345,0.5425,0.568,0.403,0.4525,0.5345,974
192,0.5535,0.2335,0.549,0.5345,0.561,0.411,0.4665,0.536,639
193,0.5335,0.2445,0.5245,0.526,0.5705,0.3935,0.441,0.525,550
194,0.541,0.2425,0.539,0.5405,0.5735,0.394,0.4405,0.5305,44
195,0.5275,0.2595,0.5275,0.5355,0.5615,0.383,0.4455,0.5295,412
196,0.5435,0.2465,0.5345,0.5335,0.555,0.3855,0.4375,0.5225,903
197,0.5305,0.256,0.5275,0.53,0.56,0.399,0.448,0.534,803
198,0.546,0.232,0.5485,0.544,0.572,0.407,0.467,0.54,724
199,0.5425,0.2515,0.544,0.537,0.5605,0.401,0.453,0.5325,928
200,0.545,0.246,0.549,0.5445,0.5795,0.4095,0.45,0.5395,522
201,0.518,0.239,0.5125,0.529,0.5575,0.4025,0.4455,0.526,263
202,0.5325,0.2455,0.536,0.534,0.5565,0.406,0.4445,0.534,527
203,0.5555,0.2465,0.5425,0.54,0.5805,0.4125,0.4565,0.54,788
204,0.537,0.2445,0.525,0.524,0.55,0.3785,0.4395,0.5205,551
205,0.5285,0.247,0.521,0.537,0.5675,0.4045,0.456,0.537,891
206,0.5455,0.2525,0.5485,0.5315,0.566,0.3945,0.4565,0.5355,465
207,0.5495,0.246,0.5535,0.5485,0.578,0.409,0.4465,0.5455,643
208,0.5215,0.2595,0.529,0.5315,0.5485,0.3925,0.4305,0.521,407
209,0.5395,0.2465,0.5315,0.5315,0.5655,0.4005,0.451,0.534,831
210,0.5435,0.242,0.542,0.541,0.5625,0.39,0.4425,0.533,743
211,0.5495,0.239,0.544,0.538,0.563,0.4085,0.4615,0.531,499
212,0.5485,0.2425,0.546,0.5545,0.5785,0.4175,0.4695,0.5555,901
213,0.5575,0.2505,0.554,0.542,0.57,0.4155,0.452,0.5405,48
214,0.5345,0.2475,0.5345,0.5425,0.5805,0.4045,0.4595,0.536,965
215,0.5305,0.255,0.533,0.514,0.5505,0.391,0.4295,0.519,109
216,0.541,0.25,0.534,0.5365,0.582,0.4005,0.4535,0.5345,561
217,0.533,0.229,0.541,0.5425,0.573,0.4105,0.4565,0.538,898
218,0.5255,0.254,0.5295,0.53,0.5605,0.4085,0.463,0.536,158
