,newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
392,0.542,0.269,0.5305,0.52,0.544,0.383,0.4355,0.516,107
393,0.5325,0.238,0.5355,0.535,0.563,0.412,0.457,0.529,195
394,0.5515,0.233,0.5405,0.5465,0.584,0.4155,0.461,0.548,72
395,0.5135,0.2535,0.506,0.522,0.5605,0.3875,0.4375,0.518,87
396,0.5535,0.2335,0.5475,0.5395,0.5825,0.411,0.462,0.535,994
397,0.5475,0.253,0.542,0.5195,0.541,0.374,0.421,0.519,443
398,0.5465,0.24,0.539,0.5195,0.541,0.3835,0.4285,0.514,603
399,0.5115,0.2385,0.507,0.525,0.567,0.3895,0.442,0.5225,88
400,0.5375,0.2485,0.529,0.5305,0.551,0.388,0.4375,0.5125,853
401,0.54,0.237,0.5325,0.521,0.568,0.396,0.4465,0.5175,889
402,0.541,0.2395,0.534,0.5305,0.5655,0.3925,0.4425,0.5265,636
403,0.5605,0.2485,0.552,0.54,0.578,0.398,0.4545,0.5425,990
404,0.553,0.245,0.5525,0.5475,0.576,0.4095,0.4615,0.553,171
405,0.5245,0.245,0.5255,0.528,0.561,0.4005,0.446,0.534,329
406,0.5445,0.236,0.5485,0.523,0.5645,0.379,0.429,0.5225,813
407,0.536,0.2595,0.542,0.535,0.557,0.3815,0.435,0.5215,408
408,0.514,0.243,0.5295,0.5325,0.5545,0.408,0.461,0.538,97
409,0.52,0.2475,0.51,0.526,0.556,0.3895,0.433,0.5205,42
410,0.5335,0.258,0.5225,0.5225,0.5455,0.403,0.4445,0.518,306
411,0.547,0.243,0.539,0.533,0.557,0.3925,0.4475,0.534,77
412,0.532,0.233,0.525,0.5275,0.566,0.4065,0.447,0.5245,741
413,0.5285,0.2445,0.5305,0.5275,0.555,0.3955,0.446,0.527,844
414,0.5345,0.2505,0.542,0.5475,0.5745,0.407,0.4465,0.539,768
415,0.5455,0.246,0.548,0.536,0.5605,0.403,0.4515,0.5375,941
416,0.531,0.232,0.5295,0.5375,0.568,0.392,0.454,0.535,541
417,0.5345,0.2665,0.536,0.5305,0.5555,0.393,0.45,0.5315,362
418,0.5405,0.2355,0.5415,0.545,0.567,0.3955,0.4505,0.5345,751
419,0.527,0.231,0.5265,0.537,0.5705,0.3995,0.453,0.544,856
420,0.5265,0.2405,0.5275,0.5155,0.5405,0.39,0.4335,0.5085,94
421,0.5615,0.2475,0.55,0.543,0.5735,0.4,0.463,0.5455,817
422,0.543,0.244,0.541,0.525,0.5645,0.398,0.4405,0.5255,206
423,0.521,0.248,0.5265,0.5365,0.5625,0.3975,0.466,0.539,677
424,0.497,0.267,0.505,0.501,0.544,0.381,0.4365,0.5015,274
425,0.538,0.2595,0.532,0.528,0.5455,0.398,0.4425,0.5275,31
426,0.552,0.2375,0.551,0.54,0.5675,0.403,0.45,0.5295,207
427,0.536,0.257,0.5345,0.5315,0.561,0.389,0.4325,0.5175,880
428,0.551,0.25,0.5435,0.542,0.554,0.3975,0.456,0.542,537
429,0.542,0.2265,0.5465,0.553,0.594,0.4185,0.4665,0.549,571
430,0.541,0.2555,0.527,0.536,0.5545,0.403,0.446,0.5345,495
431,0.5445,0.24,0.55,0.545,0.577,0.402,0.453,0.5355,395
432,0.554,0.242,0.542,0.525,0.5615,0.399,0.443,0.5265,893
433,0.5385,0.228,0.536,0.548,0.5715,0.3975,0.4565,0.5415,638
434,0.542,0.2425,0.5425,0.538,0.572,0.398,0.4565,0.536,689
435,0.546,0.25,0.5455,0.5525,0.5795,0.42,0.47,0.56,709
436,0.529,0.241,0.534,0.5365,0.5685,0.394,0.445,0.5285,828
437,0.5195,0.2495,0.5125,0.496,0.5435,0.381,0.4205,0.497,830
438,0.5515,0.2365,0.5555,0.5535,0.5825,0.4115,0.4625,0.544,198
439,0.5365,0.232,0.5315,0.529,0.573,0.4115,0.455,0.5285,277
440,0.5265,0.251,0.5195,0.525,0.564,0.3865,0.4375,0.52,142
441,0.5395,0.2475,0.5405,0.5445,0.5595,0.4005,0.4515,0.54,509
442,0.5565,0.245,0.5495,0.543,0.57,0.407,0.4545,0.54,859
443,0.5535,0.245,0.548,0.5425,0.583,0.4185,0.462,0.5475,46
444,0.5435,0.242,0.541,0.5305,0.551,0.388,0.438,0.5355,626
445,0.543,0.2405,0.5555,0.546,0.581,0.4205,0.4665,0.551,270
446,0.547,0.2445,0.539,0.5435,0.568,0.403,0.453,0.5375,378
447,0.5365,0.2505,0.5355,0.5355,0.559,0.411,0.459,0.54,553
448,0.55,0.2505,0.5545,0.5335,0.555,0.398,0.4405,0.5265,940
449,0.5485,0.251,0.5455,0.5305,0.5685,0.393,0.4565,0.532,866
450,0.545,0.2295,0.5455,0.542,0.5855,0.406,0.4605,0.5485,767
451,0.5195,0.247,0.516,0.5125,0.5545,0.393,0.433,0.512,924
452,0.5285,0.251,0.532,0.536,0.5635,0.405,0.45,0.529,823
453,0.54,0.2505,0.5355,0.539,0.568,0.406,0.4525,0.538,337
454,0.5375,0.248,0.533,0.53,0.554,0.405,0.446,0.524,942
455,0.537,0.2525,0.5305,0.5315,0.558,0.384,0.441,0.5255,152
456,0.5415,0.2385,0.541,0.545,0.5705,0.3915,0.4545,0.5355,201
457,0.545,0.243,0.5475,0.5305,0.5645,0.406,0.4425,0.5285,454
458,0.542,0.24,0.536,0.5215,0.558,0.391,0.4465,0.5265,793
459,0.538,0.2395,0.5445,0.536,0.5665,0.394,0.4475,0.5435,538
460,0.531,0.233,0.533,0.5355,0.5735,0.4015,0.45,0.5295,779
461,0.561,0.2545,0.5585,0.535,0.5595,0.393,0.4455,0.5325,610
462,0.5345,0.2575,0.527,0.536,0.552,0.3955,0.4505,0.533,657
463,0.5345,0.247,0.536,0.526,0.567,0.412,0.456,0.538,529
464,0.537,0.2535,0.537,0.528,0.564,0.39,0.437,0.5205,50
465,0.527,0.248,0.5215,0.524,0.558,0.3825,0.4315,0.5235,460
466,0.559,0.238,0.5565,0.549,0.5805,0.404,0.457,0.552,799
467,0.547,0.241,0.5545,0.5485,0.583,0.4135,0.466,0.553,388
468,0.5585,0.2375,0.5575,0.555,0.579,0.402,0.45,0.5465,317
469,0.5445,0.2415,0.5405,0.5405,0.5785,0.3995,0.464,0.5465,772
470,0.537,0.2395,0.5425,0.5365,0.5545,0.414,0.453,0.5365,520
471,0.5605,0.231,0.5525,0.5425,0.5805,0.4215,0.464,0.544,67
472,0.5385,0.2415,0.5255,0.54,0.561,0.4075,0.443,0.5315,144
473,0.5275,0.261,0.5275,0.524,0.5545,0.3705,0.4235,0.5165,315
474,0.5355,0.2385,0.5385,0.53,0.564,0.3825,0.449,0.5245,761
475,0.5355,0.2435,0.532,0.5525,0.5655,0.403,0.4605,0.545,387
476,0.561,0.219,0.552,0.5405,0.562,0.3965,0.4405,0.5225,746
477,0.5365,0.239,0.539,0.5365,0.562,0.3895,0.439,0.532,355
478,0.5255,0.263,0.5245,0.5165,0.5555,0.3915,0.426,0.5225,894
479,0.5345,0.2275,0.5385,0.5475,0.5705,0.414,0.468,0.545,209
480,0.548,0.244,0.54,0.5315,0.5655,0.4015,0.4595,0.5425,641
481,0.5385,0.253,0.533,0.5285,0.5505,0.391,0.4315,0.522,444
482,0.5335,0.2545,0.536,0.54,0.5635,0.404,0.4425,0.5265,667
483,0.5355,0.2505,0.5405,0.5385,0.561,0.407,0.4595,0.5295,637
484,0.5435,0.2145,0.54,0.5445,0.571,0.405,0.454,0.5385,345
485,0.536,0.2385,0.524,0.524,0.5615,0.3985,0.4405,0.52,684
486,0.5455,0.2285,0.546,0.5475,0.572,0.4105,0.447,0.54,330
487,0.548,0.2415,0.5525,0.545,0.579,0.4,0.4535,0.539,63
488,0.527,0.2425,0.519,0.5225,0.562,0.3925,0.448,0.5225,925
489,0.55,0.2085,0.5495,0.5445,0.5815,0.4145,0.46,0.5415,247
490,0.5565,0.235,0.5425,0.5515,0.5595,0.4055,0.4545,0.546,707
491,0.528,0.2495,0.5295,0.538,0.574,0.405,0.46,0.5355,278
492,0.526,0.242,0.528,0.5255,0.5695,0.3925,0.451,0.5285,112
493,0.5315,0.243,0.5375,0.5385,0.571,0.397,0.4605,0.5365,668
494,0.517,0.236,0.526,0.5325,0.5685,0.3955,0.4465,0.532,179
495,0.5465,0.2375,0.542,0.5515,0.585,0.4,0.442,0.5295,547
496,0.533,0.2505,0.537,0.5085,0.5435,0.3905,0.427,0.505,161
497,0.5445,0.2425,0.5325,0.5495,0.5735,0.418,0.468,0.5445,955
498,0.5375,0.22,0.536,0.541,0.5735,0.4065,0.46,0.536,574
499,0.5385,0.2595,0.5335,0.538,0.5755,0.3995,0.4475,0.539,482
500,0.528,0.2455,0.526,0.5315,0.5585,0.3985,0.455,0.5325,100
501,0.5465,0.2505,0.544,0.5325,0.5555,0.388,0.4445,0.5295,597
502,0.556,0.233,0.5615,0.5475,0.5755,0.398,0.4515,0.5465,715
503,0.524,0.2585,0.5135,0.517,0.558,0.387,0.4375,0.5135,292
504,0.554,0.238,0.5485,0.551,0.58,0.418,0.4615,0.5515,977
505,0.532,0.2505,0.529,0.539,0.575,0.389,0.454,0.5485,935
506,0.5545,0.2405,0.552,0.5515,0.5955,0.4205,0.464,0.547,886
507,0.5505,0.231,0.5545,0.538,0.5675,0.3925,0.4425,0.5365,555
508,0.5425,0.2525,0.5315,0.5325,0.55,0.3865,0.4275,0.531,316
509,0.541,0.2445,0.528,0.539,0.572,0.4105,0.4655,0.5325,363
510,0.5395,0.247,0.536,0.528,0.5605,0.3925,0.4375,0.5265,170
511,0.548,0.249,0.545,0.5255,0.5605,0.3815,0.4305,0.5205,487
512,0.529,0.2505,0.5185,0.528,0.5495,0.3895,0.4375,0.5215,756
513,0.555,0.241,0.5435,0.5335,0.563,0.397,0.444,0.534,943
514,0.532,0.2555,0.5165,0.515,0.548,0.37,0.436,0.5175,313
515,0.5385,0.238,0.536,0.5385,0.577,0.4015,0.4565,0.537,985
516,0.527,0.2525,0.526,0.522,0.562,0.395,0.4415,0.527,673
517,0.537,0.255,0.5335,0.537,0.573,0.4095,0.455,0.535,478
518,0.5495,0.2475,0.547,0.544,0.5745,0.39,0.449,0.5405,327
519,0.527,0.2525,0.523,0.534,0.5645,0.404,0.4515,0.532,921
520,0.5325,0.232,0.5355,0.5475,0.5795,0.4185,0.4655,0.5425,763
521,0.543,0.2375,0.55,0.5545,0.5795,0.4025,0.465,0.554,882
522,0.55,0.2245,0.5515,0.5425,0.5725,0.4065,0.4605,0.549,289
523,0.5365,0.246,0.5355,0.541,0.5725,0.382,0.4425,0.5365,669
524,0.5425,0.2435,0.5365,0.5495,0.5685,0.4065,0.4595,0.542,224
525,0.5315,0.258,0.527,0.512,0.5465,0.3855,0.432,0.5125,204
526,0.549,0.2475,0.55,0.539,0.5725,0.3895,0.4515,0.534,690
527,0.5435,0.2335,0.54,0.56,0.5775,0.403,0.458,0.5425,900
528,0.5415,0.2445,0.54,0.538,0.559,0.391,0.4425,0.536,36
529,0.53,0.247,0.5365,0.5405,0.5835,0.4175,0.462,0.5445,956
530,0.559,0.246,0.557,0.537,0.5825,0.408,0.455,0.5365,842
531,0.535,0.2405,0.5215,0.534,0.567,0.397,0.448,0.5325,28
532,0.548,0.2575,0.5315,0.55,0.563,0.392,0.4395,0.537,122
533,0.55,0.2455,0.5485,0.5375,0.5675,0.4005,0.459,0.535,688
534,0.5335,0.251,0.539,0.5465,0.5725,0.395,0.459,0.5375,777
535,0.5445,0.255,0.537,0.535,0.568,0.394,0.456,0.5395,256
536,0.5465,0.221,0.5515,0.558,0.588,0.424,0.467,0.556,564
537,0.5405,0.245,0.5385,0.5155,0.5475,0.387,0.4285,0.5195,646
538,0.542,0.224,0.5425,0.557,0.581,0.4155,0.459,0.551,455
539,0.561,0.2385,0.557,0.536,0.565,0.3955,0.4395,0.5285,475
540,0.528,0.242,0.5225,0.535,0.564,0.395,0.4535,0.532,124
541,0.5265,0.232,0.5195,0.515,0.5485,0.3825,0.4335,0.516,592
542,0.536,0.258,0.5285,0.506,0.5395,0.384,0.4245,0.51,104
543,0.557,0.2425,0.56,0.552,0.5975,0.4095,0.461,0.547,49
544,0.538,0.246,0.5335,0.5345,0.5635,0.3905,0.4565,0.531,692
545,0.538,0.249,0.5455,0.5395,0.5695,0.394,0.449,0.5305,442
546,0.5425,0.233,0.5365,0.541,0.56,0.397,0.4625,0.5375,750
547,0.5385,0.2505,0.535,0.524,0.544,0.395,0.4385,0.5215,607
548,0.5415,0.2505,0.5415,0.533,0.5705,0.4045,0.448,0.532,810
549,0.5305,0.2495,0.5345,0.5275,0.5585,0.383,0.4355,0.5245,281
550,0.5275,0.233,0.5215,0.5345,0.5655,0.389,0.4445,0.5325,379
551,0.5465,0.2425,0.549,0.54,0.5695,0.391,0.4425,0.5305,434
552,0.5375,0.24,0.5395,0.5485,0.583,0.4105,0.4555,0.5485,952
553,0.522,0.2655,0.523,0.523,0.5455,0.3715,0.427,0.511,971
554,0.5405,0.2345,0.5485,0.5455,0.5855,0.4095,0.464,0.545,396
555,0.5575,0.2215,0.5565,0.558,0.5815,0.399,0.4595,0.5555,447
556,0.5505,0.2265,0.561,0.5655,0.6005,0.434,0.487,0.5655,404
557,0.549,0.231,0.5515,0.5575,0.585,0.4195,0.475,0.5555,6
558,0.535,0.24,0.537,0.5235,0.572,0.4025,0.45,0.5235,608
559,0.533,0.2345,0.5205,0.5295,0.5705,0.393,0.4335,0.538,511
560,0.5295,0.246,0.5275,0.521,0.558,0.394,0.446,0.531,961
561,0.553,0.239,0.555,0.5345,0.575,0.3995,0.4485,0.535,155
562,0.5275,0.2495,0.5315,0.527,0.5595,0.396,0.439,0.5255,860
563,0.5525,0.2295,0.562,0.5545,0.577,0.414,0.4555,0.55,414
564,0.555,0.2355,0.541,0.5395,0.5755,0.415,0.464,0.5435,800
565,0.552,0.241,0.5425,0.555,0.5845,0.408,0.462,0.551,987
566,0.5385,0.234,0.5455,0.5355,0.553,0.387,0.4425,0.5305,347
567,0.5485,0.2515,0.54,0.5545,0.5755,0.3935,0.4425,0.5355,742
568,0.532,0.248,0.5365,0.5225,0.55,0.382,0.4395,0.522,425
569,0.561,0.2255,0.5485,0.5695,0.5915,0.404,0.4645,0.5645,215
570,0.5425,0.2555,0.534,0.527,0.56,0.3915,0.448,0.5225,670
571,0.5425,0.2565,0.5395,0.533,0.564,0.3925,0.4435,0.5305,423
572,0.522,0.264,0.5225,0.5275,0.557,0.394,0.4345,0.5235,820
573,0.555,0.2505,0.5475,0.5405,0.569,0.3965,0.4515,0.541,847
574,0.544,0.243,0.5385,0.5245,0.563,0.3875,0.447,0.535,796
575,0.5455,0.2495,0.548,0.5335,0.5625,0.387,0.436,0.534,760
576,0.5425,0.242,0.537,0.541,0.564,0.409,0.4565,0.5365,461
577,0.5405,0.2355,0.5315,0.5325,0.565,0.3935,0.453,0.5385,134
578,0.556,0.2395,0.5585,0.5585,0.5855,0.413,0.4705,0.558,614
579,0.5415,0.2585,0.541,0.526,0.559,0.3795,0.435,0.5295,841
580,0.5335,0.259,0.53,0.5275,0.5525,0.3925,0.4335,0.5205,163
581,0.5355,0.232,0.5375,0.53,0.563,0.376,0.434,0.5215,307
582,0.537,0.229,0.546,0.556,0.592,0.4105,0.453,0.5485,57
583,0.545,0.2565,0.539,0.534,0.554,0.399,0.451,0.5265,257
584,0.546,0.241,0.5555,0.5535,0.585,0.4045,0.4525,0.5515,851
585,0.55,0.2275,0.546,0.5455,0.5655,0.394,0.452,0.549,335
586,0.555,0.239,0.5525,0.548,0.588,0.414,0.468,0.553,497
587,0.532,0.2565,0.5345,0.5435,0.569,0.4025,0.455,0.5335,189
588,0.5505,0.2405,0.5435,0.548,0.579,0.426,0.4775,0.5455,311
589,0.5415,0.237,0.5425,0.539,0.5665,0.412,0.461,0.5395,3
590,0.529,0.256,0.5285,0.53,0.5615,0.4005,0.433,0.526,754
591,0.542,0.2375,0.5355,0.55,0.5625,0.4105,0.4535,0.5365,566
592,0.5235,0.2445,0.527,0.533,0.5715,0.41,0.453,0.528,857
593,0.526,0.246,0.531,0.535,0.5675,0.4025,0.453,0.5325,877
594,0.511,0.252,0.5125,0.5155,0.5505,0.391,0.4485,0.521,635
595,0.545,0.251,0.548,0.529,0.5685,0.4105,0.462,0.536,599
596,0.5335,0.237,0.546,0.546,0.5805,0.4045,0.454,0.5425,184
597,0.5505,0.249,0.5415,0.5545,0.589,0.4125,0.4645,0.5505,565
598,0.531,0.236,0.531,0.5415,0.5665,0.408,0.453,0.5415,927
599,0.54,0.245,0.5345,0.535,0.571,0.4035,0.454,0.5325,850
600,0.5405,0.242,0.54,0.549,0.58,0.3985,0.457,0.5455,321
601,0.545,0.248,0.547,0.53,0.5585,0.3865,0.439,0.53,441
602,0.546,0.254,0.5385,0.528,0.559,0.3935,0.44,0.523,498
603,0.5445,0.238,0.546,0.54,0.5775,0.399,0.442,0.53,33
604,0.542,0.234,0.5505,0.548,0.576,0.4115,0.4655,0.545,190
605,0.5405,0.234,0.5415,0.5315,0.568,0.3915,0.4485,0.5355,944
606,0.5775,0.22,0.5715,0.5685,0.5895,0.4135,0.4655,0.562,567
607,0.5485,0.2485,0.5375,0.5335,0.5645,0.389,0.437,0.535,883
608,0.537,0.2415,0.5335,0.524,0.546,0.398,0.4385,0.522,400
609,0.528,0.2475,0.53,0.5225,0.5545,0.4005,0.4375,0.5245,269
610,0.5245,0.264,0.5215,0.5295,0.5605,0.404,0.4505,0.5305,655
611,0.536,0.2375,0.538,0.546,0.5645,0.405,0.458,0.547,431
612,0.516,0.26,0.513,0.5355,0.566,0.395,0.4515,0.5355,732
613,0.526,0.234,0.5335,0.5415,0.5785,0.4065,0.4555,0.5405,39
614,0.531,0.2585,0.5365,0.529,0.5365,0.3825,0.4335,0.516,628
615,0.527,0.246,0.529,0.5405,0.557,0.404,0.4585,0.538,146
616,0.5255,0.2395,0.5265,0.531,0.569,0.386,0.439,0.5295,82
617,0.518,0.263,0.5075,0.5135,0.546,0.399,0.433,0.515,702
618,0.5255,0.2545,0.519,0.521,0.5595,0.3765,0.429,0.526,115
619,0.529,0.2405,0.5255,0.5165,0.5575,0.395,0.441,0.514,631
620,0.547,0.244,0.542,0.5595,0.586,0.416,0.486,0.5515,56
621,0.5525,0.2495,0.549,0.525,0.5645,0.4055,0.45,0.522,249
622,0.56,0.236,0.554,0.5425,0.5595,0.4065,0.452,0.5405,428
623,0.535,0.252,0.5255,0.5285,0.5595,0.3905,0.436,0.525,406
624,0.5215,0.257,0.518,0.533,0.562,0.391,0.439,0.522,322
625,0.525,0.2515,0.5225,0.528,0.5605,0.4055,0.45,0.5325,338
626,0.5485,0.252,0.546,0.5475,0.5645,0.3915,0.448,0.538,258
627,0.533,0.2475,0.537,0.523,0.5575,0.3855,0.4335,0.529,177
628,0.545,0.23,0.5415,0.5425,0.5865,0.4255,0.472,0.546,194
629,0.5555,0.229,0.552,0.5495,0.569,0.413,0.46,0.5505,139
630,0.5335,0.252,0.5325,0.5315,0.557,0.3875,0.448,0.5345,162
631,0.534,0.255,0.5385,0.53,0.5475,0.3855,0.4295,0.518,685
632,0.5405,0.2435,0.5385,0.5415,0.571,0.418,0.463,0.5385,770
633,0.546,0.2415,0.542,0.554,0.582,0.429,0.467,0.5515,287
634,0.526,0.25,0.5255,0.52,0.5615,0.3955,0.4445,0.5245,671
635,0.551,0.251,0.554,0.535,0.5685,0.4,0.445,0.5345,829
636,0.56,0.2455,0.56,0.553,0.572,0.4075,0.466,0.553,312
637,0.543,0.2605,0.544,0.5435,0.557,0.4,0.449,0.544,954
638,0.547,0.238,0.5455,0.55,0.575,0.409,0.4585,0.5495,787
639,0.541,0.244,0.54,0.531,0.5575,0.413,0.455,0.5365,811
640,0.5405,0.2395,0.536,0.544,0.5785,0.417,0.459,0.5415,167
641,0.5305,0.237,0.5345,0.5385,0.565,0.398,0.4525,0.527,525
642,0.522,0.232,0.5245,0.538,0.5625,0.409,0.454,0.531,464
643,0.5565,0.2475,0.55,0.5395,0.5665,0.3975,0.447,0.548,549
644,0.534,0.257,0.536,0.5265,0.562,0.389,0.439,0.536,410
645,0.5535,0.243,0.551,0.556,0.579,0.4025,0.46,0.554,374
646,0.529,0.268,0.525,0.5205,0.558,0.397,0.4395,0.5285,682
647,0.527,0.251,0.52,0.53,0.556,0.3825,0.438,0.518,835
648,0.5315,0.254,0.532,0.5305,0.5575,0.3925,0.443,0.533,897
649,0.5295,0.2605,0.5345,0.533,0.5595,0.396,0.444,0.5375,601
650,0.5485,0.2435,0.545,0.5405,0.57,0.4035,0.442,0.526,562
651,0.522,0.2475,0.52,0.5225,0.55,0.386,0.428,0.5205,323
652,0.542,0.244,0.547,0.5405,0.574,0.4025,0.4525,0.532,230
653,0.538,0.2565,0.529,0.5365,0.5665,0.401,0.443,0.526,888
654,0.5365,0.2405,0.536,0.551,0.5725,0.4155,0.477,0.5495,450
655,0.537,0.2515,0.526,0.536,0.555,0.3925,0.4395,0.529,733
656,0.5465,0.2375,0.536,0.536,0.565,0.413,0.4585,0.54,726
657,0.541,0.238,0.5435,0.5385,0.5645,0.3995,0.4515,0.5345,301
658,0.5205,0.2515,0.528,0.515,0.5605,0.382,0.437,0.517,633
659,0.532,0.254,0.5365,0.518,0.551,0.391,0.438,0.515,471
660,0.5435,0.2435,0.5455,0.5465,0.556,0.3935,0.439,0.5365,467
661,0.569,0.246,0.5585,0.5475,0.578,0.4045,0.4645,0.555,61
662,0.5445,0.2405,0.538,0.5315,0.557,0.3905,0.443,0.5315,992
663,0.531,0.2455,0.5305,0.5305,0.5635,0.3965,0.442,0.5345,411
664,0.5355,0.2445,0.5345,0.529,0.566,0.395,0.438,0.5245,288
665,0.5565,0.2245,0.5535,0.551,0.5815,0.406,0.455,0.545,774
666,0.5185,0.23,0.52,0.5305,0.5635,0.392,0.448,0.5255,973
667,0.542,0.2405,0.536,0.5315,0.565,0.3945,0.449,0.5325,121
668,0.548,0.248,0.541,0.5395,0.5835,0.4,0.4555,0.5325,867
669,0.525,0.259,0.5245,0.519,0.552,0.3935,0.4395,0.5195,920
670,0.553,0.231,0.558,0.545,0.565,0.3995,0.452,0.544,283
671,0.5495,0.2525,0.545,0.5395,0.566,0.4,0.4375,0.541,744
672,0.541,0.241,0.539,0.534,0.5595,0.397,0.455,0.5245,361
673,0.528,0.2615,0.5205,0.5285,0.5585,0.3805,0.4335,0.513,399
674,0.552,0.2345,0.5495,0.5465,0.5735,0.4145,0.465,0.5455,486
675,0.537,0.2415,0.535,0.5455,0.5795,0.3995,0.4485,0.539,887
676,0.55,0.237,0.553,0.5515,0.5855,0.409,0.4535,0.5425,569
677,0.5325,0.2425,0.533,0.527,0.566,0.388,0.443,0.5205,960
678,0.55,0.243,0.5425,0.54,0.5745,0.411,0.4565,0.5355,540
679,0.539,0.234,0.537,0.536,0.571,0.417,0.453,0.5405,705
680,0.54,0.247,0.538,0.5205,0.557,0.4085,0.4425,0.5255,981
681,0.5435,0.252,0.5405,0.5405,0.568,0.384,0.4465,0.534,513
682,0.532,0.247,0.5315,0.5465,0.5715,0.3975,0.4515,0.5385,986
683,0.5355,0.248,0.534,0.5435,0.572,0.3985,0.451,0.543,964
684,0.549,0.233,0.542,0.5485,0.574,0.3965,0.457,0.5405,612
685,0.543,0.244,0.5485,0.537,0.57,0.389,0.4565,0.538,320
686,0.534,0.2395,0.53,0.539,0.5685,0.408,0.456,0.5375,25
687,0.529,0.2475,0.5255,0.528,0.549,0.3935,0.4345,0.5185,106
688,0.5465,0.26,0.551,0.537,0.5495,0.3835,0.4285,0.5295,12
689,0.526,0.2505,0.5255,0.534,0.567,0.404,0.449,0.5385,929
690,0.5615,0.241,0.553,0.5535,0.5875,0.405,0.4645,0.5495,523
691,0.5315,0.2445,0.521,0.537,0.567,0.4035,0.45,0.535,398
692,0.5355,0.261,0.5335,0.5195,0.54,0.4015,0.4415,0.513,703
693,0.5435,0.231,0.546,0.5475,0.5745,0.405,0.4505,0.5435,846
694,0.5475,0.238,0.5425,0.5365,0.57,0.392,0.4435,0.538,698
695,0.5365,0.249,0.531,0.5245,0.548,0.388,0.4365,0.5185,548
696,0.542,0.227,0.548,0.54,0.5855,0.401,0.4575,0.539,536
697,0.5555,0.2425,0.5525,0.5575,0.58,0.4175,0.4745,0.557,226
698,0.5425,0.245,0.5495,0.5395,0.562,0.3965,0.4565,0.545,500
699,0.5485,0.244,0.543,0.539,0.5725,0.412,0.454,0.5325,429
700,0.526,0.249,0.5205,0.524,0.559,0.385,0.441,0.525,878
701,0.5315,0.2465,0.529,0.518,0.551,0.3905,0.43,0.5145,854
702,0.538,0.2415,0.5295,0.5335,0.5725,0.399,0.438,0.526,65
703,0.544,0.2275,0.544,0.5605,0.5825,0.4235,0.4765,0.561,15
704,0.5235,0.242,0.5315,0.5375,0.57,0.389,0.432,0.531,737
705,0.544,0.253,0.5385,0.5295,0.5605,0.3955,0.446,0.521,809
706,0.545,0.2425,0.5505,0.5355,0.5545,0.4065,0.4495,0.5285,11
707,0.556,0.2495,0.548,0.548,0.5745,0.408,0.4455,0.536,590
708,0.5345,0.2455,0.544,0.532,0.567,0.3995,0.44,0.53,839
709,0.524,0.2605,0.5385,0.518,0.555,0.397,0.4365,0.526,123
710,0.5335,0.235,0.5385,0.5315,0.562,0.391,0.45,0.5335,181
711,0.507,0.252,0.5135,0.5145,0.552,0.387,0.439,0.513,979
712,0.537,0.252,0.5365,0.524,0.5535,0.378,0.434,0.53,521
713,0.5315,0.241,0.53,0.532,0.5725,0.399,0.4485,0.533,60
714,0.5465,0.235,0.5415,0.528,0.561,0.4135,0.4525,0.53,462
715,0.537,0.249,0.5365,0.537,0.566,0.4215,0.455,0.5285,133
716,0.541,0.2475,0.5445,0.525,0.5655,0.3835,0.4325,0.5295,285
717,0.5485,0.2215,0.541,0.529,0.5695,0.3875,0.431,0.5165,533
718,0.539,0.2575,0.534,0.5305,0.5575,0.399,0.447,0.5255,849
719,0.523,0.247,0.5285,0.537,0.5635,0.4095,0.4535,0.5385,719
720,0.56,0.246,0.552,0.547,0.568,0.4105,0.4545,0.539,89
721,0.529,0.246,0.5275,0.526,0.556,0.396,0.452,0.5305,185
722,0.546,0.2325,0.5435,0.5565,0.5825,0.4135,0.46,0.5515,296
723,0.5495,0.239,0.551,0.548,0.568,0.409,0.4635,0.5425,371
724,0.5575,0.245,0.55,0.563,0.568,0.3895,0.444,0.5535,458
725,0.535,0.2435,0.5375,0.533,0.5625,0.4025,0.4475,0.5295,476
726,0.561,0.2455,0.547,0.537,0.565,0.38,0.4315,0.525,52
727,0.5395,0.2445,0.543,0.5385,0.5635,0.4005,0.459,0.5375,508
728,0.5405,0.24,0.53,0.5415,0.586,0.3905,0.44,0.543,114
729,0.5465,0.2325,0.553,0.545,0.574,0.396,0.4505,0.538,40
730,0.545,0.2475,0.553,0.537,0.5695,0.3975,0.4475,0.54,173
731,0.5445,0.2435,0.5375,0.54,0.561,0.403,0.4505,0.5325,755
732,0.557,0.2355,0.5595,0.545,0.559,0.391,0.4505,0.536,904
733,0.5045,0.2625,0.5015,0.507,0.5435,0.371,0.41,0.504,186
734,0.5475,0.229,0.55,0.5515,0.5825,0.4125,0.459,0.555,380
735,0.546,0.2565,0.536,0.539,0.561,0.4055,0.456,0.5375,120
736,0.5375,0.231,0.539,0.5485,0.578,0.4105,0.458,0.5445,758
737,0.5255,0.2555,0.526,0.524,0.5525,0.386,0.4435,0.523,160
738,0.53,0.26,0.527,0.5235,0.559,0.378,0.431,0.5235,650
739,0.5485,0.241,0.5465,0.545,0.5605,0.4125,0.455,0.5405,394
740,0.5225,0.247,0.521,0.5295,0.5535,0.3875,0.4365,0.524,451
