newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.4965,0.4955,0.483,0.3055,0.3055,0.321,0.321,0.325,372
0.4955,0.4775,0.498,0.3185,0.3185,0.3455,0.3455,0.336,662
0.495,0.5025,0.5035,0.325,0.325,0.3435,0.3435,0.3275,172
0.5105,0.4895,0.5175,0.3235,0.3235,0.3265,0.3265,0.334,777
0.4665,0.486,0.4805,0.308,0.308,0.3315,0.3315,0.3255,53
0.5005,0.496,0.495,0.303,0.303,0.339,0.339,0.323,934
0.512,0.479,0.486,0.3005,0.3005,0.3225,0.3225,0.3085,904
0.5065,0.501,0.5015,0.324,0.324,0.331,0.331,0.342,809
0.514,0.509,0.5115,0.3125,0.3125,0.3375,0.3375,0.3235,217
0.5045,0.5105,0.504,0.325,0.325,0.3285,0.3285,0.333,845
0.5195,0.503,0.5085,0.316,0.316,0.3275,0.3275,0.3305,630
0.5245,0.5165,0.4975,0.322,0.322,0.3355,0.3355,0.3225,171
0.526,0.517,0.533,0.304,0.304,0.3155,0.3155,0.3195,138
0.4955,0.515,0.5075,0.3195,0.3195,0.344,0.344,0.338,912
0.489,0.4885,0.489,0.303,0.303,0.3255,0.3255,0.3065,961
0.491,0.487,0.4855,0.2985,0.2985,0.3125,0.3125,0.3105,687
0.5035,0.479,0.4815,0.2935,0.2935,0.31,0.31,0.308,981
0.511,0.5135,0.49,0.307,0.307,0.324,0.324,0.3235,971
0.5075,0.5165,0.4795,0.3145,0.3145,0.3265,0.3265,0.326,929
0.5125,0.507,0.5165,0.31,0.31,0.3195,0.3195,0.326,771
0.4965,0.4995,0.5125,0.318,0.318,0.343,0.343,0.333,541
0.503,0.511,0.5025,0.332,0.332,0.345,0.345,0.3475,834
0.4755,0.495,0.4805,0.3125,0.3125,0.327,0.327,0.3235,5
0.5005,0.511,0.497,0.323,0.323,0.338,0.338,0.341,769
0.515,0.494,0.491,0.3165,0.3165,0.322,0.322,0.3355,254
0.503,0.5105,0.4865,0.324,0.324,0.336,0.336,0.3325,155
0.497,0.476,0.481,0.3035,0.3035,0.3235,0.3235,0.325,859
0.472,0.485,0.497,0.303,0.303,0.33,0.33,0.3235,805
0.5135,0.517,0.5125,0.307,0.307,0.333,0.333,0.3225,22
0.4805,0.498,0.49,0.3255,0.3255,0.343,0.343,0.343,727
0.52,0.5065,0.4955,0.3005,0.3005,0.3125,0.3125,0.2975,835
0.496,0.49,0.496,0.306,0.306,0.3205,0.3205,0.312,292
0.514,0.4815,0.486,0.3245,0.3245,0.3335,0.3335,0.334,458
0.508,0.494,0.4935,0.323,0.323,0.334,0.334,0.335,160
0.498,0.474,0.5005,0.321,0.321,0.3275,0.3275,0.3365,396
0.4975,0.5205,0.523,0.313,0.313,0.3275,0.3275,0.317,660
0.4885,0.504,0.497,0.322,0.322,0.345,0.345,0.323,950
0.508,0.4855,0.487,0.317,0.317,0.34,0.34,0.337,63
0.5105,0.523,0.52,0.315,0.315,0.3245,0.3245,0.3245,303
0.4965,0.505,0.513,0.3095,0.3095,0.318,0.318,0.327,606
0.4985,0.492,0.5015,0.322,0.322,0.323,0.323,0.337,744
0.5065,0.5245,0.52,0.313,0.313,0.325,0.325,0.3245,501
0.498,0.5105,0.5105,0.3155,0.3155,0.339,0.339,0.324,93
0.488,0.518,0.519,0.317,0.317,0.325,0.325,0.326,784
0.51,0.5105,0.5085,0.319,0.319,0.342,0.342,0.326,721
0.4825,0.5065,0.492,0.3365,0.3365,0.3395,0.3395,0.3305,55
0.494,0.521,0.514,0.3165,0.3165,0.3315,0.3315,0.333,18
0.493,0.482,0.49,0.32,0.32,0.3335,0.3335,0.328,231
0.5065,0.4915,0.5145,0.299,0.299,0.3275,0.3275,0.311,450
0.506,0.5005,0.494,0.3265,0.3265,0.3385,0.3385,0.341,70
0.4985,0.495,0.4925,0.3165,0.3165,0.3245,0.3245,0.326,503
0.5145,0.495,0.4915,0.3085,0.3085,0.3245,0.3245,0.332,299
0.504,0.5085,0.507,0.3155,0.3155,0.315,0.315,0.3375,24
0.5045,0.5155,0.507,0.3085,0.3085,0.3265,0.3265,0.316,105
0.482,0.4855,0.4815,0.312,0.312,0.324,0.324,0.322,790
0.5045,0.4845,0.5005,0.3105,0.3105,0.3255,0.3255,0.3265,104
0.509,0.4865,0.508,0.3155,0.3155,0.3255,0.3255,0.3265,902
0.4865,0.4995,0.5,0.31,0.31,0.3105,0.3105,0.317,581
0.4965,0.5035,0.5085,0.307,0.307,0.319,0.319,0.3355,136
0.5085,0.4955,0.513,0.3415,0.3415,0.344,0.344,0.3545,114
0.502,0.5065,0.511,0.3205,0.3205,0.3275,0.3275,0.326,966
0.499,0.5095,0.5045,0.3145,0.3145,0.34,0.34,0.3355,611
0.4905,0.485,0.4985,0.3265,0.3265,0.328,0.328,0.3365,431
0.507,0.494,0.5125,0.3135,0.3135,0.322,0.322,0.3255,644
0.4935,0.504,0.497,0.31,0.31,0.3295,0.3295,0.32,597
0.5165,0.4895,0.505,0.311,0.311,0.315,0.315,0.3175,847
0.508,0.502,0.494,0.331,0.331,0.343,0.343,0.341,578
0.485,0.479,0.4825,0.316,0.316,0.321,0.321,0.3405,816
0.511,0.5125,0.506,0.285,0.285,0.3155,0.3155,0.311,141
