newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
-1.292108362315681,-1.2189267924673541,-1.3299985124432623,-1.1899950347621606,-1.432653841171575,-1.3339292198351287,-2.0867090407583992,-1.8348157687624729,-1.477724560682695,343
-1.3083775534596502,-1.2336329834212716,-1.3464558943542575,-1.2032948610200405,-1.4426419324383093,-1.3515691572680293,-2.0401403127585325,-1.8159964869686887,-1.4833333912046434,986
-1.2909994144875505,-1.198588866646949,-1.3289956588325842,-1.1774160583522106,-1.4376545091322752,-1.3364390093021647,-2.033962966570432,-1.7997302814132623,-1.47819948723813,159
-1.2716350020293985,-1.1547708400882013,-1.3168302154852096,-1.1368388992487444,-1.4303370419441923,-1.327412827652282,-2.0998879167025333,-1.8523034288792175,-1.4692487444349795,482
-1.3039816682933074,-1.2239828399687176,-1.3409156255292582,-1.1978490136139335,-1.4713517833958818,-1.3233353986785652,-2.042144999395837,-1.8164282939978125,-1.4904200722360337,841
-1.293654903577903,-1.2090355202975511,-1.3287103607564161,-1.185951279775059,-1.4463150615554359,-1.3321284048096065,-2.051386713861431,-1.8067302020054965,-1.4796445878277698,775
-1.2919157331243056,-1.2132782253470482,-1.331230501329882,-1.1919924901937766,-1.4404195483792348,-1.3340882093259476,-2.0547429486410573,-1.82051469189984,-1.4800525995493616,867
-1.2935788010687677,-1.221292495832759,-1.32727044829349,-1.197995302459327,-1.4459054019463382,-1.3390198371278679,-2.0368125257107343,-1.8044524439553933,-1.4785888786662333,671
-1.2932362650644136,-1.2287903815436778,-1.3327288491710287,-1.2016603388619322,-1.426656060394792,-1.3468665615266775,-2.0393607724468468,-1.807191862806963,-1.4754677900661064,667
-1.279579472179015,-1.1965553282388903,-1.3196448055976326,-1.1775625001961953,-1.457983802133906,-1.3466447146600757,-2.085687342104051,-1.846353155607198,-1.4745183628629785,111
-1.2939052756627254,-1.210356234247398,-1.333866715985567,-1.1859363727698238,-1.4352485011200764,-1.3260794815272583,-2.0379380880496276,-1.8049898627511622,-1.4988067912096408,342
