newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep
0.356,0.6225,0.3435,0.2895,0.3315,0.2465,0.256,0.2865,139
0.344,0.608,0.3315,0.297,0.326,0.2535,0.2655,0.295,972
0.3375,0.6165,0.327,0.3055,0.326,0.259,0.267,0.301,528
0.343,0.6195,0.3325,0.2955,0.3155,0.2595,0.2635,0.2955,467
0.318,0.633,0.311,0.279,0.311,0.253,0.2565,0.2795,860
0.321,0.6255,0.306,0.292,0.315,0.2545,0.257,0.2845,83
0.3215,0.614,0.3185,0.3015,0.3225,0.2575,0.2675,0.3,228
0.337,0.624,0.3225,0.2825,0.311,0.249,0.2535,0.2775,520
0.3655,0.6085,0.349,0.3055,0.313,0.2675,0.276,0.302,375
0.3375,0.628,0.324,0.2965,0.3205,0.249,0.254,0.294,792
0.3365,0.6005,0.334,0.303,0.3365,0.264,0.2715,0.298,95
0.3405,0.6115,0.3235,0.279,0.3075,0.2345,0.2495,0.2715,209
0.3545,0.6085,0.3395,0.315,0.342,0.258,0.2735,0.3105,500
0.345,0.6155,0.3335,0.306,0.32,0.257,0.277,0.3045,71
0.3445,0.615,0.333,0.2935,0.324,0.2565,0.2595,0.2935,765
0.3345,0.634,0.318,0.2725,0.3005,0.242,0.2405,0.267,525
0.3215,0.6255,0.31,0.273,0.308,0.242,0.245,0.2705,147
0.3645,0.6205,0.348,0.2845,0.3195,0.2495,0.2585,0.2905,298
0.364,0.6195,0.341,0.291,0.3135,0.246,0.2575,0.2855,518
0.3315,0.6345,0.321,0.2965,0.32,0.259,0.266,0.296,486
0.346,0.6055,0.3345,0.303,0.327,0.26,0.262,0.3005,599
0.353,0.613,0.3415,0.306,0.323,0.268,0.275,0.3035,296
0.352,0.6065,0.3375,0.306,0.3425,0.273,0.2765,0.301,426
0.357,0.622,0.3405,0.303,0.3265,0.266,0.2675,0.299,968
0.3515,0.614,0.333,0.295,0.321,0.2475,0.256,0.294,178
0.353,0.6275,0.339,0.2895,0.3175,0.2585,0.262,0.2875,970
0.3215,0.6395,0.306,0.2755,0.298,0.243,0.248,0.272,262
0.337,0.5985,0.3325,0.306,0.339,0.263,0.2665,0.2945,617
0.3475,0.6345,0.3245,0.2815,0.3055,0.251,0.255,0.274,477
0.371,0.5905,0.3575,0.325,0.3415,0.2675,0.273,0.3125,531
0.3395,0.638,0.3235,0.2905,0.3165,0.2475,0.2545,0.2885,763
0.347,0.594,0.352,0.3135,0.348,0.273,0.2885,0.3105,123
0.342,0.634,0.316,0.2765,0.304,0.242,0.255,0.272,914
0.37,0.617,0.3435,0.299,0.3225,0.2615,0.273,0.29,472
0.3255,0.6405,0.3135,0.28,0.3105,0.2405,0.258,0.282,590
0.3525,0.597,0.3465,0.3255,0.354,0.28,0.2905,0.3185,700
0.343,0.6135,0.3265,0.289,0.315,0.26,0.268,0.285,271
0.3565,0.607,0.338,0.309,0.3335,0.2655,0.2695,0.297,251
0.354,0.6125,0.338,0.282,0.3145,0.2525,0.2595,0.2865,278
0.3525,0.6225,0.3265,0.28,0.317,0.2445,0.252,0.2845,372
0.3745,0.588,0.3705,0.3235,0.3535,0.277,0.293,0.3195,662
0.3675,0.6335,0.3375,0.306,0.3365,0.262,0.271,0.295,172
0.356,0.614,0.3475,0.2965,0.3195,0.257,0.2735,0.2975,777
0.3505,0.617,0.329,0.2915,0.3225,0.2595,0.266,0.292,53
0.3625,0.612,0.346,0.293,0.3315,0.267,0.2685,0.293,934
0.3475,0.618,0.326,0.2865,0.3125,0.256,0.2565,0.28,904
0.3515,0.6305,0.3355,0.301,0.323,0.2635,0.2685,0.299,809
0.367,0.6065,0.3425,0.3035,0.328,0.272,0.282,0.2975,217
0.3325,0.6275,0.33,0.2955,0.314,0.25,0.2535,0.289,845
0.363,0.598,0.342,0.3165,0.3455,0.268,0.284,0.3025,630
0.3315,0.629,0.3205,0.2685,0.2995,0.24,0.247,0.267,171
0.3435,0.614,0.3225,0.288,0.3135,0.2545,0.2555,0.2845,138
0.357,0.607,0.3525,0.312,0.333,0.262,0.2745,0.3075,912
0.379,0.614,0.357,0.3015,0.3285,0.256,0.272,0.3005,961
0.366,0.6245,0.352,0.287,0.311,0.2455,0.252,0.283,687
0.334,0.601,0.321,0.299,0.329,0.2645,0.2745,0.292,981
0.336,0.623,0.326,0.275,0.307,0.2345,0.2495,0.2715,971
0.332,0.6295,0.3065,0.2795,0.3205,0.258,0.259,0.2785,929
0.3515,0.6175,0.3315,0.2945,0.323,0.263,0.2635,0.2935,771
0.3405,0.6255,0.334,0.3055,0.3265,0.251,0.262,0.301,541
0.352,0.613,0.3435,0.2985,0.324,0.252,0.2665,0.293,834
0.3545,0.612,0.3415,0.3055,0.3285,0.27,0.2895,0.3105,5
0.3515,0.599,0.33,0.305,0.331,0.2675,0.2705,0.2995,769
0.354,0.6435,0.3395,0.285,0.3125,0.2585,0.257,0.2865,254
0.35,0.6365,0.328,0.2985,0.321,0.257,0.271,0.296,155
0.3495,0.5945,0.341,0.303,0.329,0.2725,0.276,0.298,859
0.346,0.615,0.339,0.3,0.3305,0.256,0.267,0.2965,805
0.341,0.624,0.3345,0.3005,0.3165,0.255,0.258,0.293,22
0.3285,0.604,0.315,0.2895,0.3145,0.269,0.2705,0.294,727
0.332,0.6205,0.32,0.299,0.322,0.269,0.272,0.299,835
0.354,0.6395,0.325,0.2865,0.313,0.257,0.2595,0.285,292
0.351,0.6255,0.3225,0.29,0.3165,0.25,0.261,0.2825,458
0.3455,0.6135,0.3315,0.3045,0.3345,0.278,0.2825,0.304,160
0.3505,0.611,0.329,0.283,0.3035,0.247,0.251,0.2765,396
0.349,0.6195,0.329,0.301,0.326,0.2555,0.266,0.296,660
0.3365,0.622,0.327,0.282,0.307,0.252,0.2575,0.2785,950
0.361,0.63,0.3365,0.295,0.3145,0.2495,0.263,0.286,63
