newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-0.11073939844843068,-0.011648257257455124,-0.07118577539578184,-0.058230868244074245,-0.015386210244382208,-3.3652622033950546,-3.1881852075989325,-9.42811238755309,215,0.0759
-0.11639087763105788,-0.012571843174231878,-0.07673723007691002,-0.0473023231977724,-0.008776816309862474,-3.3245989896662,-3.1505294825328805,-9.563070585965283,221,0.0759
-0.11192907532894958,-0.008327910727406688,-0.07668806796557193,-0.07706185715579857,-0.023528731075132047,-3.7445117716084706,-3.5223185788011895,-8.140237891004757,242,0.0912
-0.14969034509983767,-0.02773311229623948,-0.11508877926474978,-0.10757017943323172,-0.040130986234661256,-3.33725076689543,-2.987079235384622,-3.128916158246491,131,0.1905
-0.09212572284857716,-0.033483376095644536,-0.08575327239652575,-0.14404406752464274,-0.07726862117342809,-1.5320853051867391,-1.1423114851649843,-1.0697750814847138,106,0.3311
-0.1264804842679424,-0.022565750618485397,-0.14573693804568888,-0.2168135253420096,-0.11617168585106749,-1.0271657017754388,-0.7018348228349993,-0.43616743349134207,239,0.4786
-0.022228335266491418,-0.0022431787204210277,-0.013960123362756663,-0.013410639000649328,-0.004286497213842969,-0.5449672340611462,-0.5202057292566835,-5.089918476167025,221,0.0100
-0.07239183012476236,-0.0038540915802762568,-0.04753296163585347,-0.03194845661805605,-0.0030075957781325138,-2.001212588326451,-1.916551323800084,-10.84644231360701,97,0.0363
-0.16488969450847532,-0.024354207372055542,-0.114378055516618,-0.08890562529106219,-0.03313300001010529,-3.3822095275286292,-3.091576061005002,-4.924390107530496,67,0.1585
-0.059687104809967126,-0.005656323852245404,-0.03852857106092033,-0.02670154127318847,-0.0010719559554817275,-1.3900136927625844,-1.34057266795662,-9.661432850965268,197,0.0251
-0.1321062588801318,-0.026183770426963782,-0.10491003801671535,-0.12062848720345129,-0.0482161769641957,-2.753832349707618,-2.3825534984967036,-2.1816768109286038,247,0.2291
-0.1682398398590555,-0.01810452313736044,-0.12346414449814136,-0.11571643951491026,-0.05836461813457327,-3.6112743899359625,-3.288008899712343,-4.416357869226631,133,0.1585
-0.1507178303172677,-0.021206680505907075,-0.11357943026689046,-0.11938486697751884,-0.052772945340330196,-3.11361455144824,-2.7502809022604984,-3.3307785058102035,63,0.1905
-0.15270877047593492,-0.02037422159883883,-0.13367122163499218,-0.16727208504388993,-0.09250486772822838,-2.136174987873335,-1.7318645263101635,-1.5264017804507806,226,0.2754
-0.13303601513550217,-0.014978264698317124,-0.08880345104422473,-0.07596217623284308,-0.017798107020247624,-3.688868858258956,-3.45355418479763,-7.190139961988032,92,0.1096
-0.07704806186196561,-0.0066684193690624395,-0.04903937051654227,-0.041368389861154424,-0.012458708535007924,-2.9530553620925337,-2.6869138473923244,-10.647391677037183,174,0.0525
-0.10423970689094496,-0.0086922421617563,-0.06561506776585788,-0.055772562813361945,-0.02068478173230292,-3.5614293248957147,-3.3637219339243236,-8.892281710139487,240,0.0759
