newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-0.10096214058364378,-0.3912892931762402,-0.3128427313758758,-0.37751932894423285,-0.3790355952426684,-9.449531779729178,-8.017397975394719,-12.153954399076355,61,0.1905
-0.0888723278595911,-0.4105149264525498,-0.33017949605641406,-0.39564452083891477,-0.40301528196742453,-9.824843764146696,-8.479807736411846,-12.81621323931445,192,0.1905
-0.09901659207718767,-0.30618410648483785,-0.24084804927018255,-0.23864118062073256,-0.29729282098050663,-11.547878506709583,-10.611152817032167,-20.855790508517956,48,0.1318
-0.06484919847330856,-0.5760153597226807,-0.47528060916826215,-0.6446362674010204,-0.6602615116819356,-4.3147293386520635,-2.4244095952662073,-2.0687457693600004,93,0.3981
-0.09063031580545837,-0.4796558484579172,-0.3861233788844845,-0.40166530091038666,-0.4553579229072872,-8.297486510210646,-6.760047987469812,-9.04204344306694,90,0.2291
-0.05188046205891357,-0.10674032655543453,-0.07887234447869619,-0.040545274701108365,-0.11046443523001334,-6.578097399903729,-6.862058958105231,-30.482966224431827,103,0.0363
-0.06974477976554772,-0.13921363845412782,-0.10687358148961176,-0.06004750919041952,-0.1618631050085163,-9.276785366652517,-8.798632404540971,-32.297345706214074,132,0.0525
-0.09649395505143997,-0.306422722434116,-0.23854820893699777,-0.2368580484342068,-0.29967251311023013,-11.462294424949729,-10.384112638205654,-19.886971594668257,134,0.1318
-0.09621686701954782,-0.3425245766651651,-0.2736521562127468,-0.33090916564662853,-0.3573001355227398,-10.457162655829826,-9.239051302983471,-16.50323765650845,238,0.1585
-0.09488257976092172,-0.5068564732716523,-0.3986707259973859,-0.5259983797834604,-0.4951488908349721,-6.551630105500322,-4.793881908428254,-5.50452175830318,70,0.2754
-0.033818304800535735,-0.06394694925741128,-0.04986123530652811,-0.031144860344114424,-0.12929255530904912,-5.142853523800177,-4.920354319694524,-26.024719930168292,147,0.0251
-0.01936543970835656,-0.027202914407410534,-0.02141429720765243,-0.02401970876758658,-0.17168512029149982,-2.8599198580746727,-2.7423999319202816,-17.882115652378953,238,0.0145
-0.09311574165039418,-0.24833387471229534,-0.1965401905196479,-0.18208348129523716,-0.24019134815073334,-11.878335248378082,-10.631215453074155,-24.415523886118827,66,0.1096
-0.040381019219955995,-0.06227419052490306,-0.04793912423413424,-0.032018285832453364,-0.11335426015365567,-5.7957628698141646,-5.538678964506481,-29.464175036045333,97,0.0302
-0.02882446832534787,-0.07368182067784805,-0.06070501958254525,-0.04695649887108371,-0.08580980026650308,-5.019438229798778,-4.7933626969046665,-25.152348623355774,179,0.0251
-0.029484893980515334,-0.03456335372636984,-0.0214411139800691,-0.01733784086183195,-0.08753014099671089,-3.471286598369811,-3.3320425388620927,-20.826320224988983,50,0.0174
-0.024902538086442744,-0.024224753048597274,-0.014170536971670242,-0.009175773645995883,-0.029608056218914647,-2.8869774417369496,-2.8660613988196366,-19.37630526629016,120,0.0145
-0.1145889432472624,-0.3249222852435084,-0.2457013301589353,-0.21498663579131577,-0.27380554601061086,-10.256107803344248,-10.42109948018023,-21.145020809998925,239,0.1318
-0.019645765415021606,-0.021388784193216197,-0.012385752009234259,-0.009659486754229361,-0.20919595065352942,-1.9702078870029498,-1.8861446994175723,-13.437326402298988,196,0.0100
-0.05160943668606251,-0.622941513372339,-0.47512866807792115,-0.7240868710797139,-0.666686421062063,-3.5768860469757118,-1.7824455979138587,-0.8377940507636129,124,0.5754
-0.050958001842904346,-0.08280373380376514,-0.06077131982724143,-0.03694740316643985,-0.09153851002079332,-7.033482878292647,-6.7184199884612985,-30.63516983704207,122,0.0363
-0.0396361507758094,-0.6260954731077946,-0.4943338760384983,-0.7564165879166274,-0.7977170224221889,-3.5803725654563583,-1.7941147713726724,-0.7865855400947448,113,0.6918
