HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-1.90459,-1.66635,-1.84153,-1.73006,1000,1000,8,1,7
-1.96437,-1.48051,-1.88726,-1.48129,1000,100000,10,1,8
-1.97161,-1.49123,-1.89349,-1.49205,1000,78475,10,1,4
-1.89141,-1.42524,-1.80607,-1.45325,1000,5455,10,1,27
-1.12465,-1.15677,-1.12466,-1.16482,1000,11288,6,0,16
-1.38174,-1.07218,-1.32444,-1.07274,1000,100000,6,1,6
-1.68171,-1.2533,-1.60443,-1.25527,1000,37926,8,1,22
-1.19983,-1.06631,-1.17153,-1.07423,1000,1623,4,1,45
-1.71076,-1.30439,-1.63923,-1.30823,1000,29763,8,1,12
-0.544119,-0.544119,-0.544119,-0.544119,1000,2069,2,1,19
-1.96098,-1.61241,-1.89234,-1.67566,1000,4281,10,1,4
-1.1408,-1.15012,-1.14077,-1.15327,1000,48329,6,0,16
-1.46464,-1.47142,-1.46478,-1.47212,1000,78475,10,0,1
-1.26203,-1.33945,-1.26649,-1.3686,1000,4281,8,0,35
-1.43135,-1.19869,-1.37703,-1.22005,1000,4281,6,1,1
-0.434372,-0.434372,-0.434372,-0.434372,1000,37926,2,1,10
-1.96964,-1.52318,-1.8937,-1.52958,1000,18329,10,1,36
-0.428428,-0.428428,-0.428428,-0.428428,1000,48329,2,1,39
-0.498904,-0.498904,-0.498904,-0.498904,1000,8858,2,0,36
-1.53181,-1.75364,-1.54184,-1.84248,1000,1274,10,0,8
-0.422578,-0.422578,-0.422578,-0.422578,1000,61584,2,1,1
-1.25328,-1.28554,-1.25256,-1.3004,1000,11288,8,0,14
-1.08062,-1.08715,-1.08074,-1.08802,1000,61584,6,0,25
-1.8961,-1.42138,-1.82186,-1.42401,1000,37926,10,1,0
-1.12218,-1.13344,-1.12253,-1.13417,1000,37926,6,0,21
-1.08234,-1.10352,-1.08229,-1.10781,1000,18329,6,0,30
-0.869835,-0.877525,-0.870277,-0.878966,1000,48329,4,0,33
-1.356,-1.42121,-1.3556,-1.44196,1000,4281,10,0,30
-1.91417,-1.40266,-1.83161,-1.40441,1000,37926,10,1,43
-1.25157,-1.29051,-1.25332,-1.30391,1000,11288,8,0,5
-1.67458,-1.27997,-1.60808,-1.28141,1000,61584,8,1,13
-0.560317,-0.560317,-0.560318,-0.560318,1000,3359,2,1,46
-1.4045,-1.12357,-1.34909,-1.12919,1000,18329,6,1,32
-1.0176,-0.85605,-0.982698,-0.856437,1000,78475,4,1,48
-1.43058,-1.43869,-1.43034,-1.44034,1000,61584,10,0,10
-0.555283,-0.555283,-0.555283,-0.555283,1000,3359,2,1,34
-2.06939,-1.72924,-1.99732,-1.80501,1000,2069,10,1,37
-1.68824,-1.34955,-1.62292,-1.37663,1000,8858,8,1,48
-1.81147,-1.61531,-1.77896,-1.71417,1000,1623,8,1,32
-1.03144,-0.910948,-0.998608,-0.919982,1000,14384,4,1,23
-1.56836,-1.44272,-1.55001,-1.51142,1000,1274,6,1,49
-1.13863,-1.18016,-1.13945,-1.19711,1000,8858,6,0,20
-1.41059,-1.50422,-1.41363,-1.55029,1000,3359,10,0,20
