HO_BT,HOL_BT,BIN,BINL,N,M,K,L,epoch
-11.2949,-11.7703,-11.5602,-13.3378,1000,1000,8,1,7
-14.8986,-20.2433,-14.9222,-21.0319,1000,100000,10,1,8
-14.9062,-20.0485,-14.9263,-20.9841,1000,78475,10,1,4
-14.9711,-18.8025,-15.0131,-22.3024,1000,5455,10,1,27
-4.47685,-4.78579,-4.48295,-4.92387,1000,11288,6,0,16
-6.31784,-8.33879,-6.33144,-8.57771,1000,100000,6,1,6
-10.364,-13.7659,-10.3818,-14.7235,1000,37926,8,1,22
-3.35974,-3.28211,-3.41566,-3.48276,1000,1623,4,1,45
-10.3889,-13.7051,-10.4066,-14.8191,1000,29763,8,1,12
-0.544119,-0.544119,-0.544119,-0.544119,1000,2069,2,1,19
-15.0411,-18.0686,-15.0911,-21.3979,1000,4281,10,1,4
-4.5823,-4.68236,-4.58422,-4.72907,1000,48329,6,0,16
-10.7393,-10.9476,-10.7409,-11.0465,1000,78475,10,0,1
-7.49322,-8.40834,-7.54474,-8.87311,1000,4281,8,0,35
-6.48885,-7.52827,-6.5083,-8.54081,1000,4281,6,1,1
-0.434372,-0.434372,-0.434372,-0.434372,1000,37926,2,1,10
-14.9347,-19.2006,-14.963,-21.0732,1000,18329,10,1,36
-0.428428,-0.428428,-0.428428,-0.428428,1000,48329,2,1,39
-0.498904,-0.498904,-0.498904,-0.498904,1000,8858,2,0,36
-11.4476,-13.4594,-11.6268,-14.3536,1000,1274,10,0,8
-0.422578,-0.422578,-0.422578,-0.422578,1000,61584,2,1,1
-7.45595,-8.00337,-7.46679,-8.3746,1000,11288,8,0,14
-4.43011,-4.51504,-4.43139,-4.53976,1000,61584,6,0,25
-14.8305,-19.5909,-14.851,-21.0107,1000,37926,10,1,0
-4.50246,-4.60989,-4.50437,-4.63414,1000,37926,6,0,21
-4.46932,-4.67772,-4.47186,-4.77796,1000,18329,6,0,30
-2.10002,-2.13861,-2.10175,-2.14741,1000,48329,4,0,33
-10.6629,-12.2084,-10.7019,-13.0695,1000,4281,10,0,30
-14.8626,-19.9145,-14.8808,-21.4107,1000,37926,10,1,43
-7.40309,-7.98578,-7.41604,-8.33601,1000,11288,8,0,5
-10.3381,-13.7787,-10.3534,-14.4624,1000,61584,8,1,13
-0.560317,-0.560317,-0.560318,-0.560318,1000,3359,2,1,46
-6.35684,-7.96352,-6.36804,-8.59314,1000,18329,6,1,32
-2.92779,-3.63297,-2.93576,-3.70824,1000,78475,4,1,48
-10.8903,-11.1552,-10.8925,-11.2781,1000,61584,10,0,10
-0.555283,-0.555283,-0.555283,-0.555283,1000,3359,2,1,34
-15.2346,-17.4636,-15.3142,-20.7983,1000,2069,10,1,37
-10.4311,-13.0847,-10.4666,-14.8333,1000,8858,8,1,48
-10.8498,-11.829,-10.9517,-13.835,1000,1623,8,1,32
-2.94685,-3.50936,-2.95686,-3.72484,1000,14384,4,1,23
-6.78015,-6.87283,-6.89832,-7.54181,1000,1274,6,1,49
-4.49961,-4.88966,-4.5115,-5.0843,1000,8858,6,0,20
-10.9099,-12.3819,-10.9517,-13.1505,1000,3359,10,0,20
