newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-1.7947034257878487e-11,-8.35382341678599e-12,-1.319239484088478e-10,-0.02610728352244917,-0.02610728352244917,-1.3733401419717075,-1.3733401419717075,-3.30972278860684,10,0.3981
-8.173588967613922e-11,1.416348635245341e-10,-1.8229673242064327e-10,-0.03411044620760897,-0.03411044620760897,-0.9448510622815842,-0.9448510622815842,-1.9066965743485293,240,0.5754
6.630403294380065e-13,-1.2172237069393986e-10,-7.90809734700366e-11,-0.004498533636198757,-0.004498533636198757,-1.106047960887254,-1.106047960887254,-3.73532865263357,76,0.0759
-2.4168010220315033e-11,-1.3386429182179553e-10,-8.453100161583569e-11,-0.027777246177464177,-0.027777246177464177,-1.0951382952634787,-1.0951382952634787,-2.659224933588625,110,0.4786
-1.407196251528756e-11,-3.051436143493306e-11,-1.4843504791918805e-11,-0.012458708281009364,-0.012458708281009364,-0.5011797875314079,-0.5011797875314079,-1.6419918762285723,87,0.0302
-2.9414676626838813e-10,-1.6866678978921597e-10,3.172293086780725e-10,-0.02735534741001444,-0.02735534741001444,-1.1213165835660652,-1.1213165835660652,-2.561983828205327,169,0.4786
1.209390971380369e-10,-1.8602686027809688e-11,-5.907879248599542e-11,-0.018947022141636915,-0.018947022141636915,-1.3051644923405739,-1.3051644923405739,-3.55987857916124,86,0.3981
1.3735414808902283e-11,-2.720253844289411e-11,8.52130225808932e-12,-0.009551584716309805,-0.009551584716309805,-0.14905516553475484,-0.14905516553475484,-0.07517519876273417,19,0.0100
2.6844156233243167e-11,1.7693417890287964e-11,3.0146110388686396e-11,-0.00220208864147212,-0.00220208864147212,-0.2072701322568412,-0.2072701322568412,-0.196251262418102,88,0.0120
4.7479455432199515e-12,5.443607269045653e-12,1.291756977470731e-11,-0.1605996196244403,-0.1605996196244403,-0.21390755766821737,-0.21390755766821737,-0.5114553514829072,168,0.0145
-4.685064488835113e-11,-7.01966843950883e-11,-4.745022128480536e-11,-0.0032164029581127325,-0.0032164029581127325,-1.2564868127227418,-1.2564868127227418,-4.07990451233871,138,0.0912
5.604505554213399e-11,3.901550461535607e-11,-1.9851669471148575e-10,-0.01704338661901519,-0.01704338661901519,-0.4103674118534456,-0.4103674118534456,-1.2417757633836417,16,0.0251
-5.954117516233195e-11,4.853135067421166e-12,-5.578897824558716e-11,-0.009455257784905656,-0.009455257784905656,-1.068049892038705,-1.068049892038705,-3.136372658922692,128,0.0631
-9.755133310408888e-11,-1.6388537179731584e-11,-4.302996572313232e-11,-0.002846735053779515,-0.002846735053779515,-1.6140200128594309,-1.6140200128594309,-4.924581694165361,165,0.1318
-7.989460648629579e-11,-3.177111252018913e-11,-2.495389242710189e-10,-0.004707877032512182,-0.004707877032512182,-1.7372337412824344,-1.7372337412824344,-4.940829358908892,6,0.1585
-1.2405467491067917e-12,-6.003327016557199e-11,-5.527728354259146e-11,-0.002754678897133555,-0.002754678897133555,-0.42397201523341105,-0.42397201523341105,-1.2003438230939834,84,0.0251
5.6793958853115835e-11,4.237972212673201e-11,2.7368531407743076e-10,-0.027051111668089295,-0.027051111668089295,-1.6838963973011387,-1.6838963973011387,-4.608118417202577,223,0.2754
-4.792070913475151e-11,-1.4548872608904526e-13,-2.1699748634319856e-11,-0.0048970090384038234,-0.0048970090384038234,-1.354882400271465,-1.354882400271465,-4.035166316255626,217,0.0912
-1.514618779298869e-10,3.82599792156219e-12,2.008059669618553e-10,-0.008497370515782516,-0.008497370515782516,-1.5819058340095324,-1.5819058340095324,-4.869663426421122,67,0.1318
-2.148668931608855e-11,-5.992162216565875e-12,3.915913687063677e-11,2.7503766736690927e-05,2.7503766736690927e-05,-0.23949077296637594,-0.23949077296637594,-0.5280744760637639,67,0.0145
-6.928305578065463e-11,3.379581582821106e-11,-4.005728819102939e-12,3.794516222330277e-05,3.794516222330277e-05,-0.616706262759056,-0.616706262759056,-1.915269144551317,163,0.0363
-1.5351254709277155e-11,-2.1874961323649716e-11,-9.846857603175305e-11,-0.029995004821027835,-0.029995004821027835,-1.3693775135307036,-1.3693775135307036,-3.4936388749223792,147,0.3981
-1.4268086388749945e-11,-3.7495263409688785e-11,3.1821285974654254e-11,-0.0023433278336857572,-0.0023433278336857572,-0.514228034512252,-0.514228034512252,-1.6051148463013596,98,0.0302
-2.8781770121018693e-12,5.340793358187146e-10,-1.9576596703102231e-10,-0.03974654140113041,-0.03974654140113041,-0.6889502518852154,-0.6889502518852154,-1.532512854790801,210,0.6918
2.643077243610158e-11,-1.4311178060911006e-10,-6.998843816398002e-11,-0.02978261344726866,-0.02978261344726866,-1.5208358470407373,-1.5208358470407373,-4.177012548717339,34,0.3311
-1.1893142779068318e-11,8.806908056602011e-11,-6.707269726935368e-12,-0.020910927487416495,-0.020910927487416495,-1.6842919774178118,-1.6842919774178118,-4.65919669746793,198,0.2754
-6.528923735379455e-11,-1.4690873905951258e-10,-5.030595363603355e-12,-0.014311588928127079,-0.014311588928127079,-1.5391594010172183,-1.5391594010172183,-5.005838444910874,26,0.1318
7.007756447877297e-11,-4.831477127854121e-12,6.608988530284134e-11,-0.0029656811719046684,-0.0029656811719046684,-0.2875659224938444,-0.2875659224938444,-0.7716406991003223,98,0.0174
-1.7123011051524391e-10,8.264821182172593e-11,-1.5181026257323448e-10,-0.006609130084776099,-0.006609130084776099,-0.2727653354815725,-0.2727653354815725,-0.7549082520605238,211,0.0174
4.368606850035416e-11,4.7972033127665783e-11,6.287691047809776e-11,-0.2112526247819575,-0.2112526247819575,-0.30310907480358573,-0.30310907480358573,-0.740464187304606,30,0.0174
-1.3974315475500784e-11,-7.580702155861598e-11,1.7832543033376243e-12,-0.012244466217589758,-0.012244466217589758,-1.7057443697944652,-1.7057443697944652,-4.9527539143432175,102,0.2291
-3.7321876830694604e-10,-3.5553376749678516e-10,-7.894309502303408e-11,-0.05031964629022096,-0.05031964629022096,-0.7815123135600067,-0.7815123135600067,-1.4296933860014691,207,0.6918
6.759048612049692e-11,7.57584407104018e-11,5.6413937135652296e-11,-0.002787909433340363,-0.002787909433340363,-0.16886568678677116,-0.16886568678677116,-0.1250554311317273,81,0.0100
8.02525419540034e-11,1.0078909850360067e-10,-4.145430092723778e-12,-0.007830208065043226,-0.007830208065043226,-0.2760608812851447,-0.2760608812851447,-0.7474892304765224,146,0.0174
-3.092976415420112e-11,-2.6590189496236036e-11,-6.830177377502593e-12,-0.01080836129699281,-0.01080836129699281,-0.49565485683014693,-0.49565485683014693,-1.6547277464239443,153,0.0302
-5.8194530700294996e-11,-1.1784245324429396e-10,-7.931116487790313e-11,-0.05774809580957434,-0.05774809580957434,-0.7176478035387026,-0.7176478035387026,-1.2168439202402825,156,0.6918
-1.499069927176682e-11,1.8336176672833845e-11,7.900306050382475e-12,-0.013452649862996808,-0.013452649862996808,-0.1816161726817336,-0.1816161726817336,-0.22655126722303345,19,0.0120
3.062802681952352e-11,6.486267846916072e-11,4.916903990225787e-11,-0.0038609628718985992,-0.0038609628718985992,-1.212311998652525,-1.212311998652525,-3.587233486734678,127,0.0759
