newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,rep,train
-1.5807510706282284,-1.4475433560931854,-1.5482107527060103,-1.4264149044540062,-1.536931047267763,-1.4752881140349785,-4.567810251575469,-4.211699963497057,-4.6940727111088085,192,0.1905
-1.5870324860327134,-1.4764360430308938,-1.5489751223459953,-1.4610745525725013,-1.553517227367843,-1.5072374643014568,-5.3241863924215185,-5.016173714299747,-7.083833508389263,48,0.1318
-1.4538738697299753,-1.342881369302357,-1.4598298089919413,-1.313924854589542,-1.4989322177572608,-1.41853625037543,-2.5231073117508775,-2.167458575336968,-1.7515912720627462,93,0.3981
-1.5065105962920042,-1.3839411941775122,-1.4854447719017836,-1.3648260211438854,-1.5132884297669562,-1.4408601968693717,-4.18370278286398,-3.7968831300124855,-3.5476480876833154,90,0.2291
-1.6090659023428922,-1.559488204144065,-1.5872135611181026,-1.5556067571182948,-1.5856337071112507,-1.5613170240287224,-3.642456307304643,-3.5382643971896806,-12.251030210145831,103,0.0363
-1.624088496400915,-1.5465660745869827,-1.5924394388462222,-1.5396354098028007,-1.5816439459511313,-1.5491074075946882,-4.152521772482461,-4.021151799965432,-12.35202191418222,132,0.0525
-1.6076630460863217,-1.4811974907354704,-1.5623311854194295,-1.465788491957883,-1.5488458390571413,-1.4947467142869775,-5.270451536245218,-4.971511047851682,-6.819312548627653,134,0.1318
-1.6099110473990652,-1.4810880022556805,-1.564837305325078,-1.4586965780073269,-1.5515898856238475,-1.4940516569076414,-5.013931371391606,-4.696570835791406,-5.961699521319985,238,0.1585
-1.527690998437321,-1.3843174433925025,-1.5100659961906313,-1.3627566243386546,-1.5329563088011975,-1.4354564293738703,-3.4497960435165393,-3.073807214932462,-2.660518319065098,70,0.2754
-1.616558617715145,-1.5743977328321743,-1.6010938995961206,-1.5717647112808524,-1.6014610537692189,-1.5881562623787948,-2.986471849003262,-2.927642245490816,-11.090013905453047,147,0.0251
-1.631657826616134,-1.5981811935379167,-1.6186583762378945,-1.594545046459169,-1.612190543087169,-1.6351026684545333,-2.404876489596653,-2.37277277890657,-8.352217123827817,238,0.0145
-1.616428888830324,-1.4877732467852407,-1.571617421338034,-1.4744518759099363,-1.5558907666195805,-1.4987154773521831,-5.365882659184452,-5.098729996595533,-8.388054191187345,66,0.1096
-1.6245721969817364,-1.5697755595158749,-1.6044241701777786,-1.5661689554144147,-1.5927044748957915,-1.5696151963567742,-3.300513499193642,-3.2287938065625235,-11.784454235430307,97,0.0302
-1.6202573308180526,-1.5821348299435711,-1.6036490755011594,-1.5780415158936734,-1.6064358468625606,-1.5856294282431946,-2.9367234374513194,-2.877126751026231,-11.290909719188695,179,0.0251
-1.6218863301097344,-1.5997974483582535,-1.6085126014114457,-1.594667771760768,-1.6023515691128871,-1.5944674710670161,-2.4931116418150747,-2.4519920056464186,-9.82324353437309,50,0.0174
-1.6140338084235344,-1.5885878387990324,-1.604725880336992,-1.586997855686,-1.613586174445615,-1.6258239216829236,-2.468837832000411,-2.4309142358028866,-8.217423560384335,120,0.0145
-1.5986706633123835,-1.4899886097997777,-1.5554880235048294,-1.471905730738201,-1.5540886094445905,-1.502228305369792,-5.348683487713551,-5.05582617582684,-7.177562261369205,239,0.1318
