N,M,K1,K2,train_size,graph_accuracy,hyper_graph_accuracy,loss_measurement
500,800,2,6,0.5,1.154639327197159,1.2033990957469265,rms
500,800,2,6,0.6000000000000001,1.0837760864855353,1.1159076109892045,rms
500,800,2,6,0.7000000000000001,1.009394639273698,1.0439837307823963,rms
500,800,2,6,0.8,0.9328512574635897,0.9620344883751667,rms
500,800,2,6,0.9,0.8901014650411508,0.9167646114083604,rms
500,800,2,6,1.0,0.8455153736869594,0.8640363725602276,rms
500,900,2,6,0.0,1.6988525650133834,1.6988525650133834,rms
500,900,2,6,0.1,1.5069657602914612,1.5079268651448534,rms
500,900,2,6,0.2,1.3228818865119572,1.3201509762003811,rms
500,900,2,6,0.30000000000000004,1.1684013173615948,1.1669447871070786,rms
500,900,2,6,0.4,1.0411848741106378,1.0410780608152665,rms
500,900,2,6,0.5,0.9980370759785975,0.9946937934556311,rms
500,900,2,6,0.6000000000000001,0.9204444019486987,0.9240109257506764,rms
500,900,2,6,0.7000000000000001,0.8363259793304287,0.8424891862472534,rms
500,900,2,6,0.8,0.8142450987396801,0.8085678616338074,rms
500,900,2,6,0.9,0.7652722426878273,0.7665433425557963,rms
500,900,2,6,1.0,0.7270091782194029,0.7278180977185159,rms
500,1000,2,6,0.0,1.7780757853921896,1.7780757853921896,rms
500,1000,2,6,0.1,1.5286524282574434,1.5399296993198874,rms
500,1000,2,6,0.2,1.3680991236062763,1.3762500475580672,rms
500,1000,2,6,0.30000000000000004,1.2696100088143165,1.259779529505985,rms
500,1000,2,6,0.4,1.1183283050681465,1.115969545681836,rms
500,1000,2,6,0.5,1.0485397759221984,1.0345300047567396,rms
500,1000,2,6,0.6000000000000001,0.9361007876135949,0.935549440822314,rms
500,1000,2,6,0.7000000000000001,0.9183161292177386,0.908419275746558,rms
500,1000,2,6,0.8,0.8483300918684726,0.8482143900761387,rms
500,1000,2,6,0.9,0.8159747731769955,0.8174076776965411,rms
500,1000,2,6,1.0,0.7954363366706286,0.7890458676052677,rms
500,1100,2,6,0.0,1.866024998866909,1.866024998866909,rms
500,1100,2,6,0.1,1.5698303349869203,1.5901217700577635,rms
500,1100,2,6,0.2,1.4168661887796645,1.4306037910411413,rms
500,1100,2,6,0.30000000000000004,1.2319840502644608,1.2578742266884726,rms
500,1100,2,6,0.4,1.1391650399812518,1.1541367443987365,rms
500,1100,2,6,0.5,1.0145981102989003,1.0241625506668046,rms
500,1100,2,6,0.6000000000000001,0.9729763710242555,0.9884494582070174,rms
500,1100,2,6,0.7000000000000001,0.8086341444267858,0.843615133027043,rms
500,1100,2,6,0.8,0.805344632567536,0.8392689555250116,rms
500,1100,2,6,0.9,0.7776667685115619,0.8024945717103935,rms
500,1100,2,6,1.0,0.7245719206979008,0.7524365887203487,rms
500,1200,2,6,0.0,1.6327948559612933,1.6327948559612933,rms
500,1200,2,6,0.1,1.4035056688192546,1.4013151078169297,rms
500,1200,2,6,0.2,1.3207048863953783,1.300641611717101,rms
500,1200,2,6,0.30000000000000004,1.063740955469785,1.0553170901813353,rms
500,1200,2,6,0.4,0.9594636722881154,0.9552282742952225,rms
500,1200,2,6,0.5,0.9158974493257416,0.9018197615708338,rms
500,1200,2,6,0.6000000000000001,0.8956316988344355,0.8827455823285014,rms
500,1200,2,6,0.7000000000000001,0.8157506526971466,0.7867091539079221,rms
500,1200,2,6,0.8,0.7541969190209562,0.7245168569370334,rms
500,1200,2,6,0.9,0.7086901864341484,0.6864069965531732,rms
500,1200,2,6,1.0,0.6886247259519301,0.6587983425722546,rms
500,1300,2,6,0.0,1.8665506244368792,1.8665506244368792,rms
500,1300,2,6,0.1,1.5220976976307408,1.5501024090954194,rms
500,1300,2,6,0.2,1.2957286434768478,1.313775951269697,rms
500,1300,2,6,0.30000000000000004,1.1735614219920874,1.1867920557512879,rms
500,1300,2,6,0.4,0.9441867844274536,0.983541221807059,rms
