BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,ratio,rep
-1.2573909953892446,-1.1633442323620402,-1.2579362232236484,-1.1508484966753365,-1.3008478294947745,-1.23911462295113,-2.7583141050344,-2.424048115460762,-2.0273428058295035,1.0,28
-1.2483600349639266,-1.149205851605568,-1.2516260598806568,-1.1406493335342531,-1.299502334287972,-1.2520889939967552,-2.6479291160331218,-2.308885415669208,-2.1089062908822527,1.0,95
-1.4088025586408734,-1.3603959225176037,-1.40076102611723,-1.3615776764301892,-1.3877258539837618,-1.3669325781943649,-2.327840996083171,-2.3126806083051825,-7.507590534537975,0.046415888336127774,7
-1.406613649606838,-1.4041126059481874,-1.3995489204743152,-1.3970247555356723,-1.3851807844048376,-1.3849874272490847,-1.4632261427227946,-1.4525327287741383,-5.785424571031225,0.021544346900318832,27
-1.103655254950326,-1.0334693830573536,-1.13439182670605,-1.0218464586996785,-1.2370064319984992,-1.188096856946886,-1.865319675268371,-1.6250841894058523,-1.3065780129410676,2.154434690031882,70
-1.3862943610448906,-1.3862943610448777,-1.3862943610448926,-1.3862943610448828,-1.3862943610465104,-1.3862943610493126,-1.3862943610469118,-1.386294361046863,0.0,0.0021544346900318843,3
-1.4033316861006686,-1.3567688225650043,-1.3807226238563437,-1.345348795748836,-1.3594346722649011,-1.3395471183727894,-4.124577651276865,-3.989908831638072,-11.929735567778769,0.21544346900318823,50
-1.0007307486909758,-0.9114603159738052,-1.0342140587972717,-0.9044358044668512,-1.1287675149387095,-1.0762440293129223,-1.7565280274894033,-1.7697076642233205,-1.2606676891532271,10.0,48
-1.3588507174595166,-1.3521021069889894,-1.3568204277876783,-1.3539968029179767,-1.3674015020983268,-1.3603943764424644,-2.11602091856612,-2.088303584806869,-6.778239343656352,0.046415888336127774,17
-1.3980607081940155,-1.3816424076832166,-1.391350360214124,-1.3789144969128848,-1.3804546814453107,-1.3685678494913762,-1.7108011760272703,-1.7027767609846185,-6.3407461328409065,0.03162277660168379,1
