tested_parameter,M,N,K1,K2,train_size,std_bt_likelihood,ho_bt_likelihood,repetition
games,500,1000,2,6,0.03630780547701014,0.8342790050617279,0.8306825673663747,2
games,500,1000,2,6,0.043651583224016605,0.8513439064289082,0.8446869659323065,2
games,500,1000,2,6,0.05248074602497726,0.8580122645016819,0.8528838877896644,2
games,500,1000,2,6,0.06309573444801933,0.8493529111939947,0.8509425680599946,2
games,500,1000,2,6,0.07585775750291836,0.8696557932499615,0.8701046156474729,2
games,500,1000,2,6,0.09120108393559097,0.8981916204730283,0.8928682371235152,2
games,500,1000,2,6,0.1096478196143185,0.9178135927239669,0.9105944403618415,2
games,500,1000,2,6,0.13182567385564073,0.926685102681167,0.9140185514396219,2
games,500,1000,2,6,0.15848931924611132,0.9340221987413442,0.9201438034850072,2
games,500,1000,2,6,0.19054607179632474,0.960242204367153,0.9566440377021515,2
games,500,1000,2,6,0.22908676527677735,0.9472684423654283,0.9565979820149713,2
games,500,1000,2,6,0.2754228703338166,0.9536590399944596,0.9548910102987395,2
games,500,1000,2,6,0.3311311214825911,1.0034842287677768,1.0045919725575487,2
games,500,1000,2,6,0.3981071705534973,1.1038648760340517,1.1068633480697656,2
games,500,1000,2,6,0.47863009232263826,1.0389217300002545,1.0577930229402532,2
games,500,1000,2,6,0.5754399373371569,0.9463382748264834,0.9208067577865302,2
games,500,1000,2,6,0.6918309709189365,1.0153859901568185,0.9481826780229873,2
games,500,1000,2,6,0.8317637711026709,1.2879077228434124,1.1726667159312913,2
games,500,1000,2,6,0.01,0.8660651890137611,0.8663093319103671,3
games,500,1000,2,6,0.012022644346174132,0.8691782689081365,0.8692853144259777,3
games,500,1000,2,6,0.014454397707459272,0.871642079675957,0.8717492224799744,3
games,500,1000,2,6,0.017378008287493755,0.8704627726324529,0.8717736477621498,3
games,500,1000,2,6,0.020892961308540396,0.8795580389075793,0.8800777171791015,3
games,500,1000,2,6,0.025118864315095794,0.8826428472090728,0.8830490957664565,3
games,500,1000,2,6,0.030199517204020164,0.8779934304462356,0.8779143000585875,3
games,500,1000,2,6,0.03630780547701014,0.8838437328746823,0.8832209854582186,3
games,500,1000,2,6,0.043651583224016605,0.8917352013414043,0.8904497226988678,3
games,500,1000,2,6,0.05248074602497726,0.9056446706754626,0.9031820279874243,3
games,500,1000,2,6,0.06309573444801933,0.9081862095372333,0.906844485667387,3
games,500,1000,2,6,0.07585775750291836,0.9426167769886855,0.9327018846155695,3
games,500,1000,2,6,0.09120108393559097,0.9535655983596385,0.942954658602091,3
games,500,1000,2,6,0.1096478196143185,0.9843315812066353,0.9611036258271735,3
games,500,1000,2,6,0.13182567385564073,1.0551503335593473,1.0339351871115503,3
games,500,1000,2,6,0.15848931924611132,0.9911397696401252,0.9687753079401655,3
games,500,1000,2,6,0.19054607179632474,1.0032647465568945,0.9822564872256767,3
games,500,1000,2,6,0.22908676527677735,0.9556004226941415,0.9419416324173812,3
games,500,1000,2,6,0.2754228703338166,1.0321653530668173,1.000915867726761,3
games,500,1000,2,6,0.3311311214825911,1.0257580716629768,0.9969012793220454,3
games,500,1000,2,6,0.3981071705534973,0.9303676607116899,0.9118816876426415,3
games,500,1000,2,6,0.47863009232263826,0.8982829852567914,0.8920980676381799,3
games,500,1000,2,6,0.5754399373371569,1.0041117793176761,0.9970651215562041,3
games,500,1000,2,6,0.6918309709189365,0.8134224464491542,0.8360834253581196,3
games,500,1000,2,6,0.8317637711026709,0.8014327785241078,0.7968451479848083,3
games,500,1000,2,6,0.01,0.6276098786271006,0.6270958495593104,4
games,500,1000,2,6,0.012022644346174132,0.6286331296932942,0.6281180504136055,4
games,500,1000,2,6,0.014454397707459272,0.6309423392890522,0.6302788074881942,4
