BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,dataset,rep
-0.926752346608424,-0.9252203114574846,-0.9274645481802656,-0.9250574536163446,-1.7220515441317417,-1.614971174224922,-0.9876919092178424,-0.973726284533464,-0.9662206142413472,18,30
-1.1442055949106569,-1.1159491827277652,-1.1457398689876108,-1.1143248496647826,-1.156050300716788,-1.1430012789598647,-1.2269203815100227,-1.193213103023446,-1.173156147794305,8,39
-2.0964871519504658,-2.069334577405732,-2.127642009175892,-2.0547443206384184,-2.142707846908969,-2.127628906232732,-2.36132602405975,-2.2676654061372923,-2.198315929591545,14,34
-2.5712255879485317,-2.431114625371462,-2.6073100931957165,-2.427033014541487,-3.3710746792443373,-3.666131360796282,-2.7967856305545773,-2.7080502009916643,-2.634474952573626,35,12
-1.817108032227357,-1.964649694012912,-1.843644941256188,-1.818473918424472,-1.780255003616742,-2.027354328561089,-1.8100101448699155,-1.7919720688222651,-1.6735835344770915,38,15
-1.389514850123338,-1.3876854390660922,-1.3906300710343111,-1.387662092382901,-5.322950429034209,-4.930191371463296,-1.38918814258691,-1.389025134286023,-1.388719596043382,28,25
-0.9595446259720292,-0.9462660992348536,-0.9665539396237608,-0.9461230402999128,-1.0146740975576851,-1.000280847234459,-1.510487456368954,-1.3998242791083202,-1.0946964959532093,4,46
-0.8334589393844924,-0.953755460202602,-0.8969057162751346,-1.0247143249157025,-2.560875727552185,-1.33986133372772,-4.324990435691,-3.0166818407888183,-2.381055331277296,6,2
-0.9639562506892264,-0.9513253652928768,-0.9710870542567364,-0.9513193391999664,-1.0150334475355347,-1.0031429960886118,-1.5060336779085888,-1.398413907281922,-1.0965709388823432,4,4
-1.2489149915594695,-1.2419143679427422,-1.2530295697508047,-1.2414275310099294,-1.695963571213044,-1.6936594139645131,-1.3112488464182184,-1.301134499943834,-1.3179110244384389,24,35
-0.9295459866014056,-0.9285844293481508,-0.9300521275676968,-0.9283384462873312,-1.743287123979262,-1.6290963697908427,-0.98602212838236,-0.9729095135711406,-0.9708478054898216,18,24
-1.2174243503037083,-1.21150979237339,-1.2194791966258245,-1.210993319393197,-1.8819214238658173,-2.511526147536914,-1.572614339511356,-1.498464365078835,-1.3142256294372363,25,2
-0.9329094383763694,-0.9322288790182768,-0.9334385268470332,-0.9321184050572568,-1.790574183013053,-1.6263470822420136,-0.9887763502763586,-0.976007418163088,-0.9718798378694612,18,9
-0.7987285306469113,-0.7476302117673853,-0.8803636484494698,-0.9208142018472336,-2.5789804126379408,-1.3140233720825594,-4.436293611226768,-3.0848048090754765,-2.440703199822412,6,24
-2.335611695390745,-2.3146765271774665,-2.377333724278877,-2.364058373919338,-2.372508243028026,-2.1249756144586107,-2.63950000938346,-2.428336269973073,-2.310335909231201,12,37
-1.5367187518228742,-1.5363581595495732,-1.5376859018793223,-1.5353051918624685,-1.5537598618704835,-1.5532076874906864,-1.5494415824547003,-1.5525449311963215,-1.540866749565756,7,5
-2.453354069309866,-2.0188201983140166,-2.579013399530046,-2.0386608476560664,-2.590413298914613,-2.2806426634916988,-3.146576250824921,-3.0442728163550297,-2.746967589004337,52,5
-1.3885789419387615,-1.3868269220583174,-1.3896820386579094,-1.38676698269782,-5.373065477218043,-4.955826449131659,-1.3878707898533562,-1.387741192886141,-1.3876014111541697,28,4
-0.9261920736708896,-0.924682699923625,-0.9269279995152836,-0.9246522277187916,-1.7532111515495448,-1.621390816810831,-0.9872369831354886,-0.9726451905151589,-0.9708122712342112,18,26
-1.2265249063707186,-1.2203602922196857,-1.2293875166060146,-1.2202703654555325,-1.766888782086904,-1.8165673395223485,-1.5449741448840717,-1.4729734257727038,-1.3182732728567923,25,16
-1.189013021037222,-1.199856668096967,-1.187972263595667,-1.2059443981044295,-1.1717047733068464,-1.1737294195789882,-1.38824047134485,-1.2825645257462743,-1.2377344646954984,30,16
-2.8341348974150784,-2.08558375541836,-3.062553176233435,-2.153216242515487,-2.9402718503971443,-1.9958131163869768,-2.380993554989461,-2.428336269973073,-2.4761564075112896,12,35
-1.5190128464526225,-1.518309351444851,-1.520080078291173,-1.5170832882579843,-1.5286440136750792,-1.567063278568519,-1.5334682332088123,-1.537202256685803,-1.5224751278344877,7,43
-1.1456783936338713,-1.117601673479165,-1.1475245390673312,-1.116514753360856,-1.1573681680062364,-1.147702770889952,-1.2311586093940188,-1.1960201296010038,-1.1763114371833217,8,50
-1.5343438960336702,-1.5344063945062354,-1.5350545668728737,-1.5332742494709837,-1.538866216651956,-1.5463385880720444,-1.5489110167643545,-1.55358343606523,-1.5376861280604213,7,35
-1.3913040782908317,-0.7958726654683272,-1.5641786778846665,-0.8255281259628348,-2.121582631632404,-1.422626507835133,-3.4741015336289838,-2.6704000233308047,-2.2195923962394573,42,11
-1.7197712812974613,-1.9126358965444816,-1.7057740282326892,-1.7802561970644628,-1.701492267626002,-1.6776832528043937,-1.7484578738202063,-1.7292270918583603,-1.6513310057622037,38,47
-0.7387883398581128,-1.5027606300456704,-0.8109320619684371,-0.7573804442996929,-1.316032177360331,-0.3303498565398748,-3.1320463638350016,-2.2248843379099563,-1.672992509690588,9,40
-1.365171207795116,-0.8015620321714636,-1.5380285583796685,-0.8263219149976156,-2.098403547134028,-1.4208655617138892,-3.4577820747956785,-2.6736313141587003,-2.20759884607722,42,9
-0.9230995929830608,-0.9212194386772822,-0.9239534456520776,-0.9212451656255858,-1.4619806206556285,-1.5915291272308127,-0.986808123051974,-0.9730267253523304,-0.963786749926845,18,42
