BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,dataset,rep
-1.9302329215862448,-1.9888458780016884,-1.9278093487265653,-1.987174426711666,-2.008708430864493,-2.038387607779262,-2.8540081143693885,-2.693556683350252,-2.0887241955908102,4,46
-20.1647957237,-38.73485640256124,-20.3441979077892,-38.668817044093146,-36.061851364704886,-44.242942790492975,-62.39672632594975,-42.12382239406524,-32.81263225990328,6,2
-1.9278312076026864,-1.986313528997588,-1.9255806232469876,-1.984544898329508,-2.008082956147185,-2.035053552522364,-2.848443314344781,-2.6915259691882976,-2.088364160703346,4,4
-2.963950152403377,-2.9817015827088134,-2.964399778609964,-2.9795668423267845,-5.004541752151629,-5.033056802530668,-3.1701460142850477,-3.1718326471411054,-3.057350880415867,24,35
-1.4272217033899863,-1.431173894583188,-1.4268988259868025,-1.4310759915726363,-3.2015717690681424,-2.983321892250068,-1.4975275945559383,-1.4828813769222713,-1.4773495775930394,18,24
-2.9487095739670464,-2.9721235639658343,-2.946889086245694,-2.9718548394287247,-6.060791092140217,-6.978211009746718,-3.523211890950817,-3.4026048618390328,-3.0594681687352483,25,2
-1.4358600812050275,-1.440352170229286,-1.4354847477030153,-1.4403630791130826,-3.3301572734535183,-3.00860895857004,-1.5058046855241038,-1.4921576366879676,-1.470418512102545,18,9
-20.401211217284395,-45.85699667513863,-21.693567114374407,-45.32981398082784,-40.67837074225111,-50.20541435169476,-70.51079714373786,-46.97557509484053,-37.1345268731625,6,24
-15.384837689021849,-21.838862587983144,-15.307176131795066,-18.49759357636513,-24.60265342002937,-75.40326006520657,-19.6694958593155,-17.618994368113356,-16.117996653467905,12,37
-6.3585340622542175,-6.384527372784268,-6.358039823666223,-6.377515344142715,-6.502743770681208,-6.546827336324808,-6.423876463050756,-6.46285770723204,-6.37020266224387,7,5
-45.76819051214676,-67.60234127694169,-45.34637245058963,-55.54620319227808,-47.376240064433496,-53.56268607553603,-51.44645467176359,-50.14925855309681,-46.99807098511336,52,5
-3.678796958677319,-3.689102784708836,-3.6779454996579606,-3.6890251384407766,-15.123598149443366,-16.335923937126207,-3.6867598049888,-3.683650289925143,-3.680919160676552,28,4
-1.42715590495157,-1.430618141602406,-1.4269693370315426,-1.430650245691631,-3.207054242325853,-2.934071747391036,-1.5010983226759076,-1.4862099166202472,-1.4769363690751598,18,26
-2.965961056489805,-2.983802149901193,-2.96512833979335,-2.9835396771186486,-5.932213743536416,-6.136108489193561,-3.481219350665935,-3.361839869788974,-3.066307019499144,25,16
-2.788418889813221,-2.826569279676451,-2.789905766058724,-2.868120035575226,-5.179725341691126,-5.119561154783614,-3.6009003784522493,-3.186111758845727,-2.9978010867901554,30,16
-18.356647425470538,-22.277742941997072,-18.737261076777838,-18.401834859370947,-32.19488546200643,-82.78600558258856,-18.89006876055797,-17.5769124833872,-17.22297352143241,12,35
-6.116775369230365,-6.140769546626991,-6.114097512248034,-6.131535292013727,-6.182990992179437,-6.601764222888158,-6.171420519153939,-6.211690289074299,-6.121631371010697,7,43
-3.18523678159731,-3.298361777603003,-3.1825182028610777,-3.294141806126379,-3.3001464678980805,-3.526621739478528,-3.297472731082685,-3.2280411454669062,-3.223836446214464,8,50
-6.282963726696629,-6.30881263376832,-6.281319851456336,-6.302800917840355,-6.309284620764593,-6.41156879029881,-6.346213400301963,-6.380701536860459,-6.29400407727585,7,35
-21.69617947120385,-37.11206162471924,-20.94437634947008,-33.29561327662176,-23.447322652373916,-29.459356576130173,-31.79226845256548,-26.306090476993155,-23.25124281926129,42,11
-5.70863602768667,-6.350734746237323,-5.632619618222322,-5.783951919599713,-6.178561427832807,-6.665611801109553,-5.484127300719136,-5.4655380341887145,-5.616843999137696,38,47
-9.100440964083823,-10.100206675970664,-9.064453767652871,-9.554810659565163,-21.937945230262944,-61.83642954694882,-12.137671744225347,-10.832817783732729,-10.02835328382833,9,40
-21.643519428387457,-36.30186093754694,-20.799455841551847,-32.76528710749625,-23.34107720750374,-29.18160207468188,-31.793179884524186,-26.41896698668608,-23.13641221778394,42,9
-1.422456735682177,-1.4257166797671552,-1.4223974404370672,-1.4258636470010175,-2.633402366389193,-2.991431914016552,-1.5036336236364374,-1.4878939192457197,-1.4630362317429657,18,42
-9.289884431356874,-10.148803762872488,-9.20376122184853,-9.583880369585168,-24.789656864304565,-62.38314208443269,-12.200357464097012,-10.91161681749047,-10.165531934207015,9,14
-14.500839921824817,-15.759213107803182,-14.441885762042348,-15.381038505176608,-14.560499633602012,-15.459335545235197,-15.748565231503084,-15.29393076699797,-14.619852706540756,14,41
-6.238432042213944,-6.262510084035858,-6.2371554182675695,-6.255108840282015,-6.323154925280291,-6.344338013223708,-6.299075373319044,-6.333283575916253,-6.248744716786562,7,7
-3.681354972308778,-3.690491818400988,-3.680950559833527,-3.690692517722968,-15.128902752186002,-16.279264162735487,-3.6897031365539714,-3.686622624005575,-3.683593568616358,28,39
-4.554945885901244,-4.715670787522196,-4.546447111515477,-4.617001262272262,-14.758835729963932,-14.822236742775692,-5.089458200402951,-4.839327446140583,-4.62444836641747,32,25
-3.672876136898513,-3.6838117589468977,-3.6718261120241102,-3.683830223288615,-15.041467785679949,-16.359935228122765,-3.68144975304848,-3.678290883174869,-3.6753741962675446,28,29
-1.4258750289135635,-1.428951384117657,-1.425929642226692,-1.4291768944080605,-2.008721417058629,-3.025463315883489,-1.503752187127377,-1.4881921921450605,-1.4680282716264563,18,15
-15.7412800203872,-20.922714239329185,-15.798392081680122,-17.608042336732378,-29.139268877144207,-75.04680702798247,-19.29287898815307,-17.619396732580316,-16.40819050384369,12,22
