,K,Rep,Iterations_to_converge
578,25,78,42
579,25,79,37
580,25,80,43
581,25,81,45
582,25,82,39
583,25,83,44
584,25,84,44
585,25,85,43
586,25,86,42
587,25,87,40
588,25,88,41
589,25,89,43
590,25,90,42
591,25,91,40
592,25,92,43
593,25,93,43
594,25,94,42
595,25,95,43
596,25,96,41
597,25,97,42
598,25,98,37
599,25,99,40
600,30,0,42
601,30,1,42
602,30,2,44
603,30,3,42
604,30,4,43
605,30,5,41
606,30,6,42
607,30,7,41
608,30,8,41
609,30,9,44
610,30,10,40
611,30,11,41
612,30,12,42
613,30,13,44
614,30,14,40
615,30,15,39
616,30,16,42
617,30,17,48
618,30,18,42
619,30,19,42
620,30,20,41
621,30,21,42
622,30,22,42
623,30,23,40
624,30,24,42
625,30,25,46
626,30,26,41
627,30,27,41
628,30,28,44
629,30,29,46
630,30,30,42
631,30,31,45
632,30,32,48
633,30,33,41
634,30,34,39
635,30,35,44
636,30,36,44
637,30,37,41
638,30,38,43
639,30,39,42
640,30,40,40
641,30,41,39
642,30,42,44
643,30,43,45
644,30,44,44
645,30,45,43
646,30,46,45
647,30,47,39
648,30,48,40
649,30,49,36
650,30,50,42
651,30,51,41
652,30,52,42
653,30,53,43
654,30,54,42
655,30,55,46
656,30,56,42
657,30,57,40
658,30,58,41
659,30,59,41
660,30,60,43
661,30,61,43
662,30,62,44
663,30,63,40
664,30,64,46
665,30,65,44
666,30,66,40
667,30,67,43
668,30,68,40
669,30,69,44
670,30,70,37
671,30,71,37
672,30,72,39
673,30,73,46
674,30,74,43
675,30,75,44
676,30,76,44
677,30,77,45
678,30,78,41
679,30,79,42
680,30,80,45
681,30,81,42
682,30,82,44
683,30,83,39
684,30,84,44
685,30,85,43
686,30,86,48
687,30,87,40
688,30,88,40
689,30,89,41
690,30,90,40
691,30,91,38
692,30,92,42
693,30,93,45
694,30,94,38
695,30,95,40
696,30,96,41
697,30,97,39
698,30,98,42
699,30,99,43
700,35,0,37
701,35,1,40
702,35,2,47
703,35,3,40
704,35,4,43
705,35,5,46
706,35,6,43
707,35,7,48
708,35,8,50
709,35,9,44
710,35,10,43
711,35,11,44
712,35,12,43
713,35,13,43
714,35,14,42
715,35,15,42
716,35,16,40
717,35,17,41
718,35,18,45
719,35,19,49
720,35,20,43
721,35,21,47
722,35,22,36
723,35,23,44
724,35,24,44
725,35,25,43
726,35,26,46
727,35,27,40
728,35,28,41
729,35,29,45
730,35,30,45
731,35,31,45
732,35,32,46
733,35,33,44
734,35,34,40
735,35,35,45
736,35,36,48
737,35,37,41
738,35,38,45
739,35,39,42
740,35,40,50
741,35,41,38
742,35,42,42
743,35,43,43
744,35,44,42
745,35,45,44
746,35,46,40
747,35,47,44
748,35,48,47
749,35,49,45
750,35,50,46
751,35,51,44
752,35,52,38
753,35,53,38
754,35,54,42
755,35,55,43
756,35,56,39
757,35,57,44
758,35,58,41
759,35,59,43
760,35,60,43
761,35,61,45
762,35,62,42
763,35,63,45
764,35,64,43
765,35,65,51
766,35,66,39
767,35,67,40
768,35,68,40
769,35,69,40
770,35,70,43
771,35,71,41
772,35,72,48
773,35,73,43
774,35,74,43
775,35,75,46
776,35,76,40
777,35,77,45
778,35,78,39
779,35,79,44
780,35,80,46
781,35,81,45
782,35,82,46
783,35,83,48
784,35,84,42
785,35,85,42
786,35,86,46
787,35,87,41
788,35,88,42
789,35,89,43
790,35,90,43
791,35,91,49
792,35,92,47
793,35,93,45
794,35,94,38
795,35,95,44
796,35,96,47
797,35,97,45
798,35,98,46
799,35,99,42
800,40,0,46
801,40,1,47
802,40,2,43
803,40,3,48
804,40,4,48
805,40,5,47
806,40,6,42
807,40,7,46
808,40,8,50
809,40,9,41
810,40,10,47
811,40,11,48
812,40,12,40
813,40,13,48
814,40,14,48
815,40,15,45
816,40,16,53
817,40,17,44
818,40,18,49
819,40,19,47
820,40,20,53
821,40,21,45
822,40,22,43
823,40,23,45
824,40,24,43
825,40,25,46
826,40,26,44
827,40,27,45
828,40,28,42
829,40,29,42
830,40,30,40
831,40,31,47
832,40,32,46
833,40,33,47
834,40,34,46
835,40,35,41
836,40,36,42
837,40,37,42
838,40,38,39
839,40,39,46
840,40,40,45
841,40,41,43
842,40,42,43
843,40,43,44
844,40,44,43
845,40,45,43
846,40,46,42
847,40,47,44
848,40,48,45
849,40,49,45
850,40,50,45
851,40,51,46
852,40,52,42
853,40,53,43
854,40,54,42
855,40,55,46
856,40,56,43
857,40,57,42
858,40,58,46
859,40,59,48
860,40,60,45
861,40,61,42
862,40,62,43
863,40,63,45
864,40,64,43
865,40,65,41
866,40,66,42
867,40,67,40
868,40,68,45
869,40,69,49
870,40,70,43
871,40,71,43
872,40,72,49
873,40,73,42
874,40,74,44
875,40,75,44
876,40,76,45
877,40,77,42
878,40,78,44
879,40,79,45
880,40,80,42
881,40,81,43
882,40,82,45
883,40,83,43
884,40,84,42
885,40,85,50
886,40,86,47
887,40,87,44
888,40,88,44
889,40,89,43
890,40,90,42
891,40,91,47
892,40,92,42
893,40,93,41
894,40,94,49
895,40,95,46
896,40,96,46
897,40,97,47
898,40,98,48
899,40,99,42
900,45,0,45
901,45,1,49
902,45,2,44
903,45,3,47
904,45,4,50
905,45,5,44
906,45,6,46
907,45,7,49
908,45,8,51
909,45,9,46
910,45,10,43
911,45,11,43
912,45,12,43
913,45,13,41
914,45,14,45
915,45,15,46
916,45,16,47
917,45,17,45
918,45,18,46
919,45,19,47
920,45,20,46
921,45,21,45
922,45,22,47
923,45,23,43
924,45,24,44
925,45,25,51
926,45,26,49
927,45,27,41
928,45,28,44
929,45,29,47
930,45,30,47
931,45,31,43
932,45,32,44
933,45,33,43
934,45,34,47
935,45,35,43
936,45,36,43
937,45,37,48
938,45,38,39
939,45,39,47
940,45,40,46
941,45,41,47
942,45,42,42
943,45,43,48
944,45,44,42
945,45,45,50
946,45,46,44
947,45,47,46
948,45,48,44
949,45,49,47
950,45,50,47
951,45,51,47
952,45,52,43
953,45,53,50
954,45,54,43
955,45,55,45
956,45,56,48
957,45,57,40
958,45,58,44
959,45,59,43
960,45,60,46
961,45,61,43
962,45,62,41
963,45,63,42
964,45,64,45
965,45,65,42
966,45,66,50
967,45,67,47
968,45,68,39
969,45,69,46
970,45,70,47
971,45,71,42
972,45,72,41
973,45,73,47
974,45,74,43
975,45,75,49
976,45,76,49
977,45,77,43
978,45,78,45
979,45,79,49
980,45,80,38
981,45,81,46
982,45,82,38
983,45,83,48
984,45,84,42
985,45,85,45
986,45,86,43
987,45,87,46
988,45,88,52
989,45,89,46
990,45,90,45
991,45,91,42
992,45,92,48
993,45,93,46
994,45,94,46
995,45,95,48
996,45,96,47
997,45,97,45
998,45,98,43
999,45,99,49
1000,50,0,42
1001,50,1,51
1002,50,2,43
1003,50,3,43
1004,50,4,40
1005,50,5,49
1006,50,6,42
1007,50,7,49
1008,50,8,43
1009,50,9,44
1010,50,10,47
1011,50,11,50
1012,50,12,48
1013,50,13,50
1014,50,14,41
1015,50,15,39
1016,50,16,40
1017,50,17,46
1018,50,18,46
1019,50,19,45
1020,50,20,48
1021,50,21,42
1022,50,22,45
1023,50,23,44
1024,50,24,43
1025,50,25,46
1026,50,26,48
1027,50,27,45
1028,50,28,45
1029,50,29,39
1030,50,30,42
1031,50,31,43
1032,50,32,47
1033,50,33,45
1034,50,34,43
1035,50,35,41
1036,50,36,46
1037,50,37,47
1038,50,38,43
1039,50,39,45
1040,50,40,48
1041,50,41,42
1042,50,42,48
1043,50,43,42
1044,50,44,47
1045,50,45,46
1046,50,46,45
1047,50,47,47
1048,50,48,49
1049,50,49,44
