newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,ratio,rep
-0.8858607199538258,-0.9030327870352248,-0.8850054756583793,-0.901449256045952,-1.1287731990076928,-1.026222831800569,-2.150074489905736,-1.798847274574281,-1.2002599440903725,25,13
-0.8746733765483387,-0.9114821263265346,-0.8732564993318384,-0.90551643036002,-1.1427980206487456,-1.0458223984157706,-2.1622612412864197,-1.7323285945544145,-1.19499584479882,10,21
-1.1450249215269352,-1.2804065616846825,-1.133335986504504,-1.259297719854039,-1.3030362649786376,-1.2751643901078693,-3.650350303322108,-3.27854597497631,-6.114113231993003,0.5,25
-1.2766955893822445,-1.3239751101120156,-1.2467595598814816,-1.289699506504796,-1.306846157041029,-1.4636060829415385,-3.5962108484429427,-3.275752883284034,-6.819394497978886,0.5,16
-1.289538162786502,-1.3364253721711723,-1.279009047251117,-1.32493608560823,-1.3203365799896982,-1.3137681269590658,-4.0142742878428805,-3.83543318650985,-10.909516504308142,0.25,77
-0.9781298043288776,-1.029279131279664,-0.9777927490616032,-1.0207303193496893,-1.1851134090268345,-1.1097604852972178,-2.080819780908611,-1.661338975795897,-1.206718415915628,5,44
-1.0192532142358908,-1.1295483192801938,-1.0295447483674254,-1.1265595221329672,-1.2612296056045469,-1.1977612102524986,-2.993024234427807,-2.574091970139494,-4.050192316768509,0.75,40
-0.8662546039224401,-0.9022878995879512,-0.8649360621509938,-0.8987730012085172,-1.1445353635344926,-1.0453432234104094,-2.127534496025365,-1.7583107652896497,-1.1929379798425102,10,69
-0.9121987734554776,-0.9454127271711056,-0.9109533520937788,-0.9359408393698258,-1.15905667693711,-1.067268601981709,-2.144679148535749,-1.7430516867845565,-1.2015318739440437,10,10
-1.2421086333910658,-1.2925225253778978,-1.219465354993,-1.2774755746804014,-1.3006429039802192,-1.2914256674668991,-3.8709340889712767,-3.568625951819792,-5.645214712599725,0.5,59
-0.8812257919938775,-0.9232844761330578,-0.8781738573178309,-0.9123428108261756,-1.1563624791079252,-1.0577088145289852,-2.165505746059805,-1.7482438609852968,-1.193446274937907,10,68
-0.8895128267871464,-0.925592847649143,-0.8866567784511818,-0.9182343233071176,-1.1527078918389937,-1.0560156531069882,-2.145685535769431,-1.7407096709172176,-1.19835641644905,10,41
-0.9050084954495584,-0.9428930923211836,-0.9030271969933208,-0.9340935827499784,-1.1438699529882228,-1.0575297933615533,-2.168571028412473,-1.7353403429534375,-1.1984807287625905,10,85
-0.8523514077410755,-0.8698785816560562,-0.8518725703400852,-0.8671976100010572,-1.1296784379608504,-1.0076299841910634,-2.190147551801586,-1.828250977667824,-1.1932273595522742,25,56
-1.1422249135766571,-1.1973860592354135,-1.140712678467794,-1.1832202879081894,-1.2603807371854736,-1.2597709882307,-3.6735402863843087,-3.3331989177993018,-5.685106628581784,0.5,13
-1.0755663132366429,-1.205967511571318,-1.0631989784151723,-1.1896275913239245,-1.230092968101946,-1.2128098294971368,-2.637745769663454,-2.1119677617607358,-2.165217479543681,1,56
-0.8675414188197808,-0.9491314344270068,-0.8641589456565184,-0.9349566755605252,-1.168884980282236,-1.1127525815416188,-2.1566186123124567,-1.7181680773956085,-1.1909724689217307,5,96
-1.054427203451318,-1.1795897005174698,-1.049431147326241,-1.169979355058443,-1.2294194819125308,-1.2137611355515714,-3.128153095932712,-2.673282693214265,-3.5873810402486157,0.75,96
-1.1415432180988627,-1.2132582480051992,-1.129355404343937,-1.1966782307813404,-1.254457729120511,-1.2186208351983503,-3.1597430408083262,-2.752722652531137,-3.221379730609084,0.75,26
-1.0835733353052548,-1.1468527568476343,-1.089747798281462,-1.1547426793681306,-1.280308105055661,-1.2336451286555157,-3.657832005322104,-3.363302383847204,-5.879765742844025,0.5,94
-0.9015852622186068,-0.9551418704261662,-0.899461445064347,-0.9441309983994844,-1.160666404817428,-1.0861088914055068,-2.147088095971316,-1.6928012617125288,-1.1947209273793606,5,69
-0.8394557133344277,-0.8601267341708341,-0.8377743675187854,-0.8570699755373191,-1.1266529947676127,-1.0069951799706014,-2.1762428585678584,-1.861254127523009,-1.1891065548781348,25,50
-0.8658066299684041,-0.910659764234374,-0.8641258147217753,-0.9048703722544392,-1.1550003394862869,-1.0574849171637768,-2.1725653749824665,-1.746887090388354,-1.1902856853539592,10,88
-0.9054121653964048,-0.9412194220458824,-0.903451255288636,-0.9362582043868743,-1.1357208129754248,-1.0665819362665352,-2.134070762899151,-1.7454799653833246,-1.2020686675368553,10,36
-0.8842570026163792,-0.9029433460637182,-0.8832575486570678,-0.9007497872722204,-1.1194048815148447,-1.0127637442094413,-2.153085110693192,-1.796094311306304,-1.1982141886182278,25,38
-0.9152181717464316,-1.0122585666416897,-0.908866368505732,-1.0021506920425096,-1.2058813170460017,-1.150980059115303,-2.1408824838474483,-1.6282194754557855,-1.1800647277810483,2,77
-1.020857158142573,-1.0968550904361851,-1.0147519258039517,-1.0759533082838757,-1.2115948713411344,-1.1692020420222495,-2.090624722201196,-1.625464437219583,-1.2204998058990846,2,4
-0.8387433308555219,-0.8499779003152158,-0.8376030808407792,-0.8462798761634717,-1.1272874795527936,-1.0144765197314627,-2.1859636935208533,-1.858280557062469,-1.193930137900663,25,54
-1.1998034368448212,-1.247505769680115,-1.1981099522540548,-1.24484512016423,-1.2952810307767617,-1.2759635391755562,-3.9349741036036474,-3.726985295782917,-10.420576063155046,0.25,82
-0.9006060777912421,-0.9499892287437072,-0.8998153185888507,-0.9446139304298024,-1.1847847169115089,-1.0944306241974382,-2.118347800635241,-1.7042994629711077,-1.1971562358846912,5,24
-1.0005411602625065,-1.1443961089429473,-0.9865662162010086,-1.1250987539082942,-1.203188973509359,-1.1791302305455602,-2.1268929361050333,-1.6123158802178508,-1.2606125834182067,2,40
-1.067442423420517,-1.1716298226423347,-1.0596973541664945,-1.153540615222707,-1.2308289057781625,-1.3072400404583584,-2.520775589555079,-2.1322545490834943,-1.743173861650409,1,5
-1.080603675129283,-1.162746028969201,-1.073706010973105,-1.1464066583249697,-1.2473172139079245,-1.2147773362567624,-2.993357821855822,-2.6461023179263514,-4.239289599241546,0.75,33
-1.3987943831544372,-1.3586942569835037,-1.3686722176119137,-1.3318673088723183,-1.3482617112439288,-1.3440423648642914,-4.137807827755239,-3.9367756408132415,-10.2395023446016,0.25,21
-0.8902601719400003,-0.9670249735872616,-0.889265794601643,-0.9534513935553364,-1.1969202158353385,-1.1172896758162183,-2.179903806843396,-1.6972179327002157,-1.1957853899094937,5,57
-1.1950018547831216,-1.3528092349287637,-1.1841163555342618,-1.3011961392312723,-1.3026634967277957,-1.292051068806194,-2.461847510810787,-2.092667174553846,-2.2010899161790243,1,34
