newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
-21.514352212732103,-21.541894727241107,-21.51210860801333,-21.54106548284692,-3.312926067041838,-3.158795829057005,-6.003661965218074,-5.830663360241491,-20.961130742329303,406,64
-11.83520995064033,-11.769576052072704,-11.863975070206823,-11.80056151500289,-3.1358121360158258,-3.039014991864182,-4.049290644376458,-3.99124608297006,-11.612840434062036,161,100
-14.332527711630874,-14.57065071444361,-14.330481775754624,-14.565418370669864,-2.961434034166413,-2.997415108817803,-9.628786307049708,-8.873163497657474,-14.236966912199644,2580,8
-2.1385176007876048,-2.3102494507746787,-2.1334029713913654,-2.276365971900284,-2.65284201470741,-2.5523063113115625,-4.800617734835559,-3.820642707680943,-2.7440114535991307,41285,4
-3.3253697537372964,-3.616097748965717,-3.288012004314524,-3.567936550301012,-2.9069160289879745,-2.8553162154956264,-5.0819651032775885,-4.000507234632181,-3.61154585576865,6501,12
-3.555138132896725,-3.631473096845996,-3.554455074738752,-3.6294377625257104,-3.071427373697222,-3.124731117687338,-3.4464643750488,-3.41119203009079,-3.4701303539884187,64,1
-5.5679545980950085,-5.620889456649842,-5.547582310277743,-5.596669740458826,-3.302346417299703,-3.3034549801709137,-3.3514688143345146,-3.392348319769104,-5.366976920833178,64,33
-15.309276209960704,-15.258417058655397,-15.334794910740914,-15.292206553237431,-3.420111652234721,-3.4288543121308503,-5.192080760460705,-5.100392029590739,-14.994285471046972,161,20
-2.2753752204624678,-2.5441178290099,-2.253254201782684,-2.4835638038359584,-2.7738812954950784,-2.712948876249448,-4.719021946959152,-3.673113134366297,-2.759211262235149,16384,53
-14.89478405485196,-15.134082850482402,-14.88229864446657,-15.104508385412393,-3.016405174256517,-3.0332509004803296,-9.736709484957542,-8.957230913631916,-14.716848721068374,2580,77
-2.0661743799734635,-2.147523712783526,-2.0644658260424,-2.1353255433151554,-2.5922044615820528,-2.413288489629081,-4.875424787695842,-3.967114276187683,-2.735150048553672,104031,65
-14.076597677591174,-14.254172550856582,-14.043217064314389,-14.23476755183066,-3.00623888656028,-3.0006186794391483,-10.394125179133944,-9.57997576993937,-13.8988596832988,2580,86
-2.2611148139149373,-2.5204508974640465,-2.2444036907913048,-2.4724072402027235,-2.7936002962067654,-2.735200571824179,-4.791285551291965,-3.665626992686697,-2.759071827430108,16384,45
-2.132203385511456,-2.312439027366476,-2.1252422874244075,-2.276973291329164,-2.7136476776489653,-2.565960070482773,-4.83090511347195,-3.856889826288845,-2.747290328951122,41285,52
-13.75400303392881,-13.952234406968676,-13.748500594464852,-13.94898435469596,-3.012524319104032,-3.0069373454103365,-9.308325223754446,-8.53898668713004,-13.64012913922508,2580,15
-9.414468948895056,-9.683733177188296,-9.45365651172598,-9.69953396181861,-3.136651729185713,-3.139684742708336,-4.02769476980868,-4.034963334406826,-9.294157877072912,161,48
-3.310892540072039,-3.546262031091648,-3.267785171535607,-3.4778930648925472,-2.9341940140943907,-2.9206219185587647,-5.059420120608359,-4.0606684570297,-3.505613546771727,6501,91
-18.084847738380383,-18.03842014920989,-18.102075671406,-18.06347036794831,-3.1437816593397563,-3.162660739213795,-5.171294535553045,-5.068000984414859,-17.668707266096618,161,32
-2.056114943300149,-2.0947348591092085,-2.0549334170644227,-2.087359515877476,-2.5356902414332243,-2.352388417346205,-4.849848169471606,-3.988445459691847,-2.738679561774724,262144,12
-2.122111448245285,-2.290837895993701,-2.111602809822284,-2.257199587603014,-2.6599062318004627,-2.5734370109461024,-4.84763979471839,-3.830532305066385,-2.7428753241996957,41285,35
-2.0523133130915494,-2.0895770608012776,-2.05115649005296,-2.082750895678307,-2.5150929924298704,-2.386203895007656,-4.880157408545469,-3.9842444813555775,-2.7385953338620967,262144,24
-2.2541188857530274,-2.516531752713112,-2.237148346774751,-2.4646059509002143,-2.756330218814554,-2.70515519526394,-4.830800283826396,-3.6773952394851137,-2.7514814943774493,16384,66
-2.233337088024913,-2.525861821823449,-2.220424501067696,-2.4704392631424423,-2.808365614357329,-2.714046959284887,-4.838692918860846,-3.6942385836792697,-2.754074035843128,16384,76
-2.2476260858182364,-2.502841721331368,-2.2297685527867586,-2.452593090491792,-2.759050907300788,-2.742334261838569,-4.793531505290294,-3.683596237566596,-2.7509072026820625,16384,72
-2.230487863454996,-2.496185245740651,-2.2163107070677275,-2.442121685751677,-2.8318295125482216,-2.7252416973495723,-4.788284972352361,-3.690230619747072,-2.7488685340028565,16384,61
-2.3141957851667536,-2.586787082681034,-2.2913530667730417,-2.517835070470204,-2.766589573831232,-2.7372717705754472,-4.79137709822484,-3.670194791974043,-2.7625391315939933,16384,78
-2.1439889139982595,-2.327224079539374,-2.134094508182612,-2.2876699922807595,-2.682890274825392,-2.5631381002044966,-4.8214971866575125,-3.822452862177428,-2.7457844351559983,41285,27
-5.621996536034327,-5.588861616446443,-5.625749391035594,-5.598439251317331,-3.170204603573445,-3.1503470602725563,-3.418963949652534,-3.4003648289367145,-5.492858172181469,161,12
