prop_ho_greater_std,prop_hol_greater_std,N,M,K1,K2,rep,model
0.38461538461538464,0.5384615384615384,1000,64,4,5,19,hol
0.25245901639344265,0.12786885245901639,1000,1521,6,7,2,ho
0.5517241379310345,0.20689655172413793,1000,141,12,13,36,ho
0.4482758620689655,0.3448275862068966,1000,141,6,7,12,ho
0.30434782608695654,0.07971014492753623,1000,689,8,9,28,ho
0.35737704918032787,0.43278688524590164,1000,1521,6,7,29,hol
0.35507246376811596,0.26811594202898553,1000,689,4,5,10,ho
0.3475409836065574,0.07213114754098361,1000,1521,10,11,19,ho
0.28852459016393445,0.16065573770491803,1000,1521,6,7,42,ho
0.3333333333333333,0.2536231884057971,1000,689,4,5,11,ho
0.38839285714285715,0.06696428571428571,1000,3360,12,13,26,ho
0.4126984126984127,0.15873015873015872,1000,312,12,13,5,ho
0.44186756179432407,0.21391516631065,1000,16384,8,9,18,ho
0.6923076923076923,0.6153846153846154,1000,64,6,7,21,hol
0.34375,0.36160714285714285,1000,3360,2,3,8,hol
0.5862068965517241,0.4482758620689655,1000,141,12,13,18,ho
0.3968253968253968,0.4603174603174603,1000,312,12,13,49,hol
0.25892857142857145,0.35714285714285715,1000,3360,12,13,7,hol
0.07692307692307693,0.07692307692307693,1000,64,2,3,20,hol
0.2693452380952381,0.34077380952380953,1000,3360,6,7,22,hol
0.23076923076923078,0.07692307692307693,1000,64,2,3,13,ho
0.41172506738544473,0.3921832884097035,1000,7419,2,3,0,ho
0.2725053402502289,0.40524870308208727,1000,16384,2,3,2,hol
0.32459016393442625,0.07213114754098361,1000,1521,10,11,2,ho
0.3968253968253968,0.4126984126984127,1000,312,10,11,24,hol
0.2196765498652291,0.36725067385444743,1000,7419,10,11,6,hol
0.38005390835579517,0.16981132075471697,1000,7419,8,9,15,ho
0.6153846153846154,0.46153846153846156,1000,64,8,9,46,ho
0.3793103448275862,0.3448275862068966,1000,141,6,7,42,ho
0.29508196721311475,0.38688524590163936,1000,1521,2,3,42,ho
0.3392857142857143,0.39285714285714285,1000,3360,2,3,33,ho
0.26078167115902967,0.38409703504043125,1000,7419,4,5,24,hol
0.4603174603174603,0.1746031746031746,1000,312,10,11,15,ho
0.2898550724637681,0.21739130434782608,1000,689,4,5,6,ho
0.5172413793103449,0.41379310344827586,1000,141,8,9,28,ho
0.22035040431266847,0.3376010781671159,1000,7419,8,9,40,hol
0.39855072463768115,0.09420289855072464,1000,689,12,13,28,ho
0.4150137320720171,0.24992371071101618,1000,16384,6,7,25,ho
0.32131147540983607,0.3639344262295082,1000,1521,6,7,41,hol
0.38095238095238093,0.5714285714285714,1000,312,10,11,4,hol
0.20689655172413793,0.06896551724137931,1000,141,2,3,27,ho
0.3194070080862534,0.38544474393531,1000,7419,2,3,27,hol
0.4444444444444444,0.5238095238095238,1000,312,12,13,2,hol
0.24056603773584906,0.36859838274932616,1000,7419,6,7,29,hol
0.23076923076923078,0.07692307692307693,1000,64,12,13,20,hol
0.41220238095238093,0.3586309523809524,1000,3360,2,3,26,hol
0.3540983606557377,0.10163934426229508,1000,1521,8,9,20,ho
0.34782608695652173,0.4420289855072464,1000,689,12,13,16,hol
0.46153846153846156,0.38461538461538464,1000,64,6,7,44,hol
0.34672619047619047,0.3586309523809524,1000,3360,2,3,36,ho
0.3344262295081967,0.3836065573770492,1000,1521,4,5,30,hol
0.27586206896551724,0.41379310344827586,1000,141,4,5,15,hol
0.3695652173913043,0.4420289855072464,1000,689,6,7,22,hol
0.25328043942630457,0.4192859322551114,1000,16384,4,5,49,hol
0.20018309429356118,0.4018919743667989,1000,16384,10,11,24,hol
0.23076923076923078,0.46153846153846156,1000,64,10,11,31,hol
0.4525480622520598,0.1724137931034483,1000,16384,10,11,46,ho
0.3477088948787062,0.14622641509433962,1000,7419,8,9,25,ho
0.4557377049180328,0.42950819672131146,1000,1521,2,3,36,hol
0.39285714285714285,0.16442048517520216,1000,7419,8,9,5,ho
0.5172413793103449,0.6896551724137931,1000,141,12,13,33,hol
0.38663411657003355,0.3790051876716509,1000,16384,2,3,5,ho
