std,stdl,ho,hol,point,spring_rank,N,M,K1,K2,rep
-11.947670052687473,-12.188246304229967,-11.456538980756854,-11.959020782551542,-93.29356601185395,-11.527246505349394,1000,64,8,9,5
-3.5040923508883237,-3.6636517689680606,-3.5342750444247204,-3.6769214313137946,-24.649940973938683,-3.621403755843367,1000,64,4,5,5
-16.286530104804676,-16.2816979875347,-15.895788214486986,-16.27751563660722,-115.89856392740447,-16.282621680868647,1000,64,10,11,3
-11.659977179346043,-12.967921149912547,-11.64733349923808,-12.444299992195257,-13.938752659833014,-13.431809405159374,1000,16384,10,11,9
-16.93354625594901,-16.55407603425094,-16.09272520286693,-16.46117281677144,-120.00870785155546,-16.191963675517037,1000,64,10,11,11
-1.352260470217146,-1.32859557651356,-1.3559781425615922,-1.3326977800090123,-3.480059357228045,-1.3561577777714753,1000,64,2,3,17
-16.817347664746862,-16.33379256337411,-15.506816727891207,-15.894874479835563,-96.45750492300265,-15.625999815387523,1000,64,10,11,7
-11.616467347936075,-11.409571939903707,-11.248401980607316,-11.3226549968242,-77.01342427740494,-11.048967139720089,1000,64,8,9,11
-1.2463779468903513,-1.2294415107408943,-1.246342431226848,-1.2296024871723386,-5.282468283235631,-1.2125262823037306,1000,64,2,3,16
-7.379383309660876,-7.416374124359148,-7.281547455069724,-7.429801211646356,-66.82385972570579,-7.326407582775818,1000,64,6,7,10
-3.4707629000089812,-3.559900448617863,-3.50878731066388,-3.5804420862144726,-22.582138096014912,-3.6561292033000115,1000,64,4,5,15
-9.966761429215964,-10.962302226794202,-9.959297063911285,-10.50472676727144,-12.008944901331466,-11.620603223284427,1000,16384,9,10,16
-1.2009206898546019,-1.1720209738055485,-1.2040981208799328,-1.1768674318211885,-6.906799700578402,-1.1587765734818873,1000,64,2,3,15
-11.600532730047302,-11.757306637087671,-11.481467618941272,-11.82067244588484,-67.85295463530414,-11.878278691174568,1000,64,8,9,10
-9.988369429876496,-10.937251914472876,-9.981252813030189,-10.510011472904981,-12.013024311981983,-11.607022014074193,1000,16384,9,10,12
-9.94054870944637,-10.943225064129015,-9.930174170994134,-10.493031786065199,-11.987910722559125,-11.665445445125547,1000,16384,9,10,3
-11.81777889091434,-13.10308672543971,-11.799377692454566,-12.53958399678963,-14.002010100406391,-13.561379973273858,1000,16384,10,11,4
-10.592044640713123,-11.007541025910248,-10.600875543835837,-11.055137694977388,-84.65680988181984,-10.844483579595533,1000,64,8,9,19
-11.785224709824504,-13.146975342138827,-11.775723111185986,-12.550406478064716,-13.997062324707125,-13.66341438175,1000,16384,10,11,7
-9.948884465028621,-10.886401552870744,-9.939289757048527,-10.471649225418911,-12.000235381073589,-11.6321135104446,1000,16384,9,10,15
-1.2511563527543064,-1.2551126188938813,-1.2507106672409738,-1.2555272279361818,-6.834491449939057,-1.2342156687596457,1000,64,2,3,9
-9.919394898728493,-10.83014619394728,-9.910294645255238,-10.445144071978888,-11.970166308204044,-11.578721085374973,1000,16384,9,10,4
-3.600577110326081,-3.4432264530624006,-3.60017764449779,-3.47346219440261,-12.082753679005013,-3.630810774419679,1000,64,4,5,13
-7.506296888123007,-7.516091635748266,-7.334739368358173,-7.464753272091145,-65.44358015601412,-7.31739619954009,1000,64,6,7,18
-1.111336592679082,-1.1017576098132638,-1.1134810017326306,-1.1045306219751139,-8.709208626585987,-1.069281996105452,1000,64,2,3,5
-17.445112246050243,-16.139131727502694,-16.396538048665533,-16.129885146058644,-109.59370653055096,-16.23693842693353,1000,64,10,11,17
-3.743864970608169,-3.8722962226595885,-3.7591703460702917,-3.8821120309867263,-17.285554877983405,-3.9078036049777762,1000,64,4,5,8
-11.773674957102237,-13.138991627295253,-11.766252520772788,-12.54833027087047,-13.999355350045949,-13.54943533381599,1000,16384,10,11,14
-11.72468179099846,-13.067956099237112,-11.714263548466594,-12.493724031881381,-13.960411894551,-13.65627187604203,1000,16384,10,11,12
