newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-0.13060348159291504,-0.036927244991890505,-0.14003165028218517,-0.24058158352900016,-0.10935781910007115,-1.1662898674725062,-0.8149141744432222,-0.39104223142013356,6,57
-0.16242426044516667,-0.0675915691140416,-0.20749535295697738,-0.3133253265774273,-0.1279281518632809,-0.9705607470070015,-0.657198304154644,-0.3597412382987208,8,100
-0.2882425916797402,-0.09851774552516039,-0.3696469056635126,-0.46947181277601474,-0.1661103534377151,-0.9934487305959073,-0.749384203841337,-0.507159361672988,12,57
-0.4194575411552546,-0.13947409856728607,-0.5039327498761076,-0.6401871151729011,-0.1942368514219709,-1.1772735632615998,-0.9449609320240293,-0.7098726250211573,18,22
-0.16689855434509293,-0.05926101223419512,-0.22974168313227109,-0.33094556720260515,-0.14080123398379338,-0.9583662814173624,-0.6636482326163913,-0.372924601589815,8,72
-0.23777107915234705,-0.07825268380093373,-0.3084301537861346,-0.40738337857204304,-0.1508256618517925,-0.9678645321936106,-0.703782554717588,-0.5177481983532357,10,61
-0.26366721000471877,-0.0766376537973684,-0.3435974769867551,-0.43067885543300066,-0.18534674019792488,-0.9552340910767407,-0.7176719497382853,-0.48475764287531115,12,56
2.7439752964264486e-10,5.498076773302607e-10,5.322448888012144e-10,-0.01976644983414631,-0.01976644983414631,-1.217000098011744,-1.217000098011744,-3.8176615692686946,2,3
-0.10537498567452766,-0.011839829002203203,-0.11297259710427407,-0.13888884035265445,-0.07070862698631938,-1.4101003603472064,-1.0798619511328507,-0.891444704413663,4,87
-0.18830831971485867,-0.06173554382498843,-0.24694253770793523,-0.3223863208339596,-0.13293920931148034,-0.8717486892173499,-0.6029839383174619,-0.37138429245381993,8,18
-0.2605796066860647,-0.06500537032668777,-0.34956244237681244,-0.48802285200564016,-0.22690623514342917,-1.0263546576980738,-0.7556502459499143,-0.4957784209349806,10,97
-0.12910255402727375,-0.04279771619825869,-0.14357676225782032,-0.24387010517306773,-0.10799835836053523,-1.1700523236297908,-0.7931228222721275,-0.6135947923871022,6,40
-0.2705475035455976,-0.10540715068770691,-0.35172909700174665,-0.4252091254018575,-0.14031609462106287,-0.9155547124474708,-0.6885875267143513,-0.4675027131234529,12,7
-0.07992258614169777,-0.018017424939519914,-0.07706931610611412,-0.13441958630413092,-0.0710326289892055,-1.5169195444425518,-1.1540300783589077,-0.8646161650758173,4,43
-0.2483650403004795,-0.08083174300786053,-0.3142317797566522,-0.4238137283404917,-0.14959277211196081,-0.9940923681738801,-0.7187423291030907,-0.46902728968825413,10,54
-1.4688623338476868e-10,-3.7370004067616146e-10,-1.5317678586646012e-10,-0.03657141873973457,-0.03657141873973457,-1.3007383658025784,-1.3007383658025784,-3.059831634854034,2,57
-6.72692267236763e-11,-1.207906637282208e-10,1.568602440299438e-10,-0.030208487266621523,-0.030208487266621523,-1.2920844645645488,-1.2920844645645488,-3.135445814393586,2,36
-0.3466779099051605,-0.1427886489099666,-0.4337627507326464,-0.47485701601989044,-0.12086894635302509,-0.8951220470802372,-0.7173565514585891,-0.5260804643796665,16,70
-0.2463966361612238,-0.07891020082708194,-0.2935889238814575,-0.38459082354893814,-0.13145788388587515,-0.8861568332837824,-0.637933711214373,-0.4362738212816201,10,42
-0.1943855192170005,-0.09665611823515079,-0.2703576776602264,-0.3911310055206642,-0.15234631539843008,-0.9886471841191417,-0.6807232707942923,-0.4214483053103731,10,16
-0.09358690900742431,-0.01260626180403689,-0.0963593647975698,-0.14647220342929865,-0.07908128054107727,-1.4083241412423717,-1.0646205368239925,-0.9022220370128348,4,68
-0.17534462579394533,-0.06389572668454277,-0.2258672872100557,-0.32482569327108357,-0.15150259634691202,-1.006864858595673,-0.6855439023997251,-0.4160812395149587,8,56
-0.4116605431179858,-0.0844641773270665,-0.5104269782165701,-0.5960541602406747,-0.1634315936085701,-1.1160681408185995,-0.8946869195103416,-0.6631448067784785,16,95
