newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
0.466,0.168,0.177,0.147,0.142,0.023,0.077,0.171,8,31
0.511,0.305,0.309,0.278,0.289,0.161,0.222,0.298,4,66
0.383,0.069,0.088,0.078,0.074,0.004,0.032,0.102,14,84
0.376,0.04,0.065,0.047,0.046,0.0,0.015,0.079,16,19
0.363,0.027,0.046,0.039,0.037,0.001,0.008,0.077,16,33
0.385,0.078,0.104,0.094,0.089,0.007,0.043,0.136,12,54
0.531,0.349,0.323,0.267,0.294,0.151,0.204,0.278,4,94
0.517,0.515,0.491,0.345,0.345,0.388,0.388,0.424,2,90
0.535,0.516,0.508,0.349,0.349,0.394,0.394,0.415,2,45
0.379,0.087,0.102,0.091,0.081,0.006,0.039,0.129,12,59
0.487,0.508,0.459,0.35,0.35,0.386,0.386,0.415,2,30
0.379,0.024,0.038,0.046,0.033,0.0,0.012,0.065,18,21
0.417,0.035,0.061,0.06,0.048,0.0,0.008,0.083,16,81
0.524,0.357,0.352,0.296,0.302,0.169,0.216,0.305,4,30
0.43,0.164,0.184,0.139,0.146,0.028,0.082,0.187,8,4
0.481,0.497,0.468,0.373,0.373,0.376,0.376,0.435,2,50
0.409,0.077,0.087,0.089,0.071,0.004,0.038,0.117,12,25
0.462,0.496,0.477,0.367,0.367,0.36,0.36,0.434,2,76
0.495,0.369,0.341,0.284,0.305,0.159,0.196,0.286,4,49
0.505,0.342,0.349,0.318,0.305,0.165,0.228,0.305,4,52
0.413,0.158,0.175,0.149,0.161,0.028,0.091,0.192,8,2
0.496,0.494,0.494,0.342,0.342,0.386,0.386,0.434,2,93
0.431,0.16,0.185,0.155,0.161,0.026,0.092,0.192,8,41
0.517,0.341,0.349,0.27,0.276,0.13,0.189,0.288,4,42
0.381,0.081,0.1,0.09,0.084,0.008,0.035,0.117,12,48
0.446,0.13,0.139,0.103,0.11,0.013,0.054,0.149,10,89
0.516,0.376,0.364,0.288,0.297,0.171,0.227,0.292,4,88
0.41,0.114,0.137,0.113,0.121,0.014,0.069,0.156,10,59
0.38,0.064,0.09,0.086,0.074,0.005,0.041,0.125,12,21
0.48,0.257,0.269,0.231,0.237,0.08,0.154,0.26,6,27
0.443,0.189,0.211,0.156,0.168,0.034,0.095,0.213,8,22
0.366,0.04,0.07,0.061,0.054,0.001,0.019,0.097,16,37
0.392,0.056,0.086,0.077,0.081,0.005,0.03,0.101,14,70
0.475,0.473,0.481,0.349,0.349,0.379,0.379,0.426,2,16
0.519,0.529,0.477,0.339,0.339,0.369,0.369,0.428,2,11
0.444,0.183,0.202,0.154,0.17,0.024,0.085,0.197,8,79
0.381,0.054,0.066,0.064,0.061,0.002,0.028,0.103,14,53
0.427,0.156,0.17,0.14,0.147,0.021,0.086,0.172,8,74
0.437,0.236,0.235,0.211,0.209,0.062,0.138,0.24,6,77
0.396,0.031,0.04,0.041,0.035,0.001,0.009,0.074,16,9
0.452,0.252,0.265,0.212,0.222,0.07,0.133,0.253,6,32
0.527,0.35,0.346,0.295,0.291,0.168,0.217,0.296,4,31
