HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-0.799227,-0.800815,-0.794024,-0.805622,00002,44
-0.075266,-0.075266,-0.075266,-0.075266,00009,7
-2.06592,-1.92935,-2.01991,-1.92932,00003,41
-2.05221,-1.97324,-2.02292,-1.98245,00004,17
-0.051404,-0.0514041,-0.051404,-0.051404,00009,1
-0.008218,-0.0109525,-0.00815101,-0.01085,00005,14
-2.06412,-1.99993,-2.03554,-2.01553,00004,3
-2.0868,-1.96154,-2.04362,-1.96157,00003,36
-0.0461639,-0.0461639,-0.0461639,-0.0461639,00009,44
-2.07307,-1.95684,-2.03135,-1.95682,00003,38
-2.09661,-1.96523,-2.05111,-1.96517,00003,0
-2.04516,-1.93203,-2.00842,-1.93656,00004,27
-0.033956,-0.033956,-0.033956,-0.033956,00009,25
-0.0495298,-0.0495298,-0.0495298,-0.0495298,00009,47
-0.800115,-0.829912,-0.804015,-0.849094,00002,15
-2.04724,-1.94837,-2.0123,-1.95284,00004,33
-2.00487,-1.64769,-1.84439,-1.53946,00010,40
-2.04746,-1.98505,-2.01881,-1.99382,00004,0
-2.09753,-1.95052,-2.04792,-1.95044,00003,32
-0.00821667,-0.0109525,-0.00815138,-0.01085,00005,12
-2.09035,-1.98258,-2.04931,-1.98256,00003,5
-2.05117,-1.95136,-2.01545,-1.95206,00004,5
-1.18729,-1.17575,-1.18537,-1.17659,00006,35
-2.04539,-1.93759,-2.00899,-1.94013,00004,12
-0.0631671,-0.0631671,-0.0631671,-0.0631671,00009,30
-0.770999,-0.782277,-0.761567,-0.784933,00001,19
-2.08324,-1.95533,-2.03905,-1.95529,00003,49
-1.08789,-0.597943,-0.975395,-0.571393,00008,41
-2.6651,-1.60478,-2.34236,-1.50256,00010,46
-0.813428,-0.810004,-0.811054,-0.817083,00002,1
-1.18625,-1.1745,-1.1844,-1.17532,00006,10
-0.0435419,-0.0435419,-0.0435419,-0.0435419,00009,35
-0.850867,-0.845281,-0.843545,-0.843964,00001,37
-1.21049,-1.19871,-1.20874,-1.19969,00006,43
-0.833875,-0.888748,-0.837668,-0.880506,00001,5
-2.09582,-1.96442,-2.05029,-1.9646,00003,39
-0.780131,-0.82147,-0.767377,-0.82319,00002,21
-0.00821642,-0.0109525,-0.00815129,-0.01085,00005,29
-0.00821714,-0.0109525,-0.00815401,-0.01085,00005,38
-2.0599,-1.94897,-2.02351,-1.95411,00004,22
-1.81306,-1.87824,-1.6953,-1.74003,00010,30
-2.06441,-1.97159,-2.03177,-1.97914,00004,35
-0.00821758,-0.0109525,-0.00815223,-0.01085,00005,47
-2.2652,-1.75901,-2.04909,-1.64408,00010,8
-2.33952,-1.89177,-2.11814,-1.75005,00010,12
-1.18432,-1.17428,-1.1824,-1.17463,00006,4
-2.2812,-1.52254,-2.0311,-1.42972,00010,0
-2.05332,-1.92024,-2.00949,-1.92027,00003,30
-0.917908,-0.966169,-0.930002,-0.983632,00001,49
-0.748044,-0.770966,-0.748505,-0.770069,00002,46
-0.0535724,-0.0535724,-0.0535724,-0.0535724,00009,29
-0.0448064,-0.0448064,-0.0448064,-0.0448064,00009,39
-2.04418,-1.94543,-2.01,-1.95174,00004,2
-0.00821546,-0.0109525,-0.00814962,-0.01085,00005,43
-0.0414887,-0.0414887,-0.0414887,-0.0414887,00009,15
-1.18629,-1.1799,-1.18456,-1.17932,00006,26
-2.08771,-1.95679,-2.04259,-1.95691,00003,46
-0.00821723,-0.0109525,-0.00815109,-0.01085,00005,49
-0.767228,-0.792749,-0.770381,-0.803535,00002,27
-0.885399,-0.429438,-0.782025,-0.399042,00008,11
-1.17772,-1.16945,-1.17614,-1.16963,00006,22
-0.0505379,-0.0505379,-0.0505379,-0.0505379,00009,2
-2.07785,-1.93783,-2.03227,-1.93785,00003,45
-0.859647,-0.565817,-0.807186,-0.549745,00008,27
-0.0545806,-0.0545806,-0.0545806,-0.0545806,00009,41
-1.19494,-1.18274,-1.1932,-1.18417,00006,19
-2.29694,-1.86427,-2.11652,-1.7384,00010,29
-2.07174,-1.96734,-2.03536,-1.97448,00004,10
-0.947083,-0.577843,-0.860893,-0.558341,00008,49
-0.0082175,-0.0109525,-0.00815139,-0.01085,00005,42
-2.07972,-1.92354,-2.02995,-1.92347,00003,31
-0.00821674,-0.0109525,-0.00815271,-0.01085,00005,27
-0.0396559,-0.0396559,-0.0396559,-0.0396559,00009,10
-1.29311,-0.767474,-1.19488,-0.743186,00008,13
-2.05064,-1.93962,-2.01465,-1.94435,00004,14
-2.05069,-1.99369,-2.0244,-1.99614,00004,30
-2.22556,-1.91654,-2.02691,-1.78159,00010,27
-0.00821673,-0.0109525,-0.00815061,-0.01085,00005,9
-2.04264,-1.94032,-2.0083,-1.94459,00004,16
-1.75589,-1.7259,-1.65908,-1.61095,00010,1
-2.25856,-1.62995,-2.03315,-1.52316,00010,36
-2.11388,-1.98693,-2.06769,-1.98691,00003,44
-0.852518,-0.873502,-0.858069,-0.880075,00002,41
-0.0461725,-0.0461725,-0.0461725,-0.0461725,00009,42
-0.0472261,-0.0472261,-0.0472261,-0.0472261,00009,33
-1.73309,-1.92085,-1.68465,-1.79056,00010,33
-2.05232,-1.97807,-2.02283,-1.98142,00004,47
-1.16648,-1.15908,-1.16455,-1.15842,00006,32
-0.00821714,-0.0109525,-0.00815151,-0.01085,00005,34
-0.810595,-0.822823,-0.810273,-0.824727,00001,40
-2.07092,-1.98212,-2.03898,-1.98851,00004,24
-2.08433,-1.96372,-2.04054,-1.96389,00003,4
-0.739098,-0.69761,-0.734708,-0.701214,00001,10
-0.863493,-0.85676,-0.872222,-0.873423,00001,18
-0.780733,-0.794163,-0.783654,-0.805398,00001,11
-0.041522,-0.041522,-0.041522,-0.041522,00009,48
-0.907088,-0.952487,-0.912845,-0.964352,00001,26
-0.0407406,-0.0407406,-0.0407406,-0.0407406,00009,45
-0.0559457,-0.0559457,-0.0559457,-0.0559457,00009,21
-0.812197,-0.825355,-0.801859,-0.834332,00002,16
-2.05151,-1.89679,-2.00221,-1.89664,00003,22
-0.758872,-0.759448,-0.760613,-0.7572,00001,15
-1.17744,-1.16685,-1.17579,-1.16756,00006,14
-1.1872,-1.17675,-1.18541,-1.17725,00006,17
-1.14254,-0.477224,-0.976771,-0.432555,00008,40
-1.17945,-1.1714,-1.1784,-1.17245,00006,1
-2.02443,-1.67685,-1.86658,-1.56848,00010,10
-1.35576,-0.757298,-1.2573,-0.735076,00008,42
-0.7644,-0.794273,-0.7585,-0.796848,00002,13
-0.00821739,-0.0109525,-0.00815221,-0.01085,00005,1
-2.10617,-1.96961,-2.06051,-1.96966,00003,3
-0.0580215,-0.0580215,-0.0580215,-0.0580215,00009,16
-0.808505,-0.813831,-0.808242,-0.813479,00002,11
-2.08493,-1.93943,-2.03884,-1.93936,00003,15
-0.954126,-0.950502,-0.959731,-0.948853,00001,0
-1.1964,-1.18491,-1.19457,-1.18567,00006,15
-0.0418866,-0.0418866,-0.0418866,-0.0418866,00009,27
-2.4444,-1.76041,-2.18389,-1.64451,00010,22
-2.03209,-1.92236,-1.99665,-1.92415,00004,43
-0.00821661,-0.0109525,-0.00815064,-0.01085,00005,20
-0.737098,-0.764144,-0.728913,-0.759725,00002,33
-0.849622,-0.860997,-0.847367,-0.86471,00001,16
-2.4462,-1.48427,-2.20086,-1.39612,00010,35
-1.20363,-1.19328,-1.20176,-1.19349,00006,13
-0.0693183,-0.0693183,-0.0693183,-0.0693183,00009,36
-0.0432061,-0.0432061,-0.0432061,-0.0432061,00009,18
-0.669097,-0.699708,-0.665028,-0.695718,00002,14
-0.785378,-0.799335,-0.788003,-0.80425,00002,35
-2.05674,-1.95418,-2.02354,-1.96193,00004,4
-0.0595238,-0.0595238,-0.0595238,-0.0595238,00009,9
-1.1923,-1.18068,-1.19023,-1.18121,00006,46
-1.182,-1.17421,-1.18028,-1.17432,00006,28
-0.00821686,-0.0109525,-0.00815089,-0.01085,00005,6
-2.04617,-1.95971,-2.01302,-1.97018,00004,37
-0.891062,-0.934134,-0.892541,-0.947929,00001,34
-1.17572,-1.16914,-1.17397,-1.16871,00006,16
-0.008217,-0.0109525,-0.00815288,-0.01085,00005,46
-0.908181,-0.452202,-0.788113,-0.416106,00008,12
-1.19149,-1.18398,-1.18966,-1.18369,00006,47
-0.00821781,-0.0109525,-0.00815185,-0.01085,00005,31
-2.62511,-1.5332,-2.29166,-1.43896,00010,45
-0.730096,-0.756566,-0.727051,-0.762933,00002,20
-0.0593476,-0.0593476,-0.0593476,-0.0593476,00009,31
-2.19011,-2.21056,-1.98268,-2.02672,00010,7
-0.795914,-0.804677,-0.796068,-0.807854,00002,25
-1.1792,-1.16933,-1.17713,-1.1694,00006,5
-2.06171,-1.94415,-2.02175,-1.94412,00003,37
-0.0372684,-0.0372684,-0.0372684,-0.0372684,00009,43
-0.00821712,-0.0109525,-0.00815201,-0.01085,00005,33
-0.0553554,-0.0553554,-0.0553554,-0.0553554,00009,8
-0.790225,-0.419555,-0.703568,-0.393982,00008,4
-2.05309,-1.64769,-1.87156,-1.53946,00010,24
-1.95461,-1.92959,-1.82807,-1.79329,00010,34
-2.05777,-1.93161,-2.01951,-1.9322,00004,18
-0.780187,-0.786228,-0.791858,-0.799582,00002,18
-0.0368191,-0.0368191,-0.0368191,-0.0368191,00009,13
-0.917476,-0.441311,-0.806374,-0.40586,00008,9
-0.00821681,-0.0109525,-0.00815049,-0.01085,00005,18
-2.95756,-2.21625,-2.60673,-2.39531,00010,23
-1.95291,-2.14994,-1.83504,-1.98268,00010,39
-0.761614,-0.768216,-0.763468,-0.772919,00002,42
-0.00821771,-0.0109525,-0.00815096,-0.01085,00005,45
-2.09085,-1.97432,-2.05042,-1.97444,00003,9
-0.0411398,-0.0411398,-0.0411398,-0.0411398,00009,5
-0.979056,-0.584221,-0.888719,-0.562729,00008,2
-2.09732,-1.96315,-2.05233,-1.96319,00003,13
-1.76591,-1.69177,-1.67874,-1.58243,00010,20
-0.00821672,-0.0109525,-0.00815092,-0.01085,00005,32
-1.19869,-1.19368,-1.19692,-1.19297,00006,41
-2.00363,-1.87316,-1.87769,-1.74544,00010,43
-2.61846,-1.88623,-2.31466,-1.75576,00010,16
-0.0555104,-0.0555104,-0.0555104,-0.0555104,00009,0
-0.0082168,-0.0109525,-0.00815178,-0.01085,00005,22
-0.964327,-0.43445,-0.838621,-0.400932,00008,1
-2.23226,-1.78051,-2.04073,-1.66335,00010,9
-2.09009,-1.97519,-2.04774,-1.97516,00003,24
-1.61499,-1.71366,-1.56532,-1.60333,00010,6
-2.04946,-1.9545,-2.01604,-1.95703,00004,32
-0.971506,-0.589803,-0.878796,-0.567502,00008,47
-1.17693,-1.16401,-1.17523,-1.16545,00006,42
-0.00821691,-0.0109525,-0.0081519,-0.01085,00005,13
-2.36668,-1.60039,-2.12101,-1.49851,00010,3
-0.00821725,-0.0109525,-0.00815085,-0.01085,00005,24
