newman,newman_leadership,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
2.330827659977053e-10,1.2296928881411206e-10,9.210670529752329e-11,-0.016076499872731666,-0.016076499872731666,-1.4654598372021792,-1.4654598372021792,-3.0220453174118624,2,8
-0.26462635632569037,-5.3962145543178215,-3.64536213707505,-3.7415134443305385,-4.124088343031926,-15.618350800960576,-6.310588790951443,-2.634081877367095,14,97
2.9400297242576646e-10,9.591703140077179e-12,2.9906080943609137e-10,-0.018630246511492202,-0.018630246511492202,-1.3337501034577177,-1.3337501034577177,-3.5199271310196165,2,29
7.482684398138484e-10,7.491478028337495e-10,2.906768100177648e-10,-0.006333337308022486,-0.006333337308022486,-1.4766560760997824,-1.4766560760997824,-3.124275567105555,2,14
-0.03951946491103734,-0.27097135861286603,-0.22042998638978434,-0.3218681054580448,-0.3469920269733129,-3.364594601994396,-2.326262202720072,-2.704851278294668,4,6
-0.26668734106151076,-7.028678741001591,-4.51391576019782,-4.8945029273172365,-5.097318025107578,-17.878411625780405,-7.537093141850505,-3.1778209487886167,16,26
-0.23155556331529145,-4.24590459412498,-2.8252576068161024,-3.13511539437232,-3.2622245202815976,-12.455199166275507,-5.121273043770166,-2.142525703969982,12,1
-0.03604242158680157,-0.23984347594601885,-0.19817912363898077,-0.3352828849555051,-0.36168664937448997,-3.215590896262375,-2.226574265324915,-2.2956692815857265,4,21
4.882207904066683e-10,5.621433733782322e-11,1.8256060665272632e-10,-0.02271754284125598,-0.02271754284125598,-1.1818044816248556,-1.1818044816248556,-3.2855762727387163,2,4
-0.11686670945597454,-1.8394624210126531,-1.3574099471590424,-1.642395763044122,-1.6602905441634939,-7.33050658312739,-3.218459237826846,-1.402656310542617,8,60
-0.20636517809628363,-4.2338079029939655,-2.8536392483416253,-2.969796395049029,-3.299545186031107,-12.464362989867896,-5.116502552495603,-2.0808880941214993,12,11
-0.19502568786195632,-2.9369188985396577,-2.059775973125732,-2.095466767645376,-2.4611647633883553,-9.856089753569728,-3.971648339529083,-1.5933810201948038,10,58
2.2569760547985762e-10,2.9571734865008195e-10,5.368652437193199e-10,-0.016224473805979456,-0.016224473805979456,-1.525140481130284,-1.525140481130284,-3.6198562885575027,2,15
-0.16575027843181173,-3.065956681633541,-2.2195125070164368,-2.649683640963456,-2.537366259488407,-9.840377078532816,-4.026975416663984,-1.6329443297345128,10,71
-0.23216587791917026,-4.335147830915624,-2.9353076769941118,-3.0476609742856797,-3.341908520085529,-12.85515983461404,-5.214744259853636,-2.153906550624012,12,26
-0.22895540219682625,-7.8049101722764505,-5.034265125381591,-4.885984474735849,-5.712605245126201,-20.844453800334254,-8.728706054861496,-3.6485260042201926,18,84
-0.03627241003215458,-0.2595531398584569,-0.20244590443108854,-0.3829021958766289,-0.35764003290442337,-3.561728044504549,-2.606149327983854,-2.469655705168622,4,89
-0.10523478092275912,-0.8922653582036987,-0.6949667116266975,-0.9334298665701563,-0.8947445605514238,-5.113992107002912,-2.5930605350555296,-1.5278257448678383,6,62
-0.25411753937288095,-5.524632098586506,-3.6670909086531833,-3.5751560226937245,-4.140321931472985,-15.54229479064893,-6.263769322685381,-2.580917744932878,14,27
-0.055190684340848305,-0.316685759427628,-0.24633876362587825,-0.34116675437875926,-0.31997476340591025,-3.5146912321705797,-2.4684775124347014,-2.677095401417264,4,51
-0.24804012388402727,-7.183218154594248,-4.51956995488326,-4.484294693570519,-4.997106779696246,-17.624047572296586,-7.454007214816813,-3.116429933808548,16,44
-0.03167526597300343,-0.30070331059903993,-0.25628669037702284,-0.42635194699966694,-0.3744281049307159,-3.6336837441728336,-2.5779882450886507,-2.5144541082759617,4,22
-0.29368014988164454,-6.886965583747748,-4.387626559843905,-4.514734908434364,-5.066687349160871,-18.04349066283311,-7.464883914082666,-3.1194590677724765,16,59
-0.1867957314094233,-1.8910086319998172,-1.4080084003137463,-1.7715773670706685,-1.6813558733939857,-7.355218521639252,-3.173540557066554,-1.3290660002838564,8,34
-0.33089198408158915,-6.803382516171221,-4.32828122262716,-4.183598821256279,-4.812945333311376,-18.215536375365016,-7.4025412615236235,-3.0527954057201137,16,36
-0.18897865223190205,-2.0861555096524653,-1.4740972412432543,-1.5496882141748678,-1.6776147157617207,-7.36143135368022,-3.1707338072359357,-1.5862157135645012,8,58
-0.27069857777646494,-5.4840694063636946,-3.6539794649421555,-3.5364360411057856,-4.198330617117204,-15.137359656227188,-6.407778635029889,-2.76461764538455,14,28
