newman,newman_leadership,higher_order_newman,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,M,rep
-0.07359329219830192,-0.012080903095357842,-0.05544589392341525,-0.07944779371555462,-0.06872030750254411,-3.1035498054994974,-2.8307889594302678,-4.422762041864778,2580,86
-0.07525764923972104,-0.013770492473415143,-0.10655812357330796,-0.22698801258589987,-0.15279899921724857,-0.8404301789687586,-0.6650169312392584,-0.2765872345568493,16384,45
-0.09825644698675003,-0.006011780706897137,-0.13415732051961893,-0.24840489220103595,-0.19660118117123357,-0.8694092937405886,-0.8539936049866322,-0.3577538725224166,41285,52
-0.07920626823681141,-0.00884652422529578,-0.06374123187078769,-0.06949743899412278,-0.042844310392058306,-3.0482833180624285,-2.7329530292007593,-3.797719471579663,2580,15
0.009700939848699776,0.0019504601325767584,0.007409834553249051,-0.006864963982554765,-0.013296856077247732,-0.6821980401650203,-0.6362920023868192,-5.468082882197639,161,48
-0.109635405478286,-0.021174610350899202,-0.1141794908130851,-0.162823102151305,-0.087650839792105,-1.0444595293069925,-0.7331781012957005,-0.352010117766567,6501,91
0.004128981769961302,0.0043612925186733735,-0.0001352859937929235,-0.014622694075151219,0.0066669299085000645,-0.4872304349126684,-0.46513818216845165,-4.724543848005322,161,32
-0.11755745980878442,-0.0011072274569005106,-0.15074351845513403,-0.17469547682274747,-0.13509101564746767,-0.8727266622874177,-0.977471708349168,-0.400228358191986,262144,12
-0.10434843171531402,-0.006983460535684064,-0.14092551100883852,-0.24798940673828884,-0.17496245793276466,-0.8695121136702395,-0.8638113375272131,-0.3666316337315794,41285,35
-0.11975854641563874,-0.0007346949966879387,-0.15316347345876752,-0.18105555673860102,-0.14356626492663618,-0.9031062571143323,-1.0133538545472713,-0.41240321561905724,262144,24
-0.07653400747215813,-0.015438212569512853,-0.10956861182943856,-0.23529884050291847,-0.1581060434400925,-0.821828502590558,-0.6725222054194561,-0.28101559439765506,16384,66
-0.08228272504978378,-0.00981854345525685,-0.1134970104105341,-0.23019295767494516,-0.1937719875349652,-0.8504343985511753,-0.6711525630506965,-0.28986508369460734,16384,76
-0.07008020777155011,-0.01868812791293316,-0.10121929782107869,-0.20025456919007223,-0.13580131280370916,-0.7686054221425394,-0.6355881064447827,-0.2518954617153236,16384,72
-0.07519293379566468,-0.016038020259863662,-0.10708268869874295,-0.23812626934767342,-0.16341509449691352,-0.8213142007420363,-0.6694078518657389,-0.2761852203708485,16384,61
-0.08526943766190657,-0.011932022594559676,-0.12153233600313795,-0.22387209059752783,-0.1608072980778901,-0.8325577012796378,-0.687805202166984,-0.2893768490100345,16384,78
-0.09301407906711381,-0.008429009809518379,-0.12814465976843248,-0.24429233029195543,-0.14437539119501216,-0.8276534203525373,-0.8336757635887316,-0.34261206050877613,41285,27
-0.008306273314447598,0.00853039960602306,-0.013310733831068181,-0.03446445988685671,0.020306043998146537,-0.767880266473676,-0.7103734451791714,-4.852680788021642,161,12
-0.11122933354279044,-0.002981895834552391,-0.14531274028721156,-0.20984736711695637,-0.14036863611557018,-0.8730259066564228,-0.9510093498318465,-0.3881925467297953,104031,14
-0.11938727328905296,-0.0073588065554385,-0.09810598378559511,-0.09420224627474726,-0.045019267865728775,-3.0072636372151225,-2.740226074869991,-4.29433990072842,2580,65
-0.0947287203678803,-0.00679626444204197,-0.12870125627696938,-0.23926224672663282,-0.17322806950677305,-0.8830939848641886,-0.8790071465950023,-0.36445990712723586,41285,39
-0.11192390884849476,-0.009843822944336455,-0.12333791974827438,-0.17768197922995244,-0.11019015314629522,-1.0410591835492098,-0.7536308323920874,-0.492389954047,6501,37
-0.09278368755816409,-0.008364491316111155,-0.12629892528142822,-0.24205700873816044,-0.14632177168548705,-0.8398781110725578,-0.8298368826367736,-0.34115342666008297,41285,97
-0.035768895199343044,0.0017119605021363486,-0.027617376645019436,-0.042592238884033295,-0.03546546566845619,-3.4099977495341753,-3.261115040513541,-8.107996134967376,1024,60
-0.07620782464963177,-0.023594095638134114,-0.08359790581656701,-0.1398949998557106,-0.07677821657327391,-1.0307287626017605,-0.7064918670075482,-0.5124324980365659,6501,18
