newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,K,rep
-1.2509708897784428,-1.1712259094718465,-1.245521934757598,-1.1559520725012293,-1.2919403665637736,-1.234533872601401,-2.6705088645876307,-2.3494370465761976,-2.342937316139812,4,18
-1.9270527151636403,-1.8338329321371294,-1.9924856019337747,-1.7495346940371155,-2.1192371294152452,-1.9106056202462969,-2.7025912318008696,-2.4070922911945525,-2.155142937205517,10,17
-2.323963246604869,-2.060739156520101,-2.419611738411207,-1.9559240215321003,-2.529452818493622,-2.1297182573634688,-3.094123383406405,-2.8569046253065444,-2.61279225199691,16,71
-2.347176729519918,-2.047132155030209,-2.4496977706857006,-1.949369630817716,-2.5449804269663727,-2.1213229752751857,-3.093168335893235,-2.861405036993987,-2.6157112503503193,16,55
-0.619791813331639,-0.6197918131400422,-0.6197918133667119,-0.6197918136923226,-0.6414964461923799,-0.6414964461923799,-1.936996641868992,-1.936996641868992,-4.234610269379328,2,25
-1.2436142464220794,-1.160009564840377,-1.24789648694025,-1.1506267978407676,-1.2869126549537069,-1.2449155696061927,-2.644607217966197,-2.3095749435768975,-1.981932846236913,4,74
-1.9676738176886996,-1.8556267793226575,-2.0247581500727074,-1.7728546545887653,-2.1159820468170762,-1.9058980073236542,-2.662473123408122,-2.40449616842463,-2.1626353879718576,10,88
-1.5530029175533941,-1.4280221029292046,-1.5746191296529763,-1.3938108577265507,-1.6471166027369961,-1.5452705841292997,-2.488930434763813,-2.1354884659629962,-1.7035385367826084,6,22
-2.453191193596373,-2.1742762030778215,-2.5457743885200483,-2.0389177861971004,-2.665310065649864,-2.2210411406639867,-3.229326256816599,-2.9742009607300837,-2.7355670282705677,18,46
-1.8262480629376983,-1.7176455848032188,-1.8677939819051157,-1.6563665592882424,-1.9435654931924595,-1.7560013394658212,-2.552564330517386,-2.2716484650955273,-2.01660205562664,8,13
-1.767411338812254,-1.6277801479047356,-1.8142364237853763,-1.5772407548155394,-1.9196732301773773,-1.737878648087045,-2.5421753378484673,-2.2383206639491373,-1.940835737843648,8,39
-1.2346800986861044,-1.1917922573538704,-1.2306469959358761,-1.1706048637051303,-1.2940599562793496,-1.2334203442749772,-2.6730434764041835,-2.304951651897148,-1.9994790671871117,4,39
-1.5207965752154256,-1.3835886809938125,-1.5655571416902099,-1.35871122375361,-1.6580152296255732,-1.51450776144274,-2.388467685874132,-2.058880129455252,-1.9203019790603626,6,3
-1.7862115979992987,-1.6673486030412714,-1.835051263700868,-1.6005804333752953,-1.9230927386590355,-1.7095154090264628,-2.551193055117004,-2.2557009461850037,-2.004917566477832,8,55
-1.5524541667475131,-1.4529652821264827,-1.5780146917096536,-1.4200737574259086,-1.6642038366894953,-1.5377045340109916,-2.5385911597281785,-2.1809456627619364,-1.831571291609842,6,58
-2.3583252522535605,-2.106352332943424,-2.4412681572049832,-1.9923586548967036,-2.540757116662234,-2.187886715355963,-3.0898265971287375,-2.8515709241636915,-2.6183522909053365,16,7
-1.9521419106837543,-1.7890520902193672,-2.0254357861076207,-1.7156154052068429,-2.1331398509114976,-1.8894874562053219,-2.691114978656714,-2.417927802109828,-2.1551297102363365,10,96
-2.461697878587399,-2.1896387364227996,-2.559524095445259,-2.053526884630787,-2.6838097193284773,-2.2306215579475137,-3.1895427052008785,-2.972599826827406,-2.739973412737363,18,27
-2.488695138963637,-2.1468879359933646,-2.58712397379412,-2.027453309282045,-2.6757453536241265,-2.2376759013735126,-3.17877411841759,-2.974241117082596,-2.7422544788659735,18,69
-1.577972764739622,-1.5101700996579557,-1.5905342695329132,-1.4583355491456536,-1.662779813150979,-1.5564793193384143,-2.51154686609286,-2.1474592359480313,-1.8471389005859526,6,20
-1.5836310219968308,-1.4714902919169799,-1.6119167213888907,-1.4324360428647656,-1.6740228023308528,-1.5487958484109874,-2.463613686984648,-2.1374874760474905,-1.816329615640513,6,48
-2.351803678283791,-2.1086382796472045,-2.4341897026282977,-2.0017475961689617,-2.556183230942348,-2.149212970872415,-3.1062145842812314,-2.8560722417091293,-2.6181588622147625,16,96
-1.5514834562780209,-1.4430074864251825,-1.5795854762581918,-1.4081033242082541,-1.6642281965649084,-1.5200310111580482,-2.5340986691400214,-2.2069400864615116,-1.7681956646159207,6,59
-1.5449157275134877,-1.4518953493081972,-1.5785480105055703,-1.4124632387163256,-1.6668220241972522,-1.5286417861031736,-2.4577063002559845,-2.1191730387134666,-1.812449514684172,6,11
-0.6332305640878685,-0.6332305642430224,-0.6332305645941295,-0.6332305642229137,-0.6542423181502989,-0.6542423181502989,-1.813669243380386,-1.813669243380386,-3.5832573076756926,2,41
-1.555263483795106,-1.4503179756340943,-1.5732028761496504,-1.4197264467278097,-1.6794934943641902,-1.5478299641366384,-2.572414388458953,-2.2304834983459334,-1.865355259097705,6,90
-2.369572696355381,-2.084475059017155,-2.4597731402074534,-1.9852711105524834,-2.5668883799580335,-2.160642263068681,-3.0899968837349108,-2.858621856037563,-2.6237882521740237,16,17
-2.5019643482022347,-2.185932196188223,-2.5936549862701277,-2.074679274134256,-2.689768531232993,-2.213251510583401,-3.1796775806461373,-2.970453664897844,-2.748884016445385,18,96
-1.233871246573261,-1.1441275151986192,-1.2342077102846807,-1.1324976001567237,-1.2772984764935504,-1.2160589559345005,-2.5901656373598607,-2.2283671585699114,-2.1462308529758856,4,20
-2.365751716356037,-2.132730391447095,-2.4533879901891713,-1.9907677029363984,-2.558745757197262,-2.225375767087417,-3.125364202875987,-2.891877081620915,-2.625175651426557,16,76
-2.4154725601718536,-2.2311315017230866,-2.498590973811599,-2.068194323854083,-2.5844048029858273,-2.1917481745126906,-3.049457467082213,-2.849080445585941,-2.638755446817773,16,84
-2.2444179670369406,-2.061220634201131,-2.319605553841215,-1.9407902937111,-2.4578568656728312,-2.082371038281117,-2.9695590927858713,-2.72891893244737,-2.4940922672577535,14,64
-1.732648531926603,-1.604248963864129,-1.7819285539171958,-1.5553578913395059,-1.8967024107344046,-1.7073039821382894,-2.528419651722088,-2.2286063412070054,-1.973702211013639,8,77
-1.7863075855445258,-1.649307569464947,-1.8464356257617116,-1.5964888869058205,-1.9203302465842318,-1.7436555588912348,-2.532383090683776,-2.260939646195999,-2.060339196346498,8,59
-2.096060955563752,-1.868145434884882,-2.181876179687999,-1.800667770357019,-2.2848489588992695,-1.9887116456763274,-2.8443494307766337,-2.5838154641053905,-2.331447043673849,12,88
-1.501527084938403,-1.3904308750288046,-1.5385022073486674,-1.368489589307823,-1.6416870986681766,-1.493626302397253,-2.546960178841087,-2.194287221792375,-1.845649711279235,6,72
-1.5484146452542782,-1.4547384086532538,-1.5578428139435487,-1.4178111636613635,-1.6583927471903634,-1.5271689827614345,-2.5841010311338697,-2.2327253381045855,-1.8088533950814971,6,57
-1.7703878534275217,-1.6755551620963969,-1.8154589459393324,-1.607963592982355,-1.9212889195597824,-1.7358917448456361,-2.578524339989357,-2.2651618971369993,-1.9677048312810757,8,100
-2.118439315731146,-1.9287144695765663,-2.199843629714919,-1.830196724051406,-2.2996685368274212,-1.9963070774891212,-2.823645454647313,-2.579580927892743,-2.3373560857243936,12,57
-2.4432280702792446,-2.163244627691276,-2.5277032790000975,-2.0237705291239902,-2.663957644296891,-2.2180073805459606,-3.20104409238559,-2.96873146114802,-2.7336431541451476,18,22
-1.7544105746708576,-1.6467730325599599,-1.8172537034580356,-1.5875120203257647,-1.9184575875283698,-1.728313254309558,-2.545878301743127,-2.251160252942156,-1.9604366219155798,8,72
-1.9474748136239515,-1.787956418272538,-2.018133888257739,-1.7097037344716046,-2.117087113043647,-1.860529396323397,-2.677568266665215,-2.4134862891891924,-2.2274519328248403,10,61
-2.1231156413613563,-1.936086085154006,-2.2030459083433924,-1.8594484313566377,-2.2901272867896383,-2.0447951715545623,-2.814682522433378,-2.5771203810949226,-2.344206074231949,12,56
-0.6310515381422154,-0.6310515378668052,-0.6310515378843681,-0.6310515384166129,-0.6508179882507593,-0.6508179882507593,-1.848051636428357,-1.848051636428357,-4.448713107685308,2,3
-1.277714644721315,-1.1841794880489906,-1.2853122561510615,-1.1723396590467874,-1.3112284993994419,-1.2430482860331067,-2.5824400193939936,-2.2522016101796383,-2.0637843634604507,4,87
-1.7883244259900455,-1.6617516501001752,-1.8469586439831223,-1.6000161062751868,-1.9224024271091467,-1.732955315586667,-2.4717647954925366,-2.203000044592649,-1.9714003987290067,8,18
-1.9150586804738654,-1.7194844441144885,-2.0040415161646132,-1.6544790737878006,-2.142501925793441,-1.88138530893123,-2.6808337314858743,-2.4101293197377154,-2.1502574947227813,10,97
-1.547212992164223,-1.460908154335208,-1.56168720039477,-1.4181104381369496,-1.6619805433100172,-1.5261087964974849,-2.58816276176674,-2.211233260409077,-2.031705230524052,6,40
