HO_BT,HOL_BT,BIN,BINL,dataset,epoch
-1.36442,-1.40608,-1.36507,-1.41213,00002,4
-14.1399,-15.3358,-14.1535,-15.3499,00003,27
-14.1942,-15.5479,-14.251,-15.5614,00003,2
-1.52472,-1.55544,-1.54301,-1.5758,00001,8
-3.05813,-3.09921,-3.05913,-3.0883,00006,38
-3.05872,-3.07912,-3.05804,-3.07215,00006,8
-1.14819,-1.15943,-1.15682,-1.17074,00001,45
-14.1578,-15.1808,-14.1831,-15.3808,00004,40
-0.0743928,-0.0743927,-0.0743928,-0.0743928,00009,20
-3.27276,-4.14014,-3.16049,-4.51206,00008,34
-1.34821,-1.36312,-1.35245,-1.38088,00001,38
-3.14613,-3.18316,-3.14762,-3.17381,00006,23
-1.44454,-1.48382,-1.45471,-1.49996,00001,42
-14.2385,-15.4291,-14.2771,-15.8446,00004,39
-1.3602,-1.39737,-1.38628,-1.45236,00002,26
-5.7217,-6.57515,-5.74646,-6.57482,00005,2
-14.1504,-15.167,-14.1712,-15.4258,00004,26
-14.2938,-15.3894,-14.3403,-15.6355,00004,48
-3.70519,-6.28546,-3.61936,-6.9869,00008,0
-1.42348,-1.49852,-1.43567,-1.50183,00001,25
-0.0648544,-0.0648544,-0.0648544,-0.0648544,00009,49
-14.2277,-15.5443,-14.2758,-15.5577,00003,43
-1.49961,-1.46273,-1.48479,-1.46178,00001,29
-1.32359,-1.33087,-1.32161,-1.34655,00002,44
-0.075266,-0.075266,-0.075266,-0.075266,00009,7
-14.2044,-15.5056,-14.2302,-15.5205,00003,41
-14.2187,-15.388,-14.2625,-15.6821,00004,17
-0.051404,-0.0514041,-0.051404,-0.051404,00009,1
-5.76719,-6.58587,-5.79749,-6.58561,00005,14
-14.2687,-15.4361,-14.3077,-15.7581,00004,3
-14.2619,-15.6028,-14.2999,-15.6179,00003,36
-0.0461639,-0.0461639,-0.0461639,-0.0461639,00009,44
-14.3069,-15.8655,-14.3928,-15.8808,00003,38
-14.2672,-15.634,-14.3206,-15.647,00003,0
-14.2213,-15.3035,-14.2555,-15.5484,00004,27
-0.033956,-0.033956,-0.033956,-0.033956,00009,25
-0.0495298,-0.0495298,-0.0495298,-0.0495298,00009,47
-1.47738,-1.54305,-1.50059,-1.59119,00002,15
-14.1889,-15.2544,-14.2173,-15.5151,00004,33
-36.1645,-45.9633,-37.1602,-51.8281,00010,40
-14.275,-15.5634,-14.3412,-15.8451,00004,0
-14.2593,-15.5827,-14.3046,-15.5964,00003,32
-5.7849,-6.57246,-5.77529,-6.57205,00005,12
-14.2753,-15.7602,-14.3372,-15.7746,00003,5
-14.1783,-15.2325,-14.2114,-15.4391,00004,5
-3.12007,-3.14576,-3.12071,-3.13938,00006,35
-14.1728,-15.1744,-14.1956,-15.4385,00004,12
-0.0631671,-0.0631671,-0.0631671,-0.0631671,00009,30
-1.49214,-1.46079,-1.51097,-1.49332,00001,19
-14.2467,-15.5585,-14.2847,-15.5722,00003,49
-3.0327,-4.07069,-3.09387,-4.462,00008,41
-36.5614,-44.2294,-37.4118,-49.7775,00010,46
-1.43259,-1.44955,-1.43641,-1.48638,00002,1
-3.11651,-3.14556,-3.11694,-3.13708,00006,10
-0.0435419,-0.0435419,-0.0435419,-0.0435419,00009,35
-1.50178,-1.48186,-1.52579,-1.52213,00001,37
-3.18673,-3.21608,-3.18708,-3.20808,00006,43
-1.28397,-1.36106,-1.28405,-1.36618,00001,5
-14.2504,-15.7274,-14.2977,-15.7463,00003,39
-1.32399,-1.34676,-1.33041,-1.36059,00002,21
-5.76315,-6.58237,-5.74164,-6.58203,00005,29
-6.17671,-6.62787,-6.27879,-6.62797,00005,38
-14.2485,-15.2711,-14.2951,-15.5594,00004,22
-35.2991,-43.9959,-35.6432,-48.3724,00010,30
-14.2881,-15.5468,-14.3448,-15.9,00004,35
-5.98636,-6.5889,-6.07324,-6.58869,00005,47
-38.508,-45.2607,-39.5901,-51.297,00010,8
-34.7464,-41.8507,-34.4405,-44.3087,00010,12
-3.10052,-3.13306,-3.10084,-3.12397,00006,4
-37.5854,-44.9776,-39.1239,-51.1863,00010,0
-14.245,-15.7237,-14.3142,-15.7403,00003,30
-1.4883,-1.57438,-1.50732,-1.60175,00001,49
-1.37254,-1.42505,-1.3869,-1.44019,00002,46
-0.0535724,-0.0535724,-0.0535724,-0.0535724,00009,29
-0.0448064,-0.0448064,-0.0448064,-0.0448064,00009,39
-14.1957,-15.2333,-14.2201,-15.4986,00004,2
-5.56881,-6.55403,-5.45529,-6.55343,00005,43
-0.0414887,-0.0414887,-0.0414887,-0.0414887,00009,15
-3.12367,-3.16598,-3.12517,-3.15568,00006,26
-14.2474,-15.7523,-14.3088,-15.7708,00003,46
-5.7084,-6.59759,-5.79029,-6.59752,00005,49
-1.30055,-1.36293,-1.31495,-1.37969,00002,27
-2.64549,-2.97087,-2.69768,-3.27469,00008,11
-3.0794,-3.11223,-3.07989,-3.10298,00006,22
-0.0505379,-0.0505379,-0.0505379,-0.0505379,00009,2
-14.2481,-15.5857,-14.2844,-15.6012,00003,45
-1.86423,-2.8434,-1.83209,-3.15845,00008,27
-0.0545806,-0.0545806,-0.0545806,-0.0545806,00009,41
-3.14782,-3.17739,-3.14859,-3.17,00006,19
-38.5824,-46.3654,-39.1279,-51.5411,00010,29
-14.2753,-15.3631,-14.3017,-15.6958,00004,10
-2.72401,-4.57877,-2.62772,-5.09848,00008,49
-5.8627,-6.60232,-5.86896,-6.60217,00005,42
-14.1986,-15.4694,-14.2337,-15.4827,00003,31
-5.92276,-6.58325,-6.03651,-6.58306,00005,27
-0.0396559,-0.0396559,-0.0396559,-0.0396559,00009,10
-3.66163,-5.63527,-3.63566,-6.21181,00008,13
-14.2683,-15.2607,-14.2984,-15.4705,00004,14
-14.247,-15.4421,-14.3064,-15.6898,00004,30
-38.2874,-44.8121,-38.1219,-49.2728,00010,27
-5.8,-6.56682,-5.80345,-6.56641,00005,9
-14.2045,-15.198,-14.2215,-15.433,00004,16
-35.8028,-44.9359,-36.0698,-49.8538,00010,1
-36.3994,-43.6558,-37.0452,-48.3486,00010,36
-14.2098,-15.6078,-14.2529,-15.6224,00003,44
-1.37869,-1.40814,-1.37921,-1.39282,00002,41
-0.0461725,-0.0461725,-0.0461725,-0.0461725,00009,42
-0.0472261,-0.0472261,-0.0472261,-0.0472261,00009,33
-37.5494,-46.1729,-38.8087,-52.0758,00010,33
-14.2225,-15.3788,-14.2696,-15.6216,00004,47
-3.06749,-3.09976,-3.06805,-3.09092,00006,32
-5.94836,-6.5952,-5.94507,-6.59497,00005,34
-1.34445,-1.39495,-1.34386,-1.41487,00001,40
-14.2222,-15.2668,-14.2532,-15.5839,00004,24
-14.2506,-15.7228,-14.2958,-15.7411,00003,4
-1.2519,-1.20526,-1.24191,-1.21606,00001,10
-1.60333,-1.54511,-1.63033,-1.60207,00001,18
-1.39654,-1.4002,-1.41348,-1.42664,00001,11
-0.041522,-0.041522,-0.041522,-0.041522,00009,48
-1.5854,-1.63175,-1.59983,-1.67131,00001,26
