newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,train,rep
-5.10789808402863,-5.800997583061571,-5.042731016886271,-5.296349837933023,-4.742076563988297,-4.751089259643077,-5.438158550108591,-5.104964547828795,-4.800926868620749,0.020892961308540396,65
-4.939179892782453,-5.647614656217644,-4.884349285334223,-5.1423308983171,-4.73206243303104,-4.732353530934908,-5.416619402563376,-5.048619700446519,-4.701101814697511,0.020892961308540396,40
-5.037923714328984,-5.722428682010252,-4.982912785198144,-5.218175329525388,-4.735365170891241,-4.710472472869158,-5.4186307424895,-5.078737870257781,-4.7667995517182415,0.07585775750291836,71
-4.979222207832017,-5.679571292348114,-4.914811749894536,-5.184124037359512,-4.701403871507491,-4.755978679680471,-5.468928200957207,-5.086673616914312,-4.724946090533158,0.01,87
-4.950978529684083,-5.655074520307722,-4.895771863848125,-5.166169610985782,-4.729234499703418,-4.721946283211498,-5.438466867938574,-5.061066224224864,-4.710707715660747,0.06309573444801933,21
-4.981120648316631,-5.629658552412013,-4.935769965107108,-5.141908724673203,-4.725285150767147,-4.692542482574176,-5.454283372183935,-5.065386861112978,-4.74339284471206,0.1096478196143185,202
-5.049126224980381,-5.737398619069936,-4.982445925768994,-5.228979771725533,-4.755949129930494,-4.745437019996105,-5.425228178550329,-5.053965900495548,-4.7301044048765934,0.025118864315095794,201
-4.927625153440398,-5.565201854792123,-4.874021438994425,-5.0723951248034576,-4.721333223742722,-4.68891127089067,-5.439138080520878,-5.055271054271159,-4.730803124751603,0.3311311214825911,43
-4.949929567230601,-5.63673944746805,-4.901355384889988,-5.144526417695861,-4.719847582015643,-4.689290689290735,-5.424817530816756,-5.072230360377116,-4.7185221040057215,0.1096478196143185,25
-5.03269717722044,-5.70924803011327,-4.982373492547222,-5.189609933210352,-4.723621604619978,-4.712688572574633,-5.391259124146355,-5.059062254550443,-4.719399225940131,0.07585775750291836,134
-5.028192886500632,-5.758470351199998,-4.96139757642104,-5.245652978827712,-4.735144093267463,-4.750102725235828,-5.435471816468723,-5.061095444560994,-4.727147768745279,0.03630780547701014,29
-4.910391014203037,-5.588068545140946,-4.871148877522965,-5.105755091681825,-4.691740884792394,-4.660309195994751,-5.472628139827738,-5.058885285036707,-4.704389194342889,0.6918309709189366,228
-5.031377180262442,-5.741853294865811,-4.971193732034022,-5.22407620836595,-4.726320124907901,-4.727118249136807,-5.448482909958859,-5.089724192608213,-4.74699774148676,0.1096478196143185,213
-5.013337323347271,-5.67110398211559,-4.966390950723344,-5.185704875020456,-4.702970460278511,-4.672987387182516,-5.530276399233182,-5.161978962869942,-4.802401204587584,0.07585775750291836,79
-4.945698397172167,-5.569630621494151,-4.8916464404155615,-5.086779437893381,-4.713280654564213,-4.705953727285109,-5.453925560341275,-5.076055390984897,-4.717293499539822,0.2754228703338166,58
-4.994520536141981,-5.7074107278955015,-4.921226489109207,-5.182138946377156,-4.7184265843802535,-4.736329101153684,-5.4296425360907135,-5.047084275110775,-4.71544153469952,0.03019951720402016,43
-4.976226205503592,-5.693318780669195,-4.92414489818714,-5.200062326891275,-4.714855379554561,-4.770457105025623,-5.460489754396007,-5.069305797442279,-4.750949272008123,0.020892961308540396,67
-4.918280912680876,-5.5822787274396015,-4.865600402731109,-5.091998437674377,-4.741376223807048,-4.663301111109929,-5.454907170005111,-5.074198861980074,-4.692851613506873,0.07585775750291836,30
-4.927966195273901,-5.638846568368599,-4.862024949009641,-5.124317934247309,-4.7119597149829815,-4.722541627844814,-5.509259001045133,-5.10340908846633,-4.7188233716491,0.025118864315095794,146
-4.935889316380227,-5.580969045254595,-4.887091004267477,-5.093351087336092,-4.705654371172226,-4.688494794409955,-5.470428131991869,-5.083366524841496,-4.706001690106372,0.6918309709189366,16
-4.962993466712131,-5.673841564207352,-4.90770768125549,-5.159355852004252,-4.706980699719921,-4.719300525162314,-5.471470801011553,-5.09029829909686,-4.738503590370478,0.014454397707459272,87
-4.964731833704384,-5.600333548365895,-4.918738749903003,-5.118698825194602,-4.7361665792347605,-4.726897156660294,-5.511454397576706,-5.137330797757261,-4.731582540263728,0.2754228703338166,186
-4.954777311464524,-5.677767974300987,-4.897433736610473,-5.173373335419336,-4.731621081596739,-4.705120768568705,-5.479985556050693,-5.100882237323791,-4.72052231276587,0.01,173
-4.9330768504569225,-5.699248105476045,-4.874182311884766,-5.170835573712817,-4.7222380404312165,-4.737889987318464,-5.44337053326481,-5.058025672899242,-4.709675250605532,0.3981071705534973,69
-4.966482671713007,-5.582092577142455,-4.9127146761001566,-5.101727024666878,-4.722519219686304,-4.654700420546163,-5.504365240663264,-5.13908447065321,-4.742760754407014,0.05248074602497726,180
-4.993769644743772,-5.6719937009720365,-4.9366685560866665,-5.161677108509389,-4.731381755350232,-4.728913774199909,-5.405393068361015,-5.049708696812959,-4.722156698242972,0.017378008287493755,102
