newman,newman_leadership,higher_order_newman,higher_order_leadership,spring_rank,spring_rank_leadership,page_rank,page_rank_leadership,point_wise,train,rep
-1.2290178178411222,-1.1146249648254296,-1.2770719442162124,-1.097916690688915,-1.3592702885653765,-1.2480888937114891,-1.9360385395470865,-1.896622328305598,-1.476347271206876,0.47863009232263826,167
-1.2759081047895546,-1.2057686195600097,-1.3131492615021267,-1.1757235473307686,-1.4101757869303293,-1.3003921654463122,-1.9973857447221623,-1.8315739602629115,-1.479178418397337,0.22908676527677735,164
-1.401400259931059,-1.3565379363073586,-1.4259798956335703,-1.31776243028198,-1.468760482538516,-1.3937969752782338,-2.1456132245427475,-1.8541980019981423,-1.5729402257556568,0.1096478196143185,223
-1.6138924361494815,-1.481084743111002,-1.5688447654482078,-1.4534634277317475,-1.5549822710270274,-1.4825685452029935,-4.393476120784219,-4.093162633120766,-5.81617189337707,0.03019951720402016,197
-1.182121947604114,-1.056889420794031,-1.229119189512211,-1.0401465122133222,-1.3467286251426729,-1.2290472443416744,-2.0046520861364447,-1.9197145542261724,-1.463577480781792,0.3981071705534973,58
-1.2713332921355562,-1.186124848401317,-1.3154140752806844,-1.1619894150991226,-1.4018402359070348,-1.2927733052278074,-1.9435457141573689,-1.8354378897945132,-1.4854932437375143,0.2754228703338166,218
-1.5831742619084197,-1.452306040715227,-1.5572222394154,-1.4190323451790918,-1.5317204133217883,-1.4498253593321038,-3.7556987184505473,-3.423824508754463,-3.5888099463463634,0.04365158322401661,247
-1.2885044337245557,-1.2098569096641194,-1.3332813768334066,-1.1861096112161722,-1.4243930020738431,-1.315880711061703,-1.971595166786671,-1.804338817553496,-1.4855732395870431,0.19054607179632474,38
-1.231540465706143,-1.0975714947693485,-1.2739914252694622,-1.0881687466891932,-1.2842366705600272,-1.1997955206101414,-1.9330272656982248,-1.947679642764934,-1.480781315486761,0.8317637711026709,160
-1.1504541824645174,-0.978799499966716,-1.2007129563232417,-0.9681526612242332,-1.2530453446209984,-1.1372608231096937,-1.990688184697638,-1.994238592634146,-1.4594298175455436,0.8317637711026709,84
-1.641924973058519,-1.553773872283052,-1.6066998378914854,-1.546308720674607,-1.588828361753361,-1.5822836517712446,-3.541235024607218,-3.441546851662907,-12.097218212421152,0.01,109
