BT,BT_leadership,HO_BT,HOL_BT,Spring_Rank,Spring_Rank_Leadership,Page_Rank,Page_Rank_Leadership,Point_Wise,train,rep
-0.5887532118002139,-0.5887532120744027,-0.5887532113517853,-0.5887532122019026,-0.6291932639062972,-0.6291932639062972,-1.142393955462994,-1.142393955462994,-1.5618841393133456,0.15848931924611134,95
-0.6479118344844179,-0.6479118345904596,-0.6479118346603087,-0.6479118347194996,-0.6648729822985442,-0.6648729822985442,-1.9293374316308884,-1.9293374316308884,-4.564892274586401,0.06309573444801933,96
-0.673138988793405,-0.6731389887188115,-0.6731389887815644,-0.6731389887074981,-0.6844233737318525,-0.6844233737318525,-1.7472497415922947,-1.7472497415922947,-5.112411947943051,0.020892961308540396,65
-0.6699704466927672,-0.6699704468200974,-0.6699704468119363,-0.6699704467893363,-0.6881341242876475,-0.6881341242876475,-1.799058495227707,-1.799058495227707,-5.114891288114538,0.020892961308540396,40
-0.6353400696076237,-0.6353400694209869,-0.6353400694356635,-0.6353400696116525,-0.6659721185692992,-0.6659721185692992,-1.6415716492576278,-1.6415716492576278,-4.028284851324541,0.07585775750291836,71
-0.6885969677748012,-0.688596967618228,-0.6885969675693373,-0.6885969674757674,-0.7159517458847698,-0.7159517458847698,-1.2332568144090483,-1.2332568144090483,-3.581948111923561,0.01,87
-0.6424307582838971,-0.6424307578814324,-0.6424307586572788,-0.6424307584027811,-0.6921934281197867,-0.6921934281197867,-1.9549693646360204,-1.9549693646360204,-4.659046445754681,0.06309573444801933,21
-0.5185038522703855,-0.5185038523753912,-0.5185038523231342,-0.5185038524071068,-0.6182569702450595,-0.6182569702450595,-1.0201678623432648,-1.0201678623432648,-0.6292620188428214,0.3311311214825911,43
-0.6259046675853338,-0.6259046677823482,-0.625904667451021,-0.6259046677468793,-0.6435725411784166,-0.6435725411784166,-1.4548472841042708,-1.4548472841042708,-3.0223469142812203,0.1096478196143185,25
-0.669060788240294,-0.6690607880509901,-0.6690607880026017,-0.6690607879513528,-0.6828661300429288,-0.6828661300429288,-2.0404794036002856,-2.0404794036002856,-5.54963067707786,0.03630780547701014,29
-0.6259205529284746,-0.625920552912825,-0.6259205529629934,-0.6259205531445848,-0.6545432607743372,-0.6545432607743372,-1.6939356607069151,-1.6939356607069151,-4.370854875019745,0.07585775750291836,79
-0.5470756621779611,-0.5470756622331977,-0.5470756620510725,-0.5470756623815544,-0.5979330620527121,-0.5979330620527121,-1.0523182026009152,-1.0523182026009152,-0.8111894738905517,0.2754228703338166,58
-0.6672856955709612,-0.6672856952711793,-0.6672856952808768,-0.6672856952357961,-0.6793430441677788,-0.6793430441677788,-1.953752633021144,-1.953752633021144,-5.809908872530968,0.03019951720402016,43
-0.6741934448446093,-0.6741934449226749,-0.6741934455388937,-0.6741934456118512,-0.6901484504967017,-0.6901484504967017,-1.8068176138061507,-1.8068176138061507,-5.1731065076191385,0.020892961308540396,67
